"sid","cid","vid","county_name","vote_type","county_fips"
16,1,1,"ADAMS","total","unknown"
16,2,1,"BARNES","total","unknown"
16,3,1,"BENSON","total","unknown"
16,4,1,"BILLINGS","total","unknown"
16,5,1,"BOTTINEAU","total","unknown"
16,6,1,"BOWMAN","total","unknown"
16,7,1,"BURKE","total","unknown"
16,8,1,"BURLEIGH","total","unknown"
16,9,1,"CASS","total","unknown"
16,10,1,"CAVALIER","total","unknown"
16,11,1,"DICKEY","total","unknown"
16,12,1,"DIVIDE","total","unknown"
16,13,1,"DUNN","total","unknown"
16,14,1,"EDDY","total","unknown"
16,15,1,"EMMONS","total","unknown"
16,16,1,"FOSTER","total","unknown"
16,17,1,"GOLDEN VALLEY","total","unknown"
16,18,1,"GRAND FORKS","total","unknown"
16,19,1,"GRANT","total","unknown"
16,20,1,"GRIGGS","total","unknown"
16,21,1,"HETTINGER","total","unknown"
16,22,1,"KIDDER","total","unknown"
16,23,1,"LAMOURE","total","unknown"
16,24,1,"LOGAN","total","unknown"
16,25,1,"MCHENRY","total","unknown"
16,26,1,"MCINTOSH","total","unknown"
16,27,1,"MCKENZIE","total","unknown"
16,28,1,"MCLEAN","total","unknown"
16,29,1,"MERCER","total","unknown"
16,30,1,"MORTON","total","unknown"
16,31,1,"MOUNTRAIL","total","unknown"
16,32,1,"NELSON","total","unknown"
16,33,1,"OLIVER","total","unknown"
16,34,1,"PEMBINA","total","unknown"
16,35,1,"PIERCE","total","unknown"
16,36,1,"RAMSEY","total","unknown"
16,37,1,"RANSOM","total","unknown"
16,38,1,"RENVILLE","total","unknown"
16,39,1,"RICHLAND","total","unknown"
16,40,1,"ROLETTE","total","unknown"
16,41,1,"SARGENT","total","unknown"
16,42,1,"SHERIDAN","total","unknown"
16,43,1,"SIOUX","total","unknown"
16,44,1,"SLOPE","total","unknown"
16,45,1,"STARK","total","unknown"
16,46,1,"STEELE","total","unknown"
16,47,1,"STUTSMAN","total","unknown"
16,48,1,"TOWNER","total","unknown"
16,49,1,"TRAILL","total","unknown"
16,50,1,"WALSH","total","unknown"
16,51,1,"WARD","total","unknown"
16,52,1,"WELLS","total","unknown"
16,53,1,"WILLIAMS","total","unknown"
