"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
16,1,1,1,"ADAMS","Adams County","total","unknown","unknown","unknown"
16,2,2,1,"BARNES","Precinct 2401-00","total","unknown","unknown","unknown"
16,2,3,1,"BARNES","Precinct 2402-00","total","unknown","unknown","unknown"
16,2,4,1,"BARNES","Precinct 2403-00","total","unknown","unknown","unknown"
16,2,5,1,"BARNES","Precinct 2404-00","total","unknown","unknown","unknown"
16,2,6,1,"BARNES","Precinct 2405-00","total","unknown","unknown","unknown"
16,2,7,1,"BARNES","Precinct 2406-00","total","unknown","unknown","unknown"
16,2,8,1,"BARNES","Precinct 2407-00","total","unknown","unknown","unknown"
16,2,9,1,"BARNES","Precinct 2408-00","total","unknown","unknown","unknown"
16,2,10,1,"BARNES","Precinct 2409-00","total","unknown","unknown","unknown"
16,2,11,1,"BARNES","Precinct 2410-00","total","unknown","unknown","unknown"
16,2,12,1,"BARNES","Precinct 2411-00","total","unknown","unknown","unknown"
16,2,13,1,"BARNES","Precinct 2412-00","total","unknown","unknown","unknown"
16,2,14,1,"BARNES","Precinct 2413-00","total","unknown","unknown","unknown"
16,2,15,1,"BARNES","Precinct 2414-00","total","unknown","unknown","unknown"
16,2,16,1,"BARNES","Precinct 2415-00","total","unknown","unknown","unknown"
16,3,17,1,"BENSON","Precinct 1","total","unknown","unknown","unknown"
16,3,18,1,"BENSON","Precinct 2","total","unknown","unknown","unknown"
16,3,19,1,"BENSON","Precinct 3","total","unknown","unknown","unknown"
16,3,20,1,"BENSON","Precinct 4","total","unknown","unknown","unknown"
16,4,21,1,"BILLINGS","Precinct 01","total","unknown","unknown","unknown"
16,4,22,1,"BILLINGS","Precinct 02","total","unknown","unknown","unknown"
16,4,23,1,"BILLINGS","Precinct 03","total","unknown","unknown","unknown"
16,5,24,1,"BOTTINEAU","Precinct 01","total","unknown","unknown","unknown"
16,5,25,1,"BOTTINEAU","Precinct 02","total","unknown","unknown","unknown"
16,5,26,1,"BOTTINEAU","Precinct 03","total","unknown","unknown","unknown"
16,5,27,1,"BOTTINEAU","Precinct 04","total","unknown","unknown","unknown"
16,5,28,1,"BOTTINEAU","Precinct 05","total","unknown","unknown","unknown"
16,6,29,1,"BOWMAN","Bowman City","total","unknown","unknown","unknown"
16,6,30,1,"BOWMAN","Bowman Four Seasons","total","unknown","unknown","unknown"
16,6,31,1,"BOWMAN","Rhame","total","unknown","unknown","unknown"
16,6,32,1,"BOWMAN","Scranton","total","unknown","unknown","unknown"
16,7,33,1,"BURKE","Precinct 01","total","unknown","unknown","unknown"
16,7,34,1,"BURKE","Precinct 02","total","unknown","unknown","unknown"
16,7,35,1,"BURKE","Precinct 03","total","unknown","unknown","unknown"
16,7,36,1,"BURKE","Precinct 04","total","unknown","unknown","unknown"
16,7,37,1,"BURKE","Precinct 05","total","unknown","unknown","unknown"
16,7,38,1,"BURKE","Precinct 06","total","unknown","unknown","unknown"
16,8,39,1,"BURLEIGH","Bismarck Event Center 3201","total","unknown","unknown","unknown"
16,8,40,1,"BURLEIGH","Bismarck Event Center 3202","total","unknown","unknown","unknown"
16,8,41,1,"BURLEIGH","Bismarck Event Center 3203","total","unknown","unknown","unknown"
16,8,42,1,"BURLEIGH","Bismarck Event Center 3204","total","unknown","unknown","unknown"
16,8,43,1,"BURLEIGH","Century Baptist Church 4701","total","unknown","unknown","unknown"
16,8,44,1,"BURLEIGH","Century Baptist Church 4704","total","unknown","unknown","unknown"
16,8,45,1,"BURLEIGH","County 4-H Building 0701","total","unknown","unknown","unknown"
16,8,46,1,"BURLEIGH","County 4-H Building 0704","total","unknown","unknown","unknown"
16,8,47,1,"BURLEIGH","County 4-H Building 0804","total","unknown","unknown","unknown"
16,8,48,1,"BURLEIGH","County 4-H Building 2803","total","unknown","unknown","unknown"
16,8,49,1,"BURLEIGH","County 4-H Building 2804","total","unknown","unknown","unknown"
16,8,50,1,"BURLEIGH","Crossroads Cowboy Church 2802","total","unknown","unknown","unknown"
16,8,51,1,"BURLEIGH","East Auditorium 0703","total","unknown","unknown","unknown"
16,8,52,1,"BURLEIGH","East Auditorium 0707","total","unknown","unknown","unknown"
16,8,53,1,"BURLEIGH","Evangel Assembly of God 0705","total","unknown","unknown","unknown"
16,8,54,1,"BURLEIGH","Evangel Assembly of God 0708","total","unknown","unknown","unknown"
16,8,55,1,"BURLEIGH","Evangel Assembly of God 0805","total","unknown","unknown","unknown"
16,8,56,1,"BURLEIGH","Good Shepherd Church 3501","total","unknown","unknown","unknown"
16,8,57,1,"BURLEIGH","Good Shepherd Church 3502","total","unknown","unknown","unknown"
16,8,58,1,"BURLEIGH","Good Shepherd Church 3503","total","unknown","unknown","unknown"
16,8,59,1,"BURLEIGH","Good Shepherd Church 4703","total","unknown","unknown","unknown"
16,8,60,1,"BURLEIGH","GracePoint Church 0702","total","unknown","unknown","unknown"
16,8,61,1,"BURLEIGH","GracePoint Church 4702","total","unknown","unknown","unknown"
16,8,62,1,"BURLEIGH","House of Prayer Church 3001","total","unknown","unknown","unknown"
16,8,63,1,"BURLEIGH","House of Prayer Church 3004","total","unknown","unknown","unknown"
16,8,64,1,"BURLEIGH","Legacy Methodist Church 0706","total","unknown","unknown","unknown"
16,8,65,1,"BURLEIGH","Legacy Methodist Church 0806","total","unknown","unknown","unknown"
16,8,66,1,"BURLEIGH","Lord of Life Church 3002","total","unknown","unknown","unknown"
16,8,67,1,"BURLEIGH","Lord of Life Church 3003","total","unknown","unknown","unknown"
16,8,68,1,"BURLEIGH","Ramada 3504","total","unknown","unknown","unknown"
16,8,69,1,"BURLEIGH","Ramada 3505","total","unknown","unknown","unknown"
16,8,70,1,"BURLEIGH","Ramada 3506","total","unknown","unknown","unknown"
16,8,71,1,"BURLEIGH","Sterling Methodist Church 2801","total","unknown","unknown","unknown"
16,8,72,1,"BURLEIGH","Wilton County Shop 0801","total","unknown","unknown","unknown"
16,8,73,1,"BURLEIGH","Wilton County Shop 0802","total","unknown","unknown","unknown"
16,8,74,1,"BURLEIGH","Wing Fire Hall 0803","total","unknown","unknown","unknown"
16,9,75,1,"CASS","1101 Olivet Lutheran Church","total","unknown","unknown","unknown"
16,9,76,1,"CASS","1102 Ramada Inn","total","unknown","unknown","unknown"
16,9,77,1,"CASS","1301 Westside Elem School","total","unknown","unknown","unknown"
16,9,78,1,"CASS","1302 West Fargo City Hall","total","unknown","unknown","unknown"
16,9,79,1,"CASS","1303 Doubletree Inn","total","unknown","unknown","unknown"
16,9,80,1,"CASS","1601 Meadowridge Bible Chapel","total","unknown","unknown","unknown"
16,9,81,1,"CASS","1602 Lutheran Church of the Cross","total","unknown","unknown","unknown"
16,9,82,1,"CASS","1603 Scheels Arena","total","unknown","unknown","unknown"
16,9,83,1,"CASS","1604 Faith Journey Church","total","unknown","unknown","unknown"
16,9,84,1,"CASS","2001 Northern Cass PSD","total","unknown","unknown","unknown"
16,9,85,1,"CASS","2101 Robert D Johnson Rec Ctr","total","unknown","unknown","unknown"
