"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,16,1,1,1,1269,981,258,30
0,16,2,2,1,398,219,166,13
0,16,2,3,1,734,437,263,34
0,16,2,4,1,392,228,151,13
0,16,2,5,1,663,394,247,22
0,16,2,6,1,884,524,330,30
0,16,2,7,1,354,236,106,12
0,16,2,8,1,157,109,42,6
0,16,2,9,1,155,116,39,0
0,16,2,10,1,237,178,54,5
0,16,2,11,1,86,57,29,0
0,16,2,12,1,663,475,178,10
0,16,2,13,1,247,183,59,5
0,16,2,14,1,286,183,83,20
0,16,2,15,1,95,64,30,1
0,16,2,16,1,214,165,43,6
0,16,3,17,1,1118,753,339,26
0,16,3,18,1,235,163,69,3
0,16,3,19,1,429,84,337,8
0,16,3,20,1,179,94,77,8
0,16,4,21,1,188,134,47,7
0,16,4,22,1,335,304,17,14
0,16,4,23,1,112,103,8,1
0,16,5,24,1,653,450,188,15
0,16,5,25,1,828,612,195,21
0,16,5,26,1,631,467,155,9
0,16,5,27,1,728,529,180,19
0,16,5,28,1,631,517,103,11
0,16,6,29,1,754,600,136,18
0,16,6,30,1,408,365,34,9
0,16,6,31,1,217,206,10,1
0,16,6,32,1,278,224,48,6
0,16,7,33,1,57,49,6,2
0,16,7,34,1,302,249,44,9
0,16,7,35,1,412,361,43,8
0,16,7,36,1,166,147,17,2
0,16,7,37,1,142,128,12,2
0,16,7,38,1,76,60,15,1
0,16,8,39,1,703,446,232,25
0,16,8,40,1,790,420,331,39
0,16,8,41,1,1250,745,455,50
0,16,8,42,1,4111,2737,1224,150
0,16,8,43,1,3440,2400,953,87
0,16,8,44,1,2376,1574,723,79
0,16,8,45,1,2089,1608,403,78
0,16,8,46,1,836,670,139,27
0,16,8,47,1,1790,1459,295,36
0,16,8,48,1,946,767,153,26
0,16,8,49,1,75,46,27,2
0,16,8,50,1,399,324,63,12
0,16,8,51,1,1897,1374,464,59
0,16,8,52,1,1446,986,421,39
0,16,8,53,1,812,648,147,17
0,16,8,54,1,1677,1132,501,44
0,16,8,55,1,1486,1181,268,37
0,16,8,56,1,1056,600,406,50
0,16,8,57,1,1579,769,745,65
0,16,8,58,1,1382,884,457,41
0,16,8,59,1,1234,740,434,60
0,16,8,60,1,1678,1202,425,51
0,16,8,61,1,3082,1956,1014,112
0,16,8,62,1,1596,1209,350,37
0,16,8,63,1,2564,1768,712,84
0,16,8,64,1,1401,1062,305,34
0,16,8,65,1,920,705,190,25
0,16,8,66,1,1537,935,533,69
0,16,8,67,1,2017,1403,559,55
0,16,8,68,1,1160,648,467,45
0,16,8,69,1,1464,931,486,47
0,16,8,70,1,1000,618,333,49
0,16,8,71,1,267,235,26,6
0,16,8,72,1,289,220,54,15
0,16,8,73,1,174,140,29,5
0,16,8,74,1,230,202,24,4
0,16,9,75,1,3404,1368,1922,114
0,16,9,76,1,3545,1494,1932,119
0,16,9,77,1,2614,1442,1072,100
0,16,9,78,1,1815,881,867,67
0,16,9,79,1,3522,1930,1482,110
0,16,9,80,1,2222,998,1148,76
0,16,9,81,1,2352,1076,1191,85
0,16,9,82,1,4645,2294,2163,188
0,16,9,83,1,1496,834,605,57
0,16,9,84,1,445,281,147,17
0,16,9,85,1,3173,1079,1991,103
0,16,9,86,1,2419,948,1336,135
0,16,9,87,1,213,150,59,4
0,16,9,88,1,497,331,143,23
0,16,9,89,1,283,194,83,6
0,16,9,90,1,1646,1047,536,63
0,16,9,91,1,962,619,314,29
0,16,9,92,1,3868,2217,1531,120
0,16,9,93,1,559,378,163,18
0,16,9,94,1,3264,1882,1262,120
0,16,9,95,1,199,120,73,6
0,16,9,96,1,355,240,101,14
0,16,9,97,1,459,317,127,15
0,16,9,98,1,650,437,196,17
0,16,9,99,1,1097,387,659,51
0,16,9,100,1,4394,2116,2109,169
0,16,9,101,1,6494,3447,2830,217
0,16,9,102,1,4321,2027,2121,173
0,16,9,103,1,3467,1722,1619,126
0,16,9,104,1,3800,1407,2233,160
0,16,9,105,1,3317,1544,1650,123
0,16,9,106,1,3549,1669,1747,133
0,16,9,107,1,1269,819,416,34
0,16,9,108,1,1151,745,364,42
0,16,9,109,1,484,331,140,13
0,16,9,110,1,2193,937,1169,87
0,16,9,111,1,3492,1649,1731,112
0,16,9,112,1,2418,1262,1079,77
0,16,10,113,1,2020,1499,474,47
0,16,11,114,1,971,725,208,38
0,16,11,115,1,164,123,39,2
0,16,11,116,1,1289,894,361,34
0,16,12,117,1,585,425,139,21
0,16,12,118,1,285,205,71,9
0,16,12,119,1,173,138,32,3
0,16,12,120,1,159,136,23,0
0,16,13,121,1,116,39,74,3
0,16,13,122,1,208,179,26,3
0,16,13,123,1,90,78,10,2
0,16,13,124,1,329,295,33,1
0,16,13,125,1,23,20,3,0
0,16,13,126,1,519,449,51,19
0,16,13,127,1,185,170,13,2
0,16,13,128,1,90,82,7,1
0,16,13,129,1,321,297,23,1
0,16,13,130,1,253,215,32,6
0,16,13,131,1,82,20,61,1
0,16,13,132,1,122,107,9,6
0,16,14,133,1,662,442,203,17
0,16,14,134,1,599,412,180,7
0,16,15,135,1,474,406,63,5
0,16,15,136,1,422,375,44,3
0,16,15,137,1,430,359,60,11
0,16,15,138,1,318,282,29,7
0,16,15,139,1,365,316,41,8
0,16,16,140,1,111,88,22,1
0,16,16,141,1,69,53,16,0
0,16,16,142,1,106,77,22,7
0,16,16,143,1,449,382,58,9
0,16,16,144,1,533,380,138,15
0,16,16,145,1,510,382,117,11
0,16,17,146,1,1026,871,137,18
0,16,18,147,1,796,537,246,13
0,16,18,148,1,3054,1681,1258,115
0,16,18,149,1,1405,674,681,50
0,16,18,150,1,904,409,463,32
0,16,18,151,1,1851,940,861,50
0,16,18,152,1,1754,882,816,56
0,16,18,153,1,571,390,169,12
0,16,18,154,1,568,404,139,25
0,16,18,155,1,414,287,110,17
0,16,18,156,1,840,405,403,32
0,16,18,157,1,744,348,356,40
0,16,18,158,1,1305,597,638,70
0,16,18,159,1,2223,1120,1018,85
0,16,18,160,1,198,64,125,9
0,16,18,161,1,1545,801,690,54
0,16,18,162,1,1746,949,754,43
0,16,18,163,1,2595,1522,1003,70
0,16,18,164,1,262,105,148,9
0,16,18,165,1,1139,806,297,36
0,16,18,166,1,557,375,159,23
0,16,18,167,1,685,499,171,15
0,16,18,168,1,1084,580,449,55
0,16,18,169,1,846,332,458,56
0,16,18,170,1,1717,1196,473,48
0,16,18,171,1,456,233,203,20
0,16,18,172,1,584,296,263,25
0,16,18,173,1,1127,555,529,43
0,16,19,174,1,158,124,33,1
0,16,19,175,1,279,220,55,4
0,16,19,176,1,143,116,20,7
0,16,19,177,1,801,685,99,17
0,16,20,178,1,241,180,54,7
0,16,20,179,1,283,212,68,3
0,16,20,180,1,229,149,72,8
0,16,20,181,1,249,205,37,7
0,16,20,182,1,248,161,77,10
0,16,21,183,1,143,126,15,2
0,16,21,184,1,591,487,88,16
0,16,21,185,1,475,388,81,6
0,16,21,186,1,103,90,12,1
0,16,22,187,1,162,148,13,1
0,16,22,188,1,104,82,21,1
0,16,22,189,1,106,79,26,1
0,16,22,190,1,642,534,96,12
0,16,22,191,1,310,274,29,7
0,16,22,192,1,136,98,36,2
0,16,23,193,1,474,335,127,12
0,16,23,194,1,775,565,195,15
0,16,23,195,1,212,177,33,2
0,16,23,196,1,758,568,172,18
0,16,24,197,1,288,255,28,5
0,16,24,198,1,410,354,50,6
0,16,24,199,1,232,190,39,3
0,16,24,200,1,64,59,5,0
0,16,24,201,1,82,72,6,4
0,16,25,202,1,209,173,26,10
0,16,25,203,1,616,501,103,12
0,16,25,204,1,169,131,38,0
0,16,25,205,1,330,276,40,14
0,16,25,206,1,1007,749,235,23
0,16,25,207,1,221,157,60,4
0,16,25,208,1,241,197,36,8
0,16,25,209,1,210,180,26,4
0,16,26,210,1,377,306,64,7
0,16,26,211,1,219,161,48,10
0,16,26,212,1,77,57,19,1
0,16,26,213,1,451,348,87,16
0,16,26,214,1,168,142,23,3
0,16,26,215,1,163,139,20,4
0,16,27,216,1,200,38,159,3
0,16,27,217,1,238,31,203,4
0,16,27,218,1,157,137,20,0
0,16,27,219,1,132,120,11,1
0,16,27,220,1,476,430,35,11
0,16,27,221,1,296,268,23,5
0,16,27,222,1,96,90,4,2
0,16,27,223,1,177,164,11,2
0,16,27,224,1,1520,1388,99,33
0,16,27,225,1,1874,1596,221,57
0,16,27,226,1,253,220,28,5
0,16,28,227,1,707,561,135,11
0,16,28,228,1,4548,3593,866,89
0,16,28,229,1,281,44,229,8
0,16,29,230,1,10,3,7,0
0,16,29,231,1,344,248,84,12
