"sid","cid","vid","county_name","vote_type","county_fips"
13,1,1,"ADAMS","total","31001"
13,2,1,"ANTELOPE","total","31003"
13,3,1,"ARTHUR","total","31005"
13,4,1,"BANNER","total","31007"
13,5,1,"BLAINE","total","31009"
13,6,1,"BOONE","total","31011"
13,7,1,"BOX BUTTE","total","31013"
13,8,1,"BOYD","total","31015"
13,9,1,"BROWN","total","31017"
13,10,1,"BUFFALO","total","31019"
13,11,1,"BURT","total","31021"
13,12,1,"BUTLER","total","31023"
13,13,1,"CASS","total","31025"
13,14,1,"CEDAR","total","31027"
13,15,1,"CHASE","total","31029"
13,16,1,"CHERRY","total","31031"
13,17,1,"CHEYENNE","total","31033"
13,18,1,"CLAY","total","31035"
13,19,1,"COLFAX","total","31037"
13,20,1,"CUMING","total","31039"
13,21,1,"CUSTER","total","00000"
13,22,1,"DAKOTA","total","31043"
13,23,1,"DAWES","total","31045"
13,24,1,"DAWSON","total","31047"
13,25,1,"DEUEL","total","31049"
13,26,1,"DIXON","total","31051"
13,27,1,"DODGE","total","31053"
13,28,1,"DOUGLAS","total","31055"
13,29,1,"DUNDY","total","31057"
13,30,1,"FILLMORE","total","31059"
13,31,1,"FRANKLIN","total","31061"
13,32,1,"FRONTIER","total","31063"
13,33,1,"FURNAS","total","31065"
13,34,1,"GAGE","total","31067"
13,35,1,"GARDEN","total","31069"
13,36,1,"GARFIELD","total","31071"
13,37,1,"GOSPER","total","31073"
13,38,1,"GRANT","total","31075"
13,39,1,"GREELEY","total","31077"
13,40,1,"HALL","total","31079"
13,41,1,"HAMILTON","total","31081"
13,42,1,"HARLAN","total","31083"
13,43,1,"HAYES","total","31085"
13,44,1,"HITCHCOCK","total","31087"
13,45,1,"HOLT","total","31089"
13,46,1,"HOOKER","total","31091"
13,47,1,"HOWARD","total","31093"
13,48,1,"JEFFERSON","total","31095"
13,49,1,"JOHNSON","total","31097"
13,50,1,"KEARNEY","total","31099"
13,51,1,"KEITH","total","31101"
13,52,1,"KEYA PAHA","total","31103"
13,53,1,"KIMBALL","total","31105"
13,54,1,"KNOX","total","31107"
13,55,1,"LANCASTER","total","31109"
13,56,1,"LINCOLN","total","31111"
13,57,1,"LOGAN","total","31113"
13,58,1,"LOUP","total","31115"
13,59,1,"MADISON","total","31119"
13,60,1,"MCPHERSON","total","31117"
13,61,1,"MERRICK","total","31121"
13,62,1,"MORRILL","total","31123"
13,63,1,"NANCE","total","31125"
13,64,1,"NEMAHA","total","31127"
13,65,1,"NUCKOLLS","total","31129"
13,66,1,"OTOE","total","31131"
13,67,1,"PAWNEE","total","31133"
13,68,1,"PERKINS","total","31135"
13,69,1,"PHELPS","total","31137"
13,70,1,"PIERCE","total","31139"
13,71,1,"PLATTE","total","31141"
13,72,1,"POLK","total","31143"
13,73,1,"RED WILLOW","total","31145"
13,74,1,"RICHARDSON","total","31147"
13,75,1,"ROCK","total","31149"
13,76,1,"SALINE","total","31151"
13,77,1,"SARPY","total","31153"
13,78,1,"SAUNDERS","total","31155"
13,79,1,"SCOTTS BLUFF","total","31157"
13,80,1,"SEWARD","total","31159"
13,81,1,"SHERIDAN","total","31161"
13,82,1,"SHERMAN","total","31163"
13,83,1,"SIOUX","total","31165"
13,84,1,"STANTON","total","31167"
13,85,1,"THAYER","total","31169"
13,86,1,"THOMAS","total","31171"
13,87,1,"THURSTON","total","31173"
13,88,1,"VALLEY","total","31175"
13,89,1,"WASHINGTON","total","31177"
13,90,1,"WAYNE","total","31179"
13,91,1,"WEBSTER","total","31181"
13,92,1,"WHEELER","total","31183"
13,93,1,"YORK","total","31185"
