"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
13,1,1,1,"ADAMS","1-A","total","31001","31001-11 1-A",""
13,1,2,1,"ADAMS","1-B","total","31001","31001-12 1-B",""
13,1,3,1,"ADAMS","1-C","total","31001","31001-13 1-C",""
13,1,4,1,"ADAMS","2-A","total","31001","31001-14 2-A",""
13,1,5,1,"ADAMS","2-B","total","31001","31001-15 2-B",""
13,1,6,1,"ADAMS","2-C","total","31001","31001-16 2-C",""
13,1,7,1,"ADAMS","2-D","total","31001","31001-17 2-D",""
13,1,8,1,"ADAMS","2-E","total","31001","31001-18 2-E",""
13,1,9,1,"ADAMS","3-A","total","31001","31001-19 3-A",""
13,1,10,1,"ADAMS","3-B","total","31001","31001-20 3-B",""
13,1,11,1,"ADAMS","3-C","total","31001","31001-21 3-C",""
13,1,12,1,"ADAMS","3-D","total","31001","31001-22 3-D",""
13,1,13,1,"ADAMS","3-E","total","31001","31001-23 3-E",""
13,1,14,1,"ADAMS","4-A","total","31001","31001-24 4-A",""
13,1,15,1,"ADAMS","4-B","total","31001","31001-25 4-B",""
13,1,16,1,"ADAMS","4-C","total","31001","31001-26 4-C",""
13,1,17,1,"ADAMS","4-D","total","31001","31001-27 4-D",""
13,1,18,1,"ADAMS","4-E","total","31001","31001-28 4-E",""
13,1,19,1,"ADAMS","Ayr","total","31001","31001-08 AYR",""
13,1,20,1,"ADAMS","Blaine","total","31001","31001-06 BLAINE",""
13,1,21,1,"ADAMS","Denver","total","31001","31001-05 DENVER",""
13,1,22,1,"ADAMS","Holstein","total","31001","31001-10 HOLSTEIN",""
13,1,23,1,"ADAMS","Juniata","total","31001","31001-04 JUNIATA",""
13,1,24,1,"ADAMS","Kenesaw","total","31001","31001-03 KENESAW",""
13,1,25,1,"ADAMS","New/Former Resident","total","31001","",""
13,1,26,1,"ADAMS","Pauline","total","31001","31001-07 PAULINE",""
13,1,27,1,"ADAMS","Roseland","total","31001","31001-09 ROSELAND",""
13,1,28,1,"ADAMS","Verona","total","31001","31001-02 VERONA",""
13,1,29,1,"ADAMS","WestBlue/Highland","total","31001","31001-01 WSTBL/HGH",""
13,2,30,1,"ANTELOPE","Brunswick Precinct","total","31003","31003-BRUNSWICK",""
13,2,31,1,"ANTELOPE","Clearwater Precinct","total","31003","31003-CLEARWATER",""
13,2,32,1,"ANTELOPE","Elgin 1st Ward","total","31003","31003-ELGIN 1ST WARD",""
13,2,33,1,"ANTELOPE","Elgin 2nd Ward","total","31003","31003-ELGIN 2ND WARD",""
13,2,34,1,"ANTELOPE","Elgin Precinct","total","31003","31003-ELGIN",""
13,2,35,1,"ANTELOPE","Neligh 1st Ward","total","31003","31003-NELIGH 1ST WARD",""
13,2,36,1,"ANTELOPE","Neligh 2nd Ward","total","31003","31003-NELIGH 2ND WARD",""
13,2,37,1,"ANTELOPE","Neligh Precinct","total","31003","31003-NELIGH",""
13,2,38,1,"ANTELOPE","New/Former Resident","total","31003","",""
13,2,39,1,"ANTELOPE","Oakdale Precinct","total","31003","31003-OAKDALE",""
13,2,40,1,"ANTELOPE","Orchard Precinct","total","31003","31003-ORCHARD",""
13,2,41,1,"ANTELOPE","Royal Precinct","total","31003","31003-ROYAL",""
13,2,42,1,"ANTELOPE","Tilden 1st Ward","total","31003","31003-TILDEN CITY",""
13,2,43,1,"ANTELOPE","Tilden Precinct","total","31003","31003-TILDEN",""
13,3,44,1,"ARTHUR","Arthur","total","31005","31005-ARTHUR",""
13,3,45,1,"ARTHUR","New/Former Resident","total","31005","",""
13,4,46,1,"BANNER","Long Springs","total","31007","31007-PRECINCT 1",""
13,4,47,1,"BANNER","New/Former Resident","total","31007","",""
13,5,48,1,"BLAINE","Blaine","total","31009","31009-BLAINE",""
13,5,49,1,"BLAINE","New/Former Resident","total","31009","",""
13,6,50,1,"BOONE","Beaver","total","31011","31011-BEAVER",""
13,6,51,1,"BOONE","Boone","total","31011","31011-BOONE",""
13,6,52,1,"BOONE","Cedar","total","31011","31011-CEDAR",""
13,6,53,1,"BOONE","Dublin-Bonanza","total","31011","31011-DUBLIN-BONANZA",""
13,6,54,1,"BOONE","New/Former Resident","total","31011","",""
13,6,55,1,"BOONE","North Branch-Shell Creek","total","31011","31011-NORTH BRANCH-SHELL CREEK",""
