"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,13,1,1,1,842,570,252,20
0,13,1,2,1,603,401,187,15
0,13,1,3,1,531,297,222,12
0,13,1,4,1,344,258,77,9
0,13,1,5,1,652,458,176,18
0,13,1,6,1,570,388,170,12
0,13,1,7,1,978,658,306,14
0,13,1,8,1,658,459,182,17
0,13,1,9,1,652,392,248,12
0,13,1,10,1,575,310,250,15
0,13,1,11,1,718,441,254,23
0,13,1,12,1,133,76,57,0
0,13,1,13,1,1227,848,361,18
0,13,1,14,1,482,276,193,13
0,13,1,15,1,567,339,213,15
0,13,1,16,1,332,169,156,7
0,13,1,17,1,934,626,283,25
0,13,1,18,1,236,164,68,4
0,13,1,19,1,411,325,77,9
0,13,1,20,1,113,101,11,1
0,13,1,21,1,642,495,137,10
0,13,1,22,1,179,160,18,1
0,13,1,23,1,531,422,97,12
0,13,1,24,1,648,556,86,6
0,13,1,25,1,7,2,5,0
0,13,1,26,1,197,170,24,3
0,13,1,27,1,293,258,29,6
0,13,1,28,1,158,131,24,3
0,13,1,29,1,389,335,50,4
0,13,2,30,1,369,331,34,4
0,13,2,31,1,475,434,39,2
0,13,2,32,1,185,164,19,2
0,13,2,33,1,215,190,21,4
0,13,2,34,1,238,216,22,0
0,13,2,35,1,425,361,60,4
0,13,2,36,1,361,285,69,7
0,13,2,37,1,279,234,41,4
0,13,2,38,1,0,0,0,0
0,13,2,39,1,270,236,31,3
0,13,2,40,1,319,270,44,5
0,13,2,41,1,134,118,15,1
0,13,2,42,1,147,114,32,1
0,13,2,43,1,166,140,25,1
0,13,3,44,1,284,260,21,3
0,13,3,45,1,0,0,0,0
0,13,4,46,1,410,362,43,5
0,13,4,47,1,0,0,0,0
0,13,5,48,1,317,280,35,2
0,13,5,49,1,0,0,0,0
0,13,6,50,1,415,347,57,11
0,13,6,51,1,147,131,14,2
0,13,6,52,1,348,262,81,5
0,13,6,53,1,153,123,27,3
0,13,6,54,1,0,0,0,0
0,13,6,55,1,95,83,12,0
0,13,6,56,1,478,394,76,8
0,13,6,57,1,439,371,60,8
0,13,6,58,1,582,459,105,18
0,13,6,59,1,560,483,67,10
0,13,7,60,1,0,0,0,0
0,13,7,61,1,546,378,149,19
0,13,7,62,1,363,313,41,9
0,13,7,63,1,360,314,42,4
0,13,7,64,1,750,641,98,11
0,13,7,65,1,590,438,135,17
0,13,7,66,1,476,338,120,18
0,13,7,67,1,608,451,132,25
0,13,7,68,1,796,627,155,14
0,13,7,69,1,692,502,179,11
0,13,8,70,1,455,404,45,6
0,13,8,71,1,261,227,34,0
0,13,8,72,1,1,1,0,0
0,13,8,73,1,436,378,56,2
0,13,9,74,1,490,447,40,3
0,13,9,75,1,822,707,101,14
0,13,9,76,1,0,0,0,0
0,13,9,77,1,367,316,50,1
0,13,10,78,1,2,2,0,0
0,13,10,79,1,1012,704,294,14
0,13,10,80,1,1359,906,412,41
0,13,10,81,1,643,358,260,25
0,13,10,82,1,773,445,292,36
0,13,10,83,1,1579,1047,487,45
0,13,10,84,1,1273,868,364,41
0,13,10,85,1,318,282,32,4
0,13,10,86,1,603,510,87,6
0,13,10,87,1,277,235,40,2
0,13,10,88,1,684,510,155,19
0,13,10,89,1,591,514,64,13
0,13,10,90,1,817,512,286,19
0,13,10,91,1,1137,914,200,23
0,13,10,92,1,520,418,87,15
0,13,10,93,1,332,259,63,10
0,13,10,94,1,395,286,101,8
0,13,10,95,1,741,547,174,20
0,13,10,96,1,689,571,105,13
0,13,10,97,1,776,583,181,12
0,13,10,98,1,355,238,101,16
0,13,10,99,1,677,550,115,12
0,13,10,100,1,668,533,119,16
0,13,10,101,1,1158,757,375,26
0,13,10,102,1,1649,1171,457,21
0,13,10,103,1,760,518,215,27
0,13,10,104,1,1364,918,413,33
0,13,10,105,1,1012,590,387,35
0,13,10,106,1,559,356,190,13
0,13,10,107,1,866,538,294,34
0,13,11,108,1,234,168,64,2
0,13,11,109,1,300,245,50,5
0,13,11,110,1,239,174,58,7
0,13,11,111,1,342,207,128,7
0,13,11,112,1,202,161,41,0
0,13,11,113,1,433,292,134,7
0,13,11,114,1,0,0,0,0
0,13,11,115,1,360,255,94,11
0,13,11,116,1,330,239,81,10
0,13,11,117,1,336,240,87,9
0,13,11,118,1,483,300,172,11
0,13,11,119,1,472,299,154,19
0,13,12,120,1,385,293,80,12
0,13,12,121,1,325,282,40,3
0,13,12,122,1,370,296,70,4
0,13,12,123,1,2,2,0,0
0,13,12,124,1,425,321,96,8
0,13,12,125,1,372,288,77,7
0,13,12,126,1,278,227,46,5
0,13,12,127,1,679,542,123,14
0,13,12,128,1,457,353,95,9
0,13,12,129,1,395,313,78,4
0,13,12,130,1,526,387,130,9
0,13,12,131,1,284,238,38,8
0,13,13,132,1,393,236,142,15
0,13,13,133,1,368,234,124,10
0,13,13,134,1,404,254,128,22
0,13,13,135,1,374,228,130,16
0,13,13,136,1,400,263,121,16
0,13,13,137,1,349,217,122,10
0,13,13,138,1,292,182,102,8
0,13,13,139,1,385,239,134,12
0,13,13,140,1,293,209,71,13
0,13,13,141,1,933,532,369,32
0,13,13,142,1,350,236,104,10
0,13,13,143,1,549,349,184,16
0,13,13,144,1,709,504,194,11
0,13,13,145,1,369,241,118,10
0,13,13,146,1,273,202,65,6
0,13,13,147,1,148,111,35,2
0,13,13,148,1,423,263,148,12
0,13,13,149,1,203,148,51,4
0,13,13,150,1,50,38,9,3
0,13,13,151,1,578,420,141,17
0,13,13,152,1,673,445,216,12
0,13,13,153,1,528,352,153,23
0,13,13,154,1,649,437,203,9
0,13,13,155,1,858,608,234,16
0,13,13,156,1,1144,794,333,17
0,13,13,157,1,616,409,188,19
0,13,13,158,1,1280,848,401,31
0,13,13,159,1,314,197,105,12
0,13,13,160,1,316,193,107,16
0,13,13,161,1,662,454,192,16
0,13,13,162,1,401,278,113,10
0,13,14,163,1,0,0,0,0
0,13,14,164,1,155,142,12,1
0,13,14,165,1,657,529,101,27
0,13,14,166,1,209,179,25,5
0,13,14,167,1,437,386,50,1
0,13,14,168,1,103,86,15,2
0,13,14,169,1,194,157,33,4
0,13,14,170,1,568,473,85,10
0,13,14,171,1,130,97,29,4
0,13,14,172,1,436,360,67,9
0,13,14,173,1,170,136,34,0
0,13,14,174,1,1179,985,175,19
0,13,14,175,1,281,248,28,5
0,13,14,176,1,477,396,71,10
0,13,15,177,1,291,264,25,2
0,13,15,178,1,345,284,58,3
0,13,15,179,1,356,324,29,3
0,13,15,180,1,612,518,83,11
0,13,15,181,1,1,1,0,0
0,13,15,182,1,388,349,31,8
0,13,16,183,1,45,44,1,0
0,13,16,184,1,79,73,5,1
0,13,16,185,1,215,195,20,0
0,13,16,186,1,132,125,7,0
0,13,16,187,1,25,25,0,0
0,13,16,188,1,81,79,1,1
0,13,16,189,1,30,30,0,0
0,13,16,190,1,83,75,5,3
0,13,16,191,1,20,19,1,0
0,13,16,192,1,60,57,3,0
0,13,16,193,1,145,131,10,4
0,13,16,194,1,148,138,8,2
0,13,16,195,1,46,44,2,0
0,13,16,196,1,35,30,4,1
0,13,16,197,1,1,0,1,0
0,13,16,198,1,24,24,0,0
0,13,16,199,1,672,562,97,13
