"sid","cid","county_name","county_fips"
14,1,"BERNALILLO","35001"
14,2,"CATRON","35003"
14,3,"CHAVES","35005"
14,4,"CIBOLA","35006"
14,5,"COLFAX","35007"
14,6,"CURRY","35009"
14,7,"DE BACA","35011"
14,8,"DONA ANA","35013"
14,9,"EDDY","35015"
14,10,"GRANT","35017"
14,11,"GUADALUPE","35019"
14,12,"HARDING","35021"
14,13,"HIDALGO","35023"
14,14,"LEA","35025"
14,15,"LINCOLN","35027"
14,16,"LOS ALAMOS","35028"
14,17,"LUNA","35029"
14,18,"MCKINLEY","35031"
14,19,"MORA","35033"
14,20,"OTERO","35035"
14,21,"QUAY","35037"
14,22,"RIO ARRIBA","35039"
14,23,"ROOSEVELT","35041"
14,24,"SAN JUAN","35045"
14,25,"SAN MIGUEL","35047"
14,26,"SANDOVAL","35043"
14,27,"SANTA FE","35049"
14,28,"SIERRA","35051"
14,29,"SOCORRO","35053"
14,30,"TAOS","35055"
14,31,"TORRANCE","35057"
14,32,"UNION","35059"
14,33,"VALENCIA","35061"
