"sid","cid","vid","county_name","vote_type","county_fips"
14,1,1,"BERNALILLO","total","35001"
14,2,1,"CATRON","total","35003"
14,3,1,"CHAVES","total","35005"
14,4,1,"CIBOLA","total","35006"
14,5,1,"COLFAX","total","35007"
14,6,1,"CURRY","total","35009"
14,7,1,"DE BACA","total","35011"
14,8,1,"DONA ANA","total","35013"
14,9,1,"EDDY","total","35015"
14,10,1,"GRANT","total","35017"
14,11,1,"GUADALUPE","total","35019"
14,12,1,"HARDING","total","35021"
14,13,1,"HIDALGO","total","35023"
14,14,1,"LEA","total","35025"
14,15,1,"LINCOLN","total","35027"
14,16,1,"LOS ALAMOS","total","35028"
14,17,1,"LUNA","total","35029"
14,18,1,"MCKINLEY","total","35031"
14,19,1,"MORA","total","35033"
14,20,1,"OTERO","total","35035"
14,21,1,"QUAY","total","35037"
14,22,1,"RIO ARRIBA","total","35039"
14,23,1,"ROOSEVELT","total","35041"
14,24,1,"SAN JUAN","total","35045"
14,25,1,"SAN MIGUEL","total","35047"
14,26,1,"SANDOVAL","total","35043"
14,27,1,"SANTA FE","total","35049"
14,28,1,"SIERRA","total","35051"
14,29,1,"SOCORRO","total","35053"
14,30,1,"TAOS","total","35055"
14,31,1,"TORRANCE","total","35057"
14,32,1,"UNION","total","35059"
14,33,1,"VALENCIA","total","35061"
