"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
14,1,1,1,"BERNALILLO","PCT 001","total","35001","35001-001",""
14,1,2,1,"BERNALILLO","PCT 002","total","35001","35001-002",""
14,1,3,1,"BERNALILLO","PCT 003","total","35001","35001-003",""
14,1,4,1,"BERNALILLO","PCT 004","total","35001","35001-004",""
14,1,5,1,"BERNALILLO","PCT 005","total","35001","35001-005",""
14,1,6,1,"BERNALILLO","PCT 006","total","35001","35001-006",""
14,1,7,1,"BERNALILLO","PCT 007","total","35001","35001-007",""
14,1,8,1,"BERNALILLO","PCT 008","total","35001","35001-008",""
14,1,9,1,"BERNALILLO","PCT 009","total","35001","35001-009",""
14,1,10,1,"BERNALILLO","PCT 010","total","35001","35001-010",""
14,1,11,1,"BERNALILLO","PCT 011","total","35001","35001-011",""
14,1,12,1,"BERNALILLO","PCT 012","total","35001","35001-012",""
14,1,13,1,"BERNALILLO","PCT 013","total","35001","35001-013",""
14,1,14,1,"BERNALILLO","PCT 014","total","35001","35001-014",""
14,1,15,1,"BERNALILLO","PCT 015","total","35001","35001-015",""
14,1,16,1,"BERNALILLO","PCT 016","total","35001","35001-016",""
14,1,17,1,"BERNALILLO","PCT 017","total","35001","35001-017",""
14,1,18,1,"BERNALILLO","PCT 018","total","35001","35001-018",""
14,1,19,1,"BERNALILLO","PCT 019","total","35001","35001-019",""
14,1,20,1,"BERNALILLO","PCT 020","total","35001","35001-020",""
14,1,21,1,"BERNALILLO","PCT 021","total","35001","35001-021",""
14,1,22,1,"BERNALILLO","PCT 022","total","35001","35001-022",""
14,1,23,1,"BERNALILLO","PCT 023","total","35001","35001-023",""
14,1,24,1,"BERNALILLO","PCT 024","total","35001","35001-024",""
14,1,25,1,"BERNALILLO","PCT 025","total","35001","35001-025",""
14,1,26,1,"BERNALILLO","PCT 026","total","35001","35001-026",""
14,1,27,1,"BERNALILLO","PCT 027","total","35001","35001-027",""
14,1,28,1,"BERNALILLO","PCT 028","total","35001","35001-028",""
14,1,29,1,"BERNALILLO","PCT 029","total","35001","35001-029",""
14,1,30,1,"BERNALILLO","PCT 030","total","35001","35001-030",""
14,1,31,1,"BERNALILLO","PCT 031","total","35001","35001-031",""
