"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,14,1,1,1,1022,556,439,27
0,14,1,2,1,716,406,290,20
0,14,1,3,1,365,180,179,6
0,14,1,4,1,602,374,209,19
0,14,1,5,1,571,380,179,12
0,14,1,6,1,586,375,199,12
0,14,1,7,1,757,502,240,15
0,14,1,8,1,349,200,140,9
0,14,1,9,1,602,344,245,13
0,14,1,10,1,806,474,318,14
0,14,1,11,1,536,386,140,10
0,14,1,12,1,747,509,224,14
0,14,1,13,1,661,434,210,17
0,14,1,14,1,686,449,219,18
0,14,1,15,1,777,444,318,15
0,14,1,16,1,506,298,193,15
0,14,1,17,1,592,398,183,11
0,14,1,18,1,675,420,240,15
0,14,1,19,1,596,312,271,13
0,14,1,20,1,682,413,257,12
0,14,1,21,1,795,454,321,20
0,14,1,22,1,827,422,379,26
0,14,1,23,1,463,283,169,11
0,14,1,24,1,614,363,237,14
0,14,1,25,1,757,411,328,18
0,14,1,26,1,625,423,188,14
0,14,1,27,1,688,473,196,19
0,14,1,28,1,552,374,164,14
0,14,1,29,1,789,508,264,17
0,14,1,30,1,684,455,222,7
0,14,1,31,1,516,361,152,3
0,14,1,32,1,317,209,105,3
0,14,1,33,1,459,314,135,10
0,14,1,34,1,359,245,106,8
0,14,1,35,1,377,256,113,8
0,14,1,36,1,507,370,124,13
0,14,1,37,1,799,543,234,22
0,14,1,38,1,451,294,143,14
0,14,1,39,1,401,260,123,18
0,14,1,40,1,607,382,212,13
0,14,1,41,1,513,344,158,11
0,14,1,42,1,523,351,160,12
0,14,1,43,1,457,305,140,12
0,14,1,44,1,188,128,59,1
0,14,1,45,1,444,278,155,11
0,14,1,46,1,698,444,239,15
0,14,1,47,1,285,191,93,1
0,14,1,48,1,272,195,73,4
0,14,1,49,1,129,103,24,2
0,14,1,50,1,872,585,273,14
0,14,1,51,1,517,393,111,13
0,14,1,52,1,746,478,251,17
0,14,1,53,1,455,294,149,12
0,14,1,54,1,485,320,158,7
0,14,1,55,1,362,219,135,8
0,14,1,56,1,780,486,287,7
0,14,1,57,1,882,550,312,20
0,14,1,58,1,199,131,62,6
0,14,1,59,1,503,329,167,7
0,14,1,60,1,536,341,183,12
0,14,1,61,1,510,326,173,11
0,14,1,62,1,415,284,127,4
0,14,1,63,1,312,230,76,6
0,14,1,64,1,220,158,59,3
0,14,1,65,1,537,362,165,10
0,14,1,66,1,544,332,206,6
0,14,1,67,1,676,501,164,11
0,14,1,68,1,767,399,352,16
0,14,1,69,1,586,354,225,7
0,14,1,70,1,560,301,243,16
0,14,1,71,1,675,455,209,11
0,14,1,72,1,357,266,87,4
0,14,1,73,1,404,228,169,7
