"sid","cid","vid","county_name","vote_type","county_fips"
17,1,1,"ADAIR","absentee","40001"
17,1,2,"ADAIR","early","40001"
17,1,3,"ADAIR","electionday","40001"
17,2,1,"ALFALFA","absentee","40003"
17,2,2,"ALFALFA","early","40003"
17,2,3,"ALFALFA","electionday","40003"
17,3,1,"ATOKA","absentee","40005"
17,3,2,"ATOKA","early","40005"
17,3,3,"ATOKA","electionday","40005"
17,4,1,"BEAVER","absentee","40007"
17,4,2,"BEAVER","early","40007"
17,4,3,"BEAVER","electionday","40007"
17,5,1,"BECKHAM","absentee","40009"
17,5,2,"BECKHAM","early","40009"
17,5,3,"BECKHAM","electionday","40009"
17,6,1,"BLAINE","absentee","40011"
17,6,2,"BLAINE","early","40011"
17,6,3,"BLAINE","electionday","40011"
17,7,1,"BRYAN","absentee","40013"
17,7,2,"BRYAN","early","40013"
17,7,3,"BRYAN","electionday","40013"
17,8,1,"CADDO","absentee","40015"
17,8,2,"CADDO","early","40015"
17,8,3,"CADDO","electionday","40015"
17,9,1,"CANADIAN","absentee","40017"
17,9,2,"CANADIAN","early","40017"
17,9,3,"CANADIAN","electionday","40017"
17,10,1,"CARTER","absentee","40019"
17,10,2,"CARTER","early","40019"
17,10,3,"CARTER","electionday","40019"
17,11,1,"CHEROKEE","absentee","40021"
17,11,2,"CHEROKEE","early","40021"
17,11,3,"CHEROKEE","electionday","40021"
17,12,1,"CHOCTAW","absentee","40023"
17,12,2,"CHOCTAW","early","40023"
17,12,3,"CHOCTAW","electionday","40023"
17,13,1,"CIMARRON","absentee","40025"
17,13,2,"CIMARRON","early","40025"
17,13,3,"CIMARRON","electionday","40025"
17,14,1,"CLEVELAND","absentee","40027"
17,14,2,"CLEVELAND","early","40027"
17,14,3,"CLEVELAND","electionday","40027"
17,15,1,"COAL","absentee","40029"
17,15,2,"COAL","early","40029"
17,15,3,"COAL","electionday","40029"
17,16,1,"COMANCHE","absentee","40031"
17,16,2,"COMANCHE","early","40031"
17,16,3,"COMANCHE","electionday","40031"
17,17,1,"COTTON","absentee","40033"
17,17,2,"COTTON","early","40033"
17,17,3,"COTTON","electionday","40033"
17,18,1,"CRAIG","absentee","40035"
17,18,2,"CRAIG","early","40035"
17,18,3,"CRAIG","electionday","40035"
17,19,1,"CREEK","absentee","40037"
17,19,2,"CREEK","early","40037"
17,19,3,"CREEK","electionday","40037"
17,20,1,"CUSTER","absentee","40039"
17,20,2,"CUSTER","early","40039"
17,20,3,"CUSTER","electionday","40039"
17,21,1,"DELAWARE","absentee","40041"
17,21,2,"DELAWARE","early","40041"
17,21,3,"DELAWARE","electionday","40041"
17,22,1,"DEWEY","absentee","40043"
17,22,2,"DEWEY","early","40043"
17,22,3,"DEWEY","electionday","40043"
