"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,17,1,1,1,23,16,5,2
0,17,1,1,2,50,43,7,0
0,17,1,1,3,280,219,53,8
0,17,1,2,1,17,11,6,0
0,17,1,2,2,27,23,3,1
0,17,1,2,3,263,211,47,5
0,17,1,3,1,8,8,0,0
0,17,1,3,2,4,4,0,0
0,17,1,3,3,126,101,23,2
0,17,1,4,1,33,8,25,0
0,17,1,4,2,73,49,23,1
0,17,1,4,3,178,138,37,3
0,17,1,5,1,17,10,7,0
0,17,1,5,2,21,12,9,0
0,17,1,5,3,183,149,30,4
0,17,1,6,1,33,19,14,0
0,17,1,6,2,71,45,25,1
0,17,1,6,3,444,361,73,10
0,17,1,7,1,50,25,24,1
0,17,1,7,2,85,62,22,1
0,17,1,7,3,447,347,90,10
0,17,1,8,1,16,11,5,0
0,17,1,8,2,40,28,9,3
0,17,1,8,3,341,269,67,5
0,17,1,9,1,3,0,3,0
0,17,1,9,2,14,13,1,0
0,17,1,9,3,129,105,22,2
0,17,1,10,1,12,9,3,0
0,17,1,10,2,25,24,0,1
0,17,1,10,3,188,152,32,4
0,17,1,11,1,13,5,8,0
0,17,1,11,2,47,38,9,0
0,17,1,11,3,373,335,33,5
0,17,1,12,1,17,8,7,2
0,17,1,12,2,40,28,12,0
0,17,1,12,3,290,213,72,5
0,17,1,13,1,33,15,16,2
0,17,1,13,2,113,68,42,3
0,17,1,13,3,410,303,98,9
0,17,1,14,1,32,21,11,0
0,17,1,14,2,36,30,6,0
0,17,1,14,3,365,306,54,5
0,17,1,15,1,44,14,29,1
0,17,1,15,2,57,45,11,1
0,17,1,15,3,589,502,75,12
0,17,1,16,1,39,12,24,3
0,17,1,16,2,71,55,16,0
0,17,1,16,3,536,438,95,3
0,17,1,17,1,36,24,10,2
0,17,1,17,2,92,80,10,2
0,17,1,17,3,674,573,84,17
0,17,2,18,1,11,8,3,0
0,17,2,18,2,13,12,1,0
0,17,2,18,3,164,150,10,4
0,17,2,19,1,18,12,3,3
0,17,2,19,2,30,26,4,0
0,17,2,19,3,149,137,9,3
0,17,2,20,1,20,11,8,1
0,17,2,20,2,112,98,13,1
0,17,2,20,3,257,225,25,7
0,17,2,21,1,37,25,11,1
0,17,2,21,2,176,145,30,1
0,17,2,21,3,294,259,23,12
0,17,2,22,1,13,7,6,0
0,17,2,22,2,25,23,1,1
0,17,2,22,3,248,213,29,6
0,17,2,23,1,14,9,5,0
0,17,2,23,2,19,17,2,0
0,17,2,23,3,290,258,25,7
0,17,2,24,1,11,7,2,2
0,17,2,24,2,2,2,0,0
0,17,2,24,3,162,147,14,1
0,17,2,25,1,10,8,2,0
0,17,2,25,2,21,21,0,0
0,17,2,25,3,166,158,6,2
0,17,3,26,1,43,27,15,1
0,17,3,26,2,178,138,40,0
0,17,3,26,3,336,268,64,4
0,17,3,27,1,34,17,16,1
0,17,3,27,2,131,107,22,2
0,17,3,27,3,254,226,24,4
0,17,3,28,1,26,14,11,1
0,17,3,28,2,146,117,26,3
0,17,3,28,3,189,128,58,3
0,17,3,29,1,25,7,18,0
0,17,3,29,2,75,63,12,0
0,17,3,29,3,207,186,20,1
0,17,3,30,1,21,11,10,0
0,17,3,30,2,116,99,16,1
0,17,3,30,3,338,284,49,5
0,17,3,31,1,27,16,11,0
0,17,3,31,2,121,107,13,1
