"sid","cid","county_name","county_fips"
18,1,"ADAMS","42001"
18,2,"ALLEGHENY","42003"
18,3,"ARMSTRONG","42005"
18,4,"BEAVER","42007"
18,5,"BEDFORD","42009"
18,6,"BERKS","42011"
18,7,"BLAIR","42013"
18,8,"BRADFORD","42015"
18,9,"BUCKS","42017"
18,10,"BUTLER","42019"
18,11,"CAMBRIA","42021"
18,12,"CAMERON","42023"
18,13,"CARBON","42025"
18,14,"CENTRE","42027"
18,15,"CHESTER","42029"
18,16,"CLARION","42031"
18,17,"CLEARFIELD","42033"
18,18,"CLINTON","42035"
18,19,"COLUMBIA","42037"
18,20,"CRAWFORD","42039"
18,21,"CUMBERLAND","42041"
18,22,"DAUPHIN","42043"
18,23,"DELAWARE","42045"
18,24,"ELK","42047"
18,25,"ERIE","42049"
18,26,"FAYETTE","42051"
18,27,"FOREST","42053"
18,28,"FRANKLIN","42055"
18,29,"FULTON","42057"
18,30,"GREENE","42059"
18,31,"HUNTINGDON","42061"
18,32,"INDIANA","42063"
18,33,"JEFFERSON","42065"
18,34,"JUNIATA","42067"
18,35,"LACKAWANNA","42069"
18,36,"LANCASTER","42071"
18,37,"LAWRENCE","42073"
18,38,"LEBANON","42075"
18,39,"LEHIGH","42077"
18,40,"LUZERNE","42079"
18,41,"LYCOMING","42081"
18,47,"MCKEAN","42083"
18,42,"MERCER","42085"
18,43,"MIFFLIN","42087"
18,44,"MONROE","42089"
18,45,"MONTGOMERY","42091"
18,46,"MONTOUR","42093"
18,48,"NORTHAMPTON","42095"
18,49,"NORTHUMBERLAND","42097"
18,50,"PERRY","42099"
18,51,"PHILADELPHIA","42101"
18,52,"PIKE","42103"
18,53,"POTTER","42105"
18,54,"SCHUYLKILL","42107"
18,55,"SNYDER","42109"
18,56,"SOMERSET","42111"
18,57,"SULLIVAN","42113"
18,58,"SUSQUEHANNA","42115"
18,59,"TIOGA","42117"
18,60,"UNION","42119"
18,61,"VENANGO","42121"
18,62,"WARREN","42123"
18,63,"WASHINGTON","42125"
18,64,"WAYNE","42127"
18,65,"WESTMORELAND","42129"
18,66,"WYOMING","42131"
18,67,"YORK","42133"
