"sid","cid","vid","county_name","vote_type","county_fips"
5,1,1,"ADAMS","absentee","42001"
5,1,2,"ADAMS","electionday","42001"
5,1,3,"ADAMS","provisional","42001"
5,2,1,"ALLEGHENY","absentee","42003"
5,2,2,"ALLEGHENY","electionday","42003"
5,2,3,"ALLEGHENY","provisional","42003"
5,3,1,"ARMSTRONG","absentee","42005"
5,3,2,"ARMSTRONG","electionday","42005"
5,3,3,"ARMSTRONG","provisional","42005"
5,4,1,"BEAVER","absentee","42007"
5,4,2,"BEAVER","electionday","42007"
5,4,3,"BEAVER","provisional","42007"
5,5,1,"BEDFORD","absentee","42009"
5,5,2,"BEDFORD","electionday","42009"
5,5,3,"BEDFORD","provisional","42009"
5,6,1,"BERKS","absentee","42011"
5,6,2,"BERKS","electionday","42011"
5,6,3,"BERKS","provisional","42011"
5,7,1,"BLAIR","absentee","42013"
5,7,2,"BLAIR","electionday","42013"
5,7,3,"BLAIR","provisional","42013"
5,8,1,"BRADFORD","absentee","42015"
5,8,2,"BRADFORD","electionday","42015"
5,8,3,"BRADFORD","provisional","42015"
5,9,1,"BUCKS","absentee","42017"
5,9,2,"BUCKS","electionday","42017"
5,9,3,"BUCKS","provisional","42017"
5,10,1,"BUTLER","absentee","42019"
5,10,2,"BUTLER","electionday","42019"
5,10,3,"BUTLER","provisional","42019"
5,11,1,"CAMBRIA","absentee","42021"
5,11,2,"CAMBRIA","electionday","42021"
5,11,3,"CAMBRIA","provisional","42021"
5,12,1,"CAMERON","absentee","42023"
5,12,2,"CAMERON","electionday","42023"
5,12,3,"CAMERON","provisional","42023"
5,13,1,"CARBON","absentee","42025"
5,13,2,"CARBON","electionday","42025"
5,13,3,"CARBON","provisional","42025"
5,14,1,"CENTRE","absentee","42027"
5,14,2,"CENTRE","electionday","42027"
5,14,3,"CENTRE","provisional","42027"
5,15,1,"CHESTER","absentee","42029"
5,15,2,"CHESTER","electionday","42029"
5,15,3,"CHESTER","provisional","42029"
5,16,1,"CLARION","absentee","42031"
5,16,2,"CLARION","electionday","42031"
5,16,3,"CLARION","provisional","42031"
5,17,1,"CLEARFIELD","absentee","42033"
5,17,2,"CLEARFIELD","electionday","42033"
5,17,3,"CLEARFIELD","provisional","42033"
5,18,1,"CLINTON","absentee","42035"
5,18,2,"CLINTON","electionday","42035"
5,18,3,"CLINTON","provisional","42035"
5,19,1,"COLUMBIA","absentee","42037"
5,19,2,"COLUMBIA","electionday","42037"
5,19,3,"COLUMBIA","provisional","42037"
5,20,1,"CRAWFORD","absentee","42039"
5,20,2,"CRAWFORD","electionday","42039"
5,20,3,"CRAWFORD","provisional","42039"
5,21,1,"CUMBERLAND","absentee","42041"
5,21,2,"CUMBERLAND","electionday","42041"
5,21,3,"CUMBERLAND","provisional","42041"
5,22,1,"DAUPHIN","absentee","42043"
5,22,2,"DAUPHIN","electionday","42043"
5,22,3,"DAUPHIN","provisional","42043"
5,23,1,"DELAWARE","absentee","42045"
5,23,2,"DELAWARE","electionday","42045"
5,23,3,"DELAWARE","provisional","42045"
5,24,1,"ELK","absentee","42047"
5,24,2,"ELK","electionday","42047"
5,24,3,"ELK","provisional","42047"
5,25,1,"ERIE","absentee","42049"
5,25,2,"ERIE","electionday","42049"
5,25,3,"ERIE","provisional","42049"
5,26,1,"FAYETTE","absentee","42051"
5,26,2,"FAYETTE","electionday","42051"
5,26,3,"FAYETTE","provisional","42051"
5,27,1,"FOREST","absentee","42053"
5,27,2,"FOREST","electionday","42053"
