"sid","cid","vid","county_name","vote_type","county_fips"
19,1,1,"ABBEVILLE","total","unknown"
19,2,1,"AIKEN","total","unknown"
19,3,1,"ALLENDALE","total","unknown"
19,4,1,"ANDERSON","total","unknown"
19,5,1,"BAMBERG","total","unknown"
19,6,1,"BARNWELL","total","unknown"
19,7,1,"BEAUFORT","total","unknown"
19,8,1,"BERKELEY","total","unknown"
19,9,1,"CALHOUN","total","unknown"
19,10,1,"CHARLESTON","total","unknown"
19,11,1,"CHEROKEE","total","unknown"
19,12,1,"CHESTER","total","unknown"
19,13,1,"CHESTERFIELD","total","unknown"
19,14,1,"CLARENDON","total","unknown"
19,15,1,"COLLETON","total","unknown"
19,16,1,"DARLINGTON","total","unknown"
19,17,1,"DILLON","total","unknown"
19,18,1,"DORCHESTER","total","unknown"
19,19,1,"EDGEFIELD","total","unknown"
19,20,1,"FAIRFIELD","total","unknown"
19,21,1,"FLORENCE","total","unknown"
19,22,1,"GEORGETOWN","total","unknown"
19,23,1,"GREENVILLE","total","unknown"
19,24,1,"GREENWOOD","total","unknown"
19,25,1,"HAMPTON","total","unknown"
19,26,1,"HORRY","total","unknown"
19,27,1,"JASPER","total","unknown"
19,28,1,"KERSHAW","total","unknown"
19,29,1,"LANCASTER","total","unknown"
19,30,1,"LAURENS","total","unknown"
19,31,1,"LEE","total","unknown"
19,32,1,"LEXINGTON","total","unknown"
19,33,1,"MARION","total","unknown"
19,34,1,"MARLBORO","total","unknown"
19,35,1,"MCCORMICK","total","unknown"
19,36,1,"NEWBERRY","total","unknown"
19,37,1,"OCONEE","total","unknown"
19,38,1,"ORANGEBURG","total","unknown"
19,39,1,"PICKENS","total","unknown"
19,40,1,"RICHLAND","total","unknown"
19,41,1,"SALUDA","total","unknown"
19,42,1,"SPARTANBURG","total","unknown"
19,43,1,"SUMTER","total","unknown"
19,44,1,"UNION","total","unknown"
19,45,1,"WILLIAMSBURG","total","unknown"
19,46,1,"YORK","total","unknown"
