"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
19,1,1,1,"ABBEVILLE","Abbeville No. 1","total","unknown","unknown","unknown"
19,1,2,1,"ABBEVILLE","Abbeville No. 2","total","unknown","unknown","unknown"
19,1,3,1,"ABBEVILLE","Abbeville No. 3","total","unknown","unknown","unknown"
19,1,4,1,"ABBEVILLE","Abbeville No. 4","total","unknown","unknown","unknown"
19,1,5,1,"ABBEVILLE","Antreville","total","unknown","unknown","unknown"
19,1,6,1,"ABBEVILLE","Broadmouth","total","unknown","unknown","unknown"
19,1,7,1,"ABBEVILLE","Calhoun Falls","total","unknown","unknown","unknown"
19,1,8,1,"ABBEVILLE","Cold Springs","total","unknown","unknown","unknown"
19,1,9,1,"ABBEVILLE","Donald's","total","unknown","unknown","unknown"
19,1,10,1,"ABBEVILLE","Due West","total","unknown","unknown","unknown"
19,1,11,1,"ABBEVILLE","Failsafe","total","unknown","unknown","unknown"
19,1,12,1,"ABBEVILLE","Failsafe Provisional","total","unknown","unknown","unknown"
19,1,13,1,"ABBEVILLE","Hall's Store","total","unknown","unknown","unknown"
19,1,14,1,"ABBEVILLE","Keowee","total","unknown","unknown","unknown"
19,1,15,1,"ABBEVILLE","Lebanon","total","unknown","unknown","unknown"
19,1,16,1,"ABBEVILLE","Lowndesville","total","unknown","unknown","unknown"
19,1,17,1,"ABBEVILLE","Provisional","total","unknown","unknown","unknown"
19,1,18,1,"ABBEVILLE","Smithville","total","unknown","unknown","unknown"
19,2,19,1,"AIKEN","Aiken No. 1","total","unknown","unknown","unknown"
19,2,20,1,"AIKEN","Aiken No. 2","total","unknown","unknown","unknown"
19,2,21,1,"AIKEN","Aiken No. 3","total","unknown","unknown","unknown"
19,2,22,1,"AIKEN","Aiken No. 4","total","unknown","unknown","unknown"
19,2,23,1,"AIKEN","Aiken No. 47","total","unknown","unknown","unknown"
19,2,24,1,"AIKEN","Aiken No. 5","total","unknown","unknown","unknown"
19,2,25,1,"AIKEN","Aiken No. 6","total","unknown","unknown","unknown"
19,2,26,1,"AIKEN","Anderson Pond No. 69","total","unknown","unknown","unknown"
19,2,27,1,"AIKEN","Ascauga Lake No. 63","total","unknown","unknown","unknown"
19,2,28,1,"AIKEN","Ascauga Lake No. 84","total","unknown","unknown","unknown"
19,2,29,1,"AIKEN","Bath","total","unknown","unknown","unknown"
19,2,30,1,"AIKEN","Beech Island","total","unknown","unknown","unknown"
19,2,31,1,"AIKEN","Belvedere No. 44","total","unknown","unknown","unknown"
19,2,32,1,"AIKEN","Belvedere No. 62","total","unknown","unknown","unknown"
19,2,33,1,"AIKEN","Belvedere No. 74","total","unknown","unknown","unknown"
19,2,34,1,"AIKEN","Belvedere No. 9","total","unknown","unknown","unknown"
19,2,35,1,"AIKEN","Breezy Hill","total","unknown","unknown","unknown"
19,2,36,1,"AIKEN","Carolina Heights","total","unknown","unknown","unknown"
19,2,37,1,"AIKEN","Cedar Creek No. 64","total","unknown","unknown","unknown"
19,2,38,1,"AIKEN","China Springs","total","unknown","unknown","unknown"
19,2,39,1,"AIKEN","Clearwater","total","unknown","unknown","unknown"
19,2,40,1,"AIKEN","College Acres","total","unknown","unknown","unknown"
19,2,41,1,"AIKEN","Couchton","total","unknown","unknown","unknown"
19,2,42,1,"AIKEN","Eureka","total","unknown","unknown","unknown"
19,2,43,1,"AIKEN","Failsafe","total","unknown","unknown","unknown"
19,2,44,1,"AIKEN","Failsafe Provisional","total","unknown","unknown","unknown"
19,2,45,1,"AIKEN","Fox Creek No. 58","total","unknown","unknown","unknown"
19,2,46,1,"AIKEN","Fox Creek No. 73","total","unknown","unknown","unknown"
19,2,47,1,"AIKEN","Gem Lakes No. 60","total","unknown","unknown","unknown"
19,2,48,1,"AIKEN","Gem Lakes No. 77","total","unknown","unknown","unknown"
