"sid","cid","pid","county_name","precinct_id","county_fips","precinct_geo_id","precinct_name"
20,1,1,"AURORA","Precinct-1","unknown","unknown","unknown"
20,1,2,"AURORA","Precinct-2","unknown","unknown","unknown"
20,1,3,"AURORA","Precinct-3","unknown","unknown","unknown"
20,1,4,"AURORA","Precinct-5","unknown","unknown","unknown"
20,1,5,"AURORA","Precinct-7","unknown","unknown","unknown"
20,2,13,"BEADLE","Precinct-12","unknown","unknown","unknown"
20,2,14,"BEADLE","Precinct-15","unknown","unknown","unknown"
20,2,15,"BEADLE","Precinct-17","unknown","unknown","unknown"
20,2,6,"BEADLE","Precinct 1","unknown","unknown","unknown"
20,2,7,"BEADLE","Precinct 2","unknown","unknown","unknown"
20,2,8,"BEADLE","Precinct 3","unknown","unknown","unknown"
20,2,9,"BEADLE","Precinct 7-1","unknown","unknown","unknown"
20,2,10,"BEADLE","Precinct 7-2","unknown","unknown","unknown"
20,2,11,"BEADLE","Precinct 8-1","unknown","unknown","unknown"
20,2,12,"BEADLE","Precinct 8-2","unknown","unknown","unknown"
20,3,16,"BENNETT","Allen Precinct","unknown","unknown","unknown"
20,3,17,"BENNETT","Martin City Precinct","unknown","unknown","unknown"
20,3,18,"BENNETT","Martin Rural 26/27 Precinct","unknown","unknown","unknown"
20,3,19,"BENNETT","Vetal/Tuthill Precinct","unknown","unknown","unknown"
20,4,20,"BON HOMME","Precinct-1","unknown","unknown","unknown"
20,4,21,"BON HOMME","Precinct-2","unknown","unknown","unknown"
20,4,22,"BON HOMME","Precinct-3","unknown","unknown","unknown"
20,4,23,"BON HOMME","Precinct-4","unknown","unknown","unknown"
20,4,24,"BON HOMME","Precinct-5","unknown","unknown","unknown"
20,5,25,"BROOKINGS","1-1 Brookings Activity Center","unknown","unknown","unknown"
20,5,26,"BROOKINGS","1-10 Volga Community Center","unknown","unknown","unknown"
20,5,27,"BROOKINGS","1-11 Holy Life Tabernacle","unknown","unknown","unknown"
20,5,28,"BROOKINGS","1-2 Bethel Baptist Church","unknown","unknown","unknown"
20,5,29,"BROOKINGS","1-4 Aurora Little Hall","unknown","unknown","unknown"
20,5,30,"BROOKINGS","1-5 Elkton Community Center","unknown","unknown","unknown"
20,5,31,"BROOKINGS","1-6 McKnight Hall","unknown","unknown","unknown"
20,5,32,"BROOKINGS","1-7 Bruce City Hall","unknown","unknown","unknown"
20,5,33,"BROOKINGS","Absentee Precinct","unknown","unknown","unknown"
20,6,34,"BROWN","Absentee Precinct","unknown","unknown","unknown"
20,6,35,"BROWN","AmericInn Event Center","unknown","unknown","unknown"
20,6,36,"BROWN","Best Western Ramkota Hotel and Convention Center","unknown","unknown","unknown"
20,6,37,"BROWN","Claremont City Hall","unknown","unknown","unknown"
20,6,38,"BROWN","Columbia Legion","unknown","unknown","unknown"
20,6,39,"BROWN","Courthouse Community Room","unknown","unknown","unknown"
20,6,40,"BROWN","Frederick Community Center","unknown","unknown","unknown"
20,6,41,"BROWN","Groton Community Center","unknown","unknown","unknown"
20,6,42,"BROWN","Hecla Community Center","unknown","unknown","unknown"
20,6,43,"BROWN","Stratford Communty Center","unknown","unknown","unknown"
20,6,44,"BROWN","Warner Community Center","unknown","unknown","unknown"
20,6,45,"BROWN","Westport Town Hall","unknown","unknown","unknown"
20,7,46,"BRULE","Precinct-01","unknown","unknown","unknown"
20,7,47,"BRULE","Precinct-02","unknown","unknown","unknown"
20,7,48,"BRULE","Precinct-03","unknown","unknown","unknown"
20,7,49,"BRULE","Precinct-04","unknown","unknown","unknown"
20,7,50,"BRULE","Precinct-05","unknown","unknown","unknown"
20,8,51,"BUFFALO","Precinct-1","unknown","unknown","unknown"
20,8,52,"BUFFALO","Precinct-2","unknown","unknown","unknown"
20,8,53,"BUFFALO","Precinct-3","unknown","unknown","unknown"
