"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,20,1,1,1,319,254,57,8
0,20,1,2,1,146,128,17,1
0,20,1,3,1,421,307,96,18
0,20,1,4,1,189,130,58,1
0,20,1,5,1,330,233,89,8
0,20,2,6,1,1272,897,350,25
0,20,2,7,1,625,364,237,24
0,20,2,8,1,579,337,220,22
0,20,2,9,1,815,548,238,29
0,20,2,10,1,829,531,286,12
0,20,2,11,1,654,396,242,16
0,20,2,12,1,741,506,221,14
0,20,2,13,1,912,722,182,8
0,20,2,14,1,358,298,57,3
0,20,2,15,1,296,209,74,13
0,20,3,16,1,257,59,194,4
0,20,3,17,1,366,214,143,9
0,20,3,18,1,390,269,112,9
0,20,3,19,1,170,152,17,1
0,20,4,20,1,570,460,105,5
0,20,4,21,1,508,389,110,9
0,20,4,22,1,719,484,223,12
0,20,4,23,1,564,403,154,7
0,20,4,24,1,640,499,129,12
0,20,5,25,1,987,576,359,52
0,20,5,26,1,919,712,169,38
0,20,5,27,1,595,437,139,19
0,20,5,28,1,1249,828,369,52
0,20,5,29,1,465,343,105,17
0,20,5,30,1,360,272,77,11
0,20,5,31,1,476,398,62,16
0,20,5,32,1,386,295,80,11
0,20,5,33,1,9130,4139,4750,241
0,20,6,34,1,11582,6144,5178,260
0,20,6,35,1,1291,992,258,41
0,20,6,36,1,1355,1032,282,41
0,20,6,37,1,132,96,35,1
0,20,6,38,1,210,170,37,3
0,20,6,39,1,1258,859,353,46
0,20,6,40,1,210,156,45,9
0,20,6,41,1,652,494,149,9
0,20,6,42,1,178,129,48,1
0,20,6,43,1,148,93,49,6
0,20,6,44,1,365,272,84,9
0,20,6,45,1,166,143,20,3
0,20,7,46,1,1328,836,452,40
0,20,7,47,1,559,449,98,12
0,20,7,48,1,409,305,94,10
0,20,7,49,1,88,72,13,3
0,20,7,50,1,106,88,16,2
0,20,8,51,1,121,98,22,1
0,20,8,52,1,83,39,44,0
0,20,8,53,1,345,46,286,13
0,20,9,54,1,44,41,2,1
0,20,9,55,1,560,477,70,13
0,20,9,56,1,74,64,10,0
0,20,9,57,1,104,90,14,0
0,20,9,58,1,798,649,131,18
0,20,9,59,1,416,349,60,7
0,20,9,60,1,124,88,25,11
0,20,9,61,1,242,199,38,5
0,20,9,62,1,277,189,81,7
0,20,9,63,1,224,151,62,11
0,20,9,64,1,240,174,56,10
0,20,9,65,1,367,259,90,18
0,20,9,66,1,393,303,85,5
0,20,9,67,1,260,197,51,12
0,20,9,68,1,263,201,57,5
0,20,9,69,1,416,300,107,9
0,20,10,70,1,155,129,24,2
0,20,10,71,1,181,150,29,2
0,20,10,72,1,172,151,20,1
0,20,10,73,1,174,148,24,2
0,20,10,74,1,191,169,20,2
0,20,11,75,1,476,314,156,6
0,20,11,76,1,201,134,65,2
0,20,11,77,1,545,266,267,12
0,20,11,78,1,199,73,124,2
0,20,11,79,1,364,229,133,2
0,20,11,80,1,230,101,127,2
0,20,11,81,1,141,94,46,1
0,20,11,82,1,184,159,21,4
0,20,11,83,1,403,345,55,3
0,20,11,84,1,150,134,11,5
0,20,11,85,1,717,577,130,10
0,20,11,86,1,92,74,13,5
0,20,11,87,1,81,52,29,0
0,20,12,88,1,168,120,41,7
0,20,12,89,1,142,101,40,1
0,20,12,90,1,103,78,21,4
0,20,12,91,1,124,97,26,1
0,20,12,92,1,229,175,50,4
0,20,12,93,1,125,94,29,2
0,20,12,94,1,140,105,33,2
0,20,12,95,1,100,90,7,3
0,20,12,96,1,111,88,21,2
0,20,12,97,1,181,126,51,4
0,20,12,98,1,174,120,50,4
