"sid","cid","vid","county_name","vote_type","county_fips"
21,1,1,"ADAMS","total","53001"
21,2,1,"ASOTIN","total","53003"
21,3,1,"BENTON","total","53005"
21,4,1,"CHELAN","total","53007"
21,5,1,"CLALLAM","total","53009"
21,6,1,"CLARK","total","53011"
21,7,1,"COLUMBIA","total","53013"
21,8,1,"COWLITZ","total","53015"
21,9,1,"DOUGLAS","total","53017"
21,10,1,"FERRY","total","53019"
21,11,1,"FRANKLIN","total","53021"
21,12,1,"GARFIELD","total","53023"
21,13,1,"GRANT","total","53025"
21,14,1,"GRAYS HARBOR","total","53027"
21,15,1,"ISLAND","total","53029"
21,16,1,"JEFFERSON","total","53031"
21,17,1,"KING","total","53033"
21,18,1,"KITSAP","total","53035"
21,19,1,"KITTITAS","total","53037"
21,20,1,"KLICKITAT","total","53039"
21,21,1,"LEWIS","total","53041"
21,22,1,"LINCOLN","total","53043"
21,23,1,"MASON","total","53045"
21,24,1,"OKANOGAN","total","53047"
21,25,1,"PACIFIC","total","53049"
21,26,1,"PEND OREILLE","total","53051"
21,27,1,"PIERCE","total","53053"
21,28,1,"SAN JUAN","total","53055"
21,29,1,"SKAGIT","total","53057"
21,30,1,"SKAMANIA","total","53059"
21,31,1,"SNOHOMISH","total","53061"
21,32,1,"SPOKANE","total","53063"
21,33,1,"STEVENS","total","53065"
21,34,1,"THURSTON","total","53067"
21,35,1,"WAHKIAKUM","total","53069"
21,36,1,"WALLA WALLA","total","53071"
21,37,1,"WHATCOM","total","53073"
21,38,1,"WHITMAN","total","53075"
21,39,1,"YAKIMA","total","53077"
