"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,21,1,1,1,171,48,118,5
0,21,1,2,1,136,34,100,2
0,21,1,3,1,219,66,147,6
0,21,1,4,1,202,52,147,3
0,21,1,5,1,218,50,161,7
0,21,1,6,1,175,30,142,3
0,21,1,7,1,171,25,143,3
0,21,1,8,1,128,19,108,1
0,21,1,9,1,36,7,29,0
0,21,1,10,1,122,29,90,3
0,21,1,11,1,77,9,67,1
0,21,1,12,1,46,5,41,0
0,21,1,13,1,252,56,189,7
0,21,1,14,1,20,3,16,1
0,21,1,15,1,84,17,66,1
0,21,1,16,1,32,6,25,1
0,21,1,17,1,66,10,56,0
0,21,1,18,1,44,4,37,3
0,21,1,19,1,19,7,12,0
0,21,1,20,1,89,35,51,3
0,21,1,21,1,385,197,175,13
0,21,1,22,1,413,217,182,14
0,21,1,23,1,333,135,187,11
0,21,1,24,1,341,129,202,10
0,21,1,25,1,456,181,257,18
0,21,1,26,1,183,95,85,3
0,21,1,27,1,263,80,178,5
0,21,1,28,1,385,104,275,6
0,21,1,29,1,290,65,221,4
0,21,1,30,1,203,53,148,2
0,21,1,31,1,303,46,252,5
0,21,2,32,1,429,83,336,10
0,21,2,33,1,313,97,202,14
0,21,2,34,1,381,125,250,6
0,21,2,35,1,317,133,174,10
0,21,2,36,1,489,203,259,27
0,21,2,37,1,333,140,176,17
0,21,2,38,1,436,186,233,17
0,21,2,39,1,266,116,145,5
0,21,2,40,1,436,185,231,20
0,21,2,41,1,324,152,158,14
0,21,2,42,1,471,194,261,16
0,21,2,43,1,73,10,61,2
0,21,2,44,1,530,169,352,9
0,21,2,45,1,819,261,531,27
0,21,2,46,1,182,60,111,11
0,21,2,47,1,418,137,270,11
0,21,2,48,1,834,221,594,19
0,21,2,49,1,815,291,506,18
0,21,2,50,1,551,194,342,15
0,21,2,51,1,304,79,217,8
0,21,2,52,1,473,161,292,20
0,21,2,53,1,538,181,337,20
0,21,2,54,1,657,226,418,13
0,21,2,55,1,532,231,280,21
0,21,2,56,1,473,180,278,15
0,21,2,57,1,557,235,305,17
0,21,3,58,1,3,0,3,0
0,21,3,59,1,1,0,1,0
0,21,3,60,1,50,8,42,0
