"sid","cid","county_name","county_fips"
22,1,"BARBOUR","unknown"
22,2,"BERKELEY","unknown"
22,3,"BOONE","unknown"
22,4,"BRAXTON","unknown"
22,5,"BROOKE","unknown"
22,6,"CABELL","unknown"
22,7,"CALHOUN","unknown"
22,8,"CLAY","unknown"
22,9,"DODDRIDGE","unknown"
22,10,"FAYETTE","unknown"
22,11,"GILMER","unknown"
22,12,"GRANT","unknown"
22,13,"GREENBRIER","unknown"
22,14,"HAMPSHIRE","unknown"
22,15,"HANCOCK","unknown"
22,16,"HARDY","unknown"
22,17,"HARRISON","unknown"
22,18,"JACKSON","unknown"
22,19,"JEFFERSON","unknown"
22,20,"KANAWHA","unknown"
22,21,"LEWIS","unknown"
22,22,"LINCOLN","unknown"
22,23,"LOGAN","unknown"
22,24,"MARION","unknown"
22,25,"MARSHALL","unknown"
22,26,"MASON","unknown"
22,27,"MCDOWELL","unknown"
22,28,"MERCER","unknown"
22,29,"MINERAL","unknown"
22,30,"MINGO","unknown"
22,31,"MONONGALIA","unknown"
22,32,"MONROE","unknown"
22,33,"MORGAN","unknown"
22,34,"NICHOLAS","unknown"
22,35,"OHIO","unknown"
22,36,"PENDLETON","unknown"
22,37,"PLEASANTS","unknown"
22,38,"POCAHONTAS","unknown"
22,39,"PRESTON","unknown"
22,40,"PUTNAM","unknown"
22,41,"RALEIGH","unknown"
22,42,"RANDOLPH","unknown"
22,43,"RITCHIE","unknown"
22,44,"ROANE","unknown"
22,45,"SUMMERS","unknown"
22,46,"TAYLOR","unknown"
22,47,"TUCKER","unknown"
22,48,"TYLER","unknown"
22,49,"UPSHUR","unknown"
22,50,"WAYNE","unknown"
22,51,"WEBSTER","unknown"
22,52,"WETZEL","unknown"
22,53,"WIRT","unknown"
22,54,"WOOD","unknown"
22,55,"WYOMING","unknown"
