"sid","cid","vid","county_name","vote_type","county_fips"
22,1,1,"BARBOUR","total","unknown"
22,2,1,"BERKELEY","total","unknown"
22,3,1,"BOONE","total","unknown"
22,4,1,"BRAXTON","total","unknown"
22,5,1,"BROOKE","total","unknown"
22,6,1,"CABELL","total","unknown"
22,7,1,"CALHOUN","total","unknown"
22,8,1,"CLAY","total","unknown"
22,9,1,"DODDRIDGE","total","unknown"
22,10,1,"FAYETTE","total","unknown"
22,11,1,"GILMER","total","unknown"
22,12,1,"GRANT","total","unknown"
22,13,1,"GREENBRIER","total","unknown"
22,14,1,"HAMPSHIRE","total","unknown"
22,15,1,"HANCOCK","total","unknown"
22,16,1,"HARDY","total","unknown"
22,17,1,"HARRISON","total","unknown"
22,18,1,"JACKSON","total","unknown"
22,19,1,"JEFFERSON","total","unknown"
22,20,1,"KANAWHA","total","unknown"
22,21,1,"LEWIS","total","unknown"
22,22,1,"LINCOLN","total","unknown"
22,23,1,"LOGAN","total","unknown"
22,24,1,"MARION","total","unknown"
22,25,1,"MARSHALL","total","unknown"
22,26,1,"MASON","total","unknown"
22,27,1,"MCDOWELL","total","unknown"
22,28,1,"MERCER","total","unknown"
22,29,1,"MINERAL","total","unknown"
22,30,1,"MINGO","total","unknown"
22,31,1,"MONONGALIA","total","unknown"
22,32,1,"MONROE","total","unknown"
22,33,1,"MORGAN","total","unknown"
22,34,1,"NICHOLAS","total","unknown"
22,35,1,"OHIO","total","unknown"
22,36,1,"PENDLETON","total","unknown"
22,37,1,"PLEASANTS","total","unknown"
22,38,1,"POCAHONTAS","total","unknown"
22,39,1,"PRESTON","total","unknown"
22,40,1,"PUTNAM","total","unknown"
22,41,1,"RALEIGH","total","unknown"
22,42,1,"RANDOLPH","total","unknown"
22,43,1,"RITCHIE","total","unknown"
22,44,1,"ROANE","total","unknown"
22,45,1,"SUMMERS","total","unknown"
22,46,1,"TAYLOR","total","unknown"
22,47,1,"TUCKER","total","unknown"
22,48,1,"TYLER","total","unknown"
22,49,1,"UPSHUR","total","unknown"
22,50,1,"WAYNE","total","unknown"
22,51,1,"WEBSTER","total","unknown"
22,52,1,"WETZEL","total","unknown"
22,53,1,"WIRT","total","unknown"
22,54,1,"WOOD","total","unknown"
22,55,1,"WYOMING","total","unknown"
