"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,22,1,1,1,489,400,87,2
0,22,1,2,1,320,263,51,6
0,22,1,3,1,521,364,147,10
0,22,1,4,1,553,440,105,8
0,22,1,5,1,791,584,192,15
0,22,1,6,1,797,640,144,13
0,22,1,7,1,559,441,113,5
0,22,1,8,1,399,321,72,6
0,22,1,9,1,568,438,117,13
0,22,1,10,1,246,180,58,8
0,22,1,11,1,549,357,180,12
0,22,1,12,1,629,494,129,6
0,22,1,13,1,256,194,62,0
0,22,2,14,1,459,250,199,10
0,22,2,15,1,635,302,329,4
0,22,2,16,1,969,680,265,24
0,22,2,17,1,503,313,183,7
0,22,2,18,1,1176,619,535,22
0,22,2,19,1,221,146,70,5
0,22,2,20,1,589,324,257,8
0,22,2,21,1,1059,584,449,26
0,22,2,22,1,1409,957,421,31
0,22,2,23,1,1068,643,396,29
0,22,2,24,1,797,525,257,15
0,22,2,25,1,721,483,216,22
0,22,2,26,1,606,427,171,8
0,22,2,27,1,658,425,220,13
0,22,2,28,1,922,568,325,29
0,22,2,29,1,464,220,230,14
0,22,2,30,1,327,142,178,7
0,22,2,31,1,1053,564,458,31
0,22,2,32,1,843,447,379,17
0,22,2,33,1,945,519,405,21
0,22,2,34,1,1248,735,478,35
0,22,2,35,1,681,511,160,10
0,22,2,36,1,1040,478,539,23
0,22,2,37,1,689,553,128,8
0,22,2,38,1,1386,937,434,15
0,22,2,39,1,392,250,138,4
0,22,2,40,1,328,241,80,7
0,22,2,41,1,1147,709,409,29
0,22,2,42,1,535,349,182,4
0,22,2,43,1,337,226,108,3
0,22,2,44,1,580,428,143,9
0,22,2,45,1,738,468,258,12
0,22,2,46,1,1122,726,376,20
0,22,2,47,1,1190,750,413,27
0,22,2,48,1,720,542,171,7
0,22,2,49,1,241,122,109,10
0,22,2,50,1,1055,754,289,12
0,22,2,51,1,1062,749,292,21
0,22,2,52,1,1198,788,387,23
0,22,2,53,1,599,389,205,5
0,22,2,54,1,1087,686,370,31
0,22,2,55,1,468,324,132,12
0,22,2,56,1,1147,878,246,23
0,22,2,57,1,660,527,116,17
0,22,2,58,1,846,601,228,17
0,22,2,59,1,727,524,179,24
0,22,2,60,1,505,372,127,6
0,22,2,61,1,591,462,113,16
0,22,2,62,1,555,434,117,4
0,22,2,63,1,910,697,193,20
0,22,2,64,1,822,707,103,12
0,22,2,65,1,1337,837,477,23
0,22,2,66,1,377,261,112,4
0,22,2,67,1,387,223,158,6
0,22,2,68,1,1302,919,360,23
0,22,2,69,1,869,588,267,14
0,22,2,70,1,912,672,214,26
0,22,2,71,1,1227,892,314,21
0,22,2,72,1,809,449,337,23
0,22,2,73,1,766,527,221,18
0,22,2,74,1,1138,747,359,32
0,22,2,75,1,320,179,135,6
0,22,2,76,1,286,123,155,8
0,22,2,77,1,587,229,334,24
0,22,2,78,1,406,209,185,12
0,22,2,79,1,782,369,392,21
0,22,3,80,1,332,281,44,7
0,22,3,81,1,513,353,151,9
0,22,3,82,1,334,212,116,6
0,22,3,83,1,394,294,96,4
0,22,3,84,1,710,545,156,9
0,22,3,85,1,306,243,59,4
0,22,3,86,1,149,128,16,5
0,22,3,87,1,316,208,98,10
0,22,3,88,1,305,227,77,1
0,22,3,89,1,405,301,99,5
0,22,3,90,1,313,249,61,3
0,22,3,91,1,468,333,130,5
0,22,3,92,1,291,248,41,2
0,22,3,93,1,389,275,101,13
0,22,3,94,1,236,188,41,7
0,22,3,95,1,529,423,95,11
0,22,3,96,1,163,136,23,4
0,22,3,97,1,276,224,50,2
0,22,3,98,1,245,180,55,10
0,22,3,99,1,171,125,44,2
0,22,3,100,1,320,232,80,8
0,22,3,101,1,492,363,122,7
0,22,3,102,1,434,355,75,4
0,22,3,103,1,148,94,50,4
0,22,3,104,1,511,382,122,7
0,22,3,105,1,262,217,39,6
0,22,4,106,1,253,174,77,2
0,22,4,107,1,133,111,22,0
0,22,4,108,1,398,295,98,5
0,22,4,109,1,434,289,134,11
0,22,4,110,1,532,336,186,10
0,22,4,111,1,492,358,124,10
0,22,4,112,1,342,241,92,9
0,22,4,113,1,150,115,33,2
0,22,4,114,1,244,207,35,2
0,22,4,115,1,235,181,46,8
0,22,4,116,1,173,125,45,3
0,22,4,117,1,253,181,71,1
0,22,4,118,1,504,342,150,12
0,22,4,119,1,110,87,23,0
0,22,4,120,1,348,241,102,5
0,22,4,121,1,164,121,42,1
0,22,4,122,1,217,175,42,0
0,22,4,123,1,682,541,135,6
0,22,5,124,1,525,377,137,11
0,22,5,125,1,358,222,129,7
0,22,5,126,1,384,305,74,5
0,22,5,127,1,218,143,69,6
0,22,5,128,1,605,465,133,7
0,22,5,129,1,374,278,87,9
0,22,5,130,1,328,240,81,7
0,22,5,131,1,660,489,164,7
