"timeStamp","precinctId","countyName","voteType","candidate","votes","delta"
"2020-11-27 04:08:19.000","1-A","Adams","total","trumpd","570","570"
"2020-11-27 04:08:19.000","1-A","Adams","total","bidenj","252","252"
"2020-11-27 04:08:19.000","1-A","Adams","total","jorgensenj","20","20"
"2020-11-27 04:08:19.000","1-B","Adams","total","trumpd","401","401"
"2020-11-27 04:08:19.000","1-B","Adams","total","bidenj","187","187"
"2020-11-27 04:08:19.000","1-B","Adams","total","jorgensenj","15","15"
"2020-11-27 04:08:19.000","1-C","Adams","total","trumpd","297","297"
"2020-11-27 04:08:19.000","1-C","Adams","total","bidenj","222","222"
"2020-11-27 04:08:19.000","1-C","Adams","total","jorgensenj","12","12"
"2020-11-27 04:08:19.000","2-A","Adams","total","trumpd","258","258"
"2020-11-27 04:08:19.000","2-A","Adams","total","bidenj","77","77"
"2020-11-27 04:08:19.000","2-A","Adams","total","jorgensenj","9","9"
"2020-11-27 04:08:19.000","2-B","Adams","total","trumpd","458","458"
"2020-11-27 04:08:19.000","2-B","Adams","total","bidenj","176","176"
"2020-11-27 04:08:19.000","2-B","Adams","total","jorgensenj","18","18"
"2020-11-27 04:08:19.000","2-C","Adams","total","trumpd","388","388"
"2020-11-27 04:08:19.000","2-C","Adams","total","bidenj","170","170"
"2020-11-27 04:08:19.000","2-C","Adams","total","jorgensenj","12","12"
"2020-11-27 04:08:19.000","2-D","Adams","total","trumpd","658","658"
"2020-11-27 04:08:19.000","2-D","Adams","total","bidenj","306","306"
"2020-11-27 04:08:19.000","2-D","Adams","total","jorgensenj","14","14"
"2020-11-27 04:08:19.000","2-E","Adams","total","trumpd","459","459"
"2020-11-27 04:08:19.000","2-E","Adams","total","bidenj","182","182"
"2020-11-27 04:08:19.000","2-E","Adams","total","jorgensenj","17","17"
"2020-11-27 04:08:19.000","3-A","Adams","total","trumpd","392","392"
"2020-11-27 04:08:19.000","3-A","Adams","total","bidenj","248","248"
"2020-11-27 04:08:19.000","3-A","Adams","total","jorgensenj","12","12"
"2020-11-27 04:08:19.000","3-B","Adams","total","trumpd","310","310"
"2020-11-27 04:08:19.000","3-B","Adams","total","bidenj","250","250"
"2020-11-27 04:08:19.000","3-B","Adams","total","jorgensenj","15","15"
"2020-11-27 04:08:19.000","3-C","Adams","total","trumpd","441","441"
"2020-11-27 04:08:19.000","3-C","Adams","total","bidenj","254","254"
"2020-11-27 04:08:19.000","3-C","Adams","total","jorgensenj","23","23"
"2020-11-27 04:08:19.000","3-D","Adams","total","trumpd","76","76"
"2020-11-27 04:08:19.000","3-D","Adams","total","bidenj","57","57"
"2020-11-27 04:08:19.000","3-D","Adams","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","3-E","Adams","total","trumpd","848","848"
"2020-11-27 04:08:19.000","3-E","Adams","total","bidenj","361","361"
"2020-11-27 04:08:19.000","3-E","Adams","total","jorgensenj","18","18"
"2020-11-27 04:08:19.000","4-A","Adams","total","trumpd","276","276"
"2020-11-27 04:08:19.000","4-A","Adams","total","bidenj","193","193"
"2020-11-27 04:08:19.000","4-A","Adams","total","jorgensenj","13","13"
"2020-11-27 04:08:19.000","4-B","Adams","total","trumpd","339","339"
"2020-11-27 04:08:19.000","4-B","Adams","total","bidenj","213","213"
"2020-11-27 04:08:19.000","4-B","Adams","total","jorgensenj","15","15"
"2020-11-27 04:08:19.000","4-C","Adams","total","trumpd","169","169"
"2020-11-27 04:08:19.000","4-C","Adams","total","bidenj","156","156"
"2020-11-27 04:08:19.000","4-C","Adams","total","jorgensenj","7","7"
"2020-11-27 04:08:19.000","4-D","Adams","total","trumpd","626","626"
"2020-11-27 04:08:19.000","4-D","Adams","total","bidenj","283","283"
"2020-11-27 04:08:19.000","4-D","Adams","total","jorgensenj","25","25"
"2020-11-27 04:08:19.000","4-E","Adams","total","trumpd","164","164"
"2020-11-27 04:08:19.000","4-E","Adams","total","bidenj","68","68"
"2020-11-27 04:08:19.000","4-E","Adams","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Ayr","Adams","total","trumpd","325","325"
"2020-11-27 04:08:19.000","Ayr","Adams","total","bidenj","77","77"
"2020-11-27 04:08:19.000","Ayr","Adams","total","jorgensenj","9","9"
"2020-11-27 04:08:19.000","Blaine","Adams","total","trumpd","101","101"
"2020-11-27 04:08:19.000","Blaine","Adams","total","bidenj","11","11"
"2020-11-27 04:08:19.000","Blaine","Adams","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","Denver","Adams","total","trumpd","495","495"
"2020-11-27 04:08:19.000","Denver","Adams","total","bidenj","137","137"
"2020-11-27 04:08:19.000","Denver","Adams","total","jorgensenj","10","10"
"2020-11-27 04:08:19.000","Holstein","Adams","total","trumpd","160","160"
"2020-11-27 04:08:19.000","Holstein","Adams","total","bidenj","18","18"
"2020-11-27 04:08:19.000","Holstein","Adams","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","Juniata","Adams","total","trumpd","422","422"
"2020-11-27 04:08:19.000","Juniata","Adams","total","bidenj","97","97"
"2020-11-27 04:08:19.000","Juniata","Adams","total","jorgensenj","12","12"
"2020-11-27 04:08:19.000","Kenesaw","Adams","total","trumpd","556","556"
"2020-11-27 04:08:19.000","Kenesaw","Adams","total","bidenj","86","86"
"2020-11-27 04:08:19.000","Kenesaw","Adams","total","jorgensenj","6","6"
"2020-11-27 04:08:19.000","New/Former Resident","Adams","total","trumpd","2","2"
"2020-11-27 04:08:19.000","New/Former Resident","Adams","total","bidenj","5","5"
"2020-11-27 04:08:19.000","New/Former Resident","Adams","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Pauline","Adams","total","trumpd","170","170"
"2020-11-27 04:08:19.000","Pauline","Adams","total","bidenj","24","24"
"2020-11-27 04:08:19.000","Pauline","Adams","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","Roseland","Adams","total","trumpd","258","258"
"2020-11-27 04:08:19.000","Roseland","Adams","total","bidenj","29","29"
"2020-11-27 04:08:19.000","Roseland","Adams","total","jorgensenj","6","6"
"2020-11-27 04:08:19.000","Verona","Adams","total","trumpd","131","131"
"2020-11-27 04:08:19.000","Verona","Adams","total","bidenj","24","24"
"2020-11-27 04:08:19.000","Verona","Adams","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","trumpd","335","335"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","bidenj","50","50"
"2020-11-27 04:08:19.000","WestBlue/Highland","Adams","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","trumpd","331","331"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","bidenj","34","34"
"2020-11-27 04:08:19.000","Brunswick Precinct","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","trumpd","434","434"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","bidenj","39","39"
"2020-11-27 04:08:19.000","Clearwater Precinct","Antelope","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","trumpd","164","164"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","bidenj","19","19"
"2020-11-27 04:08:19.000","Elgin 1st Ward","Antelope","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","trumpd","190","190"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","bidenj","21","21"
"2020-11-27 04:08:19.000","Elgin 2nd Ward","Antelope","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","trumpd","216","216"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","bidenj","22","22"
"2020-11-27 04:08:19.000","Elgin Precinct","Antelope","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","trumpd","361","361"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","bidenj","60","60"
"2020-11-27 04:08:19.000","Neligh 1st Ward","Antelope","total","jorgensenj","4","4"
