"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:44Z",2020,11,4,10,2,44,1604512964,0,0,0,0
"edison","2020-11-04T01:23:07Z",2020,11,4,1,23,7,1604481787,1053,0,0.407,0.585
"edison","2020-11-04T01:28:39Z",2020,11,4,1,28,39,1604482119,2190,0,0.395,0.602
"edison","2020-11-04T01:29:35Z",2020,11,4,1,29,35,1604482175,3709,0,0.506,0.489
"edison","2020-11-04T01:32:46Z",2020,11,4,1,32,46,1604482366,4280,0,0.52,0.474
"edison","2020-11-04T01:40:51Z",2020,11,4,1,40,51,1604482851,5249,0,0.516,0.476
"edison","2020-11-04T01:41:31Z",2020,11,4,1,41,31,1604482891,8971,0,0.472,0.52
"edison","2020-11-04T01:42:13Z",2020,11,4,1,42,13,1604482933,9234,0,0.463,0.53
"edison","2020-11-04T01:43:04Z",2020,11,4,1,43,4,1604482984,10648,0,0.439,0.551
"edison","2020-11-04T01:45:58Z",2020,11,4,1,45,58,1604483158,11670,0,0.475,0.515
"edison","2020-11-04T01:46:29Z",2020,11,4,1,46,29,1604483189,11672,0,0.475,0.515
"edison","2020-11-04T01:49:11Z",2020,11,4,1,49,11,1604483351,18631,1,0.398,0.592
"edison","2020-11-04T01:52:02Z",2020,11,4,1,52,2,1604483522,21290,1,0.406,0.58
"edison","2020-11-04T01:55:09Z",2020,11,4,1,55,9,1604483709,23626,1,0.423,0.564
"edison","2020-11-04T01:56:07Z",2020,11,4,1,56,7,1604483767,30815,1,0.452,0.533
"edison","2020-11-04T01:57:36Z",2020,11,4,1,57,36,1604483856,32278,1,0.454,0.53
"edison","2020-11-04T02:00:03Z",2020,11,4,2,0,3,1604484003,40640,2,0.468,0.519
"edison","2020-11-04T02:02:35Z",2020,11,4,2,2,35,1604484155,57276,2,0.462,0.526
"edison","2020-11-04T02:02:42Z",2020,11,4,2,2,42,1604484162,57720,2,0.465,0.523
"edison","2020-11-04T02:03:00Z",2020,11,4,2,3,0,1604484180,60973,3,0.489,0.499
"edison","2020-11-04T02:04:16Z",2020,11,4,2,4,16,1604484256,61798,3,0.491,0.497
"edison","2020-11-04T02:06:06Z",2020,11,4,2,6,6,1604484366,64748,3,0.498,0.49
"edison","2020-11-04T02:08:52Z",2020,11,4,2,8,52,1604484532,66834,3,0.497,0.49
"edison","2020-11-04T02:09:29Z",2020,11,4,2,9,29,1604484569,87270,4,0.538,0.449
