"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_tubervillet","vote_shares_jonesd"
"edison","2020-11-04T08:10:22Z",2020,11,4,8,10,22,1604506222,0,0,0,0
"edison","2020-11-04T01:23:27Z",2020,11,4,1,23,27,1604481807,1045,0,0.401,0.599
"edison","2020-11-04T01:29:13Z",2020,11,4,1,29,13,1604482153,2193,0,0.387,0.613
"edison","2020-11-04T01:30:00Z",2020,11,4,1,30,0,1604482200,3702,0,0.496,0.504
"edison","2020-11-04T01:33:25Z",2020,11,4,1,33,25,1604482405,4272,0,0.508,0.492
"edison","2020-11-04T01:41:13Z",2020,11,4,1,41,13,1604482873,4764,0,0.496,0.504
"edison","2020-11-04T01:41:37Z",2020,11,4,1,41,37,1604482897,5245,0,0.504,0.496
"edison","2020-11-04T01:42:00Z",2020,11,4,1,42,0,1604482920,8961,0,0.461,0.539
"edison","2020-11-04T01:42:45Z",2020,11,4,1,42,45,1604482965,9223,0,0.452,0.548
"edison","2020-11-04T01:43:21Z",2020,11,4,1,43,21,1604483001,10632,0,0.426,0.573
"edison","2020-11-04T01:46:35Z",2020,11,4,1,46,35,1604483195,11663,0,0.462,0.537
"edison","2020-11-04T01:46:59Z",2020,11,4,1,46,59,1604483219,11665,0,0.462,0.537
"edison","2020-11-04T01:49:47Z",2020,11,4,1,49,47,1604483387,21198,1,0.391,0.608
"edison","2020-11-04T01:55:35Z",2020,11,4,1,55,35,1604483735,23529,1,0.407,0.593
"edison","2020-11-04T01:56:38Z",2020,11,4,1,56,38,1604483798,30717,1,0.433,0.566
"edison","2020-11-04T01:56:38Z",2020,11,4,1,56,38,1604483798,30717,1,0.433,0.566
"edison","2020-11-04T01:58:05Z",2020,11,4,1,58,5,1604483885,32178,1,0.434,0.565
"edison","2020-11-04T02:00:39Z",2020,11,4,2,0,39,1604484039,40542,2,0.449,0.55
"edison","2020-11-04T02:03:00Z",2020,11,4,2,3,0,1604484180,43525,2,0.442,0.557
"edison","2020-11-04T02:03:30Z",2020,11,4,2,3,30,1604484210,56799,2,0.44,0.56
"edison","2020-11-04T02:03:44Z",2020,11,4,2,3,44,1604484224,60036,3,0.464,0.535
"edison","2020-11-04T02:05:06Z",2020,11,4,2,5,6,1604484306,60847,3,0.467,0.533
"edison","2020-11-04T02:06:38Z",2020,11,4,2,6,38,1604484398,63790,3,0.473,0.527
"edison","2020-11-04T02:09:48Z",2020,11,4,2,9,48,1604484588,67065,3,0.479,0.52
"edison","2020-11-04T02:10:14Z",2020,11,4,2,10,14,1604484614,86891,4,0.517,0.483
"edison","2020-11-04T02:11:32Z",2020,11,4,2,11,32,1604484692,95747,4,0.479,0.52
"edison","2020-11-04T02:12:42Z",2020,11,4,2,12,42,1604484762,101583,4,0.493,0.507
"edison","2020-11-04T02:13:04Z",2020,11,4,2,13,4,1604484784,105677,4,0.495,0.504
"edison","2020-11-04T02:17:02Z",2020,11,4,2,17,2,1604485022,109268,5,0.5,0.499
"edison","2020-11-04T02:17:17Z",2020,11,4,2,17,17,1604485037,114257,5,0.517,0.482
"edison","2020-11-04T02:19:16Z",2020,11,4,2,19,16,1604485156,149324,6,0.484,0.516
