"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T07:47:41Z",2020,11,4,7,47,41,1604504861,113744,31,0.605,0.352
"edison","2020-11-04T08:57:55Z",2020,11,4,8,57,55,1604509075,132475,36,0.614,0.347
"edison","2020-11-04T18:34:58Z",2020,11,4,18,34,58,1604543698,172031,56,0.629,0.33
"edison","2020-11-09T19:09:13Z",2020,11,9,19,9,13,1604977753,190970,61,0.622,0.336
"edison","2020-11-11T02:46:15Z",2020,11,11,2,46,15,1605091575,240234,75,0.58,0.381
"edison","2020-11-11T13:18:28Z",2020,11,11,13,18,28,1605129508,260983,75,0.569,0.391
"edison","2020-11-12T16:41:43Z",2020,11,12,16,41,43,1605228103,286788,78,0.559,0.403
"edison","2020-11-13T02:25:15Z",2020,11,13,2,25,15,1605263115,312033,99,0.541,0.421
"edison","2020-11-13T13:55:46Z",2020,11,13,13,55,46,1605304546,325194,99,0.533,0.425
"edison","2020-11-14T02:43:02Z",2020,11,14,2,43,2,1605350582,334789,99,0.535,0.427
"edison","2020-11-15T18:48:47Z",2020,11,15,18,48,47,1605494927,339523,99,0.535,0.427
"edison","2020-11-16T17:01:35Z",2020,11,16,17,1,35,1605574895,349473,99,0.532,0.43
"edison","2020-11-19T13:17:03Z",2020,11,19,13,17,3,1605820623,356796,99,0.531,0.43
"ap","2020-11-19T00:39:05.800Z",NA,NA,NA,NA,NA,NA,NA,356845,99,0.531,0.43
"edison","2020-11-25T01:55:49Z",2020,11,25,1,55,49,1606298149,356488,99,0.532,0.43
"edison","2020-11-25T02:13:33Z",2020,11,25,2,13,33,1606299213,358802,99,0.528,0.428
