"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T01:06:29Z",2020,11,4,1,6,29,1604480789,7835,0,0.401,0.559
"edison","2020-11-04T01:19:15Z",2020,11,4,1,19,15,1604481555,17302,1,0.318,0.659
"edison","2020-11-04T01:22:49Z",2020,11,4,1,22,49,1604481769,19877,1,0.338,0.64
"edison","2020-11-04T01:31:46Z",2020,11,4,1,31,46,1604482306,24966,1,0.364,0.614
"edison","2020-11-04T01:31:46Z",2020,11,4,1,31,46,1604482306,24966,1,0.364,0.614
"edison","2020-11-04T01:32:00Z",2020,11,4,1,32,0,1604482320,29306,2,0.33,0.649
"edison","2020-11-04T01:36:15Z",2020,11,4,1,36,15,1604482575,35856,2,0.304,0.677
"edison","2020-11-04T01:37:46Z",2020,11,4,1,37,46,1604482666,39132,2,0.31,0.671
"edison","2020-11-04T01:44:02Z",2020,11,4,1,44,2,1604483042,40679,2,0.317,0.664
"edison","2020-11-04T01:45:05Z",2020,11,4,1,45,5,1604483105,44756,2,0.31,0.672
"edison","2020-11-04T01:51:52Z",2020,11,4,1,51,52,1604483512,56399,3,0.324,0.658
"edison","2020-11-04T01:52:12Z",2020,11,4,1,52,12,1604483532,57830,3,0.316,0.667
"edison","2020-11-04T01:55:47Z",2020,11,4,1,55,47,1604483747,59452,3,0.318,0.664
"edison","2020-11-04T01:57:01Z",2020,11,4,1,57,1,1604483821,59850,3,0.323,0.66
"edison","2020-11-04T02:02:51Z",2020,11,4,2,2,51,1604484171,74104,4,0.348,0.633
"edison","2020-11-04T02:05:32Z",2020,11,4,2,5,32,1604484332,76194,4,0.35,0.631
"edison","2020-11-04T02:06:50Z",2020,11,4,2,6,50,1604484410,78358,4,0.354,0.628
"edison","2020-11-04T02:09:10Z",2020,11,4,2,9,10,1604484550,80290,4,0.356,0.625
"edison","2020-11-04T02:10:12Z",2020,11,4,2,10,12,1604484612,84755,5,0.351,0.63
"edison","2020-11-04T02:17:41Z",2020,11,4,2,17,41,1604485061,86526,5,0.347,0.634
"edison","2020-11-04T02:19:06Z",2020,11,4,2,19,6,1604485146,90250,5,0.358,0.624
"edison","2020-11-04T02:23:21Z",2020,11,4,2,23,21,1604485401,93562,5,0.365,0.617
"edison","2020-11-04T02:25:19Z",2020,11,4,2,25,19,1604485519,95905,5,0.365,0.617
"edison","2020-11-04T02:28:17Z",2020,11,4,2,28,17,1604485697,98424,5,0.37,0.611
"edison","2020-11-04T02:29:29Z",2020,11,4,2,29,29,1604485769,104133,6,0.369,0.613
"edison","2020-11-04T02:35:12Z",2020,11,4,2,35,12,1604486112,106625,6,0.37,0.612
"edison","2020-11-04T02:38:05Z",2020,11,4,2,38,5,1604486285,116930,6,0.368,0.615
"edison","2020-11-04T02:40:50Z",2020,11,4,2,40,50,1604486450,119571,6,0.364,0.618
"edison","2020-11-04T02:41:59Z",2020,11,4,2,41,59,1604486519,153634,8,0.374,0.61
"edison","2020-11-04T02:42:22Z",2020,11,4,2,42,22,1604486542,166071,9,0.379,0.605
"edison","2020-11-04T02:42:28Z",2020,11,4,2,42,28,1604486548,170005,9,0.384,0.6
"edison","2020-11-04T02:46:05Z",2020,11,4,2,46,5,1604486765,178854,10,0.391,0.593
"edison","2020-11-04T02:46:36Z",2020,11,4,2,46,36,1604486796,216492,12,0.382,0.602
"edison","2020-11-04T02:49:28Z",2020,11,4,2,49,28,1604486968,220742,12,0.378,0.606
"edison","2020-11-04T02:55:07Z",2020,11,4,2,55,7,1604487307,245479,13,0.39,0.594
"edison","2020-11-04T02:56:55Z",2020,11,4,2,56,55,1604487415,271796,15,0.395,0.59
"edison","2020-11-04T02:59:42Z",2020,11,4,2,59,42,1604487582,274854,15,0.396,0.589
"edison","2020-11-04T03:01:20Z",2020,11,4,3,1,20,1604487680,282748,15,0.394,0.591
"edison","2020-11-04T03:01:41Z",2020,11,4,3,1,41,1604487701,294146,16,0.396,0.588
"edison","2020-11-04T03:06:08Z",2020,11,4,3,6,8,1604487968,301793,16,0.397,0.588
"edison","2020-11-04T03:06:14Z",2020,11,4,3,6,14,1604487974,338194,18,0.405,0.58
"edison","2020-11-04T03:10:43Z",2020,11,4,3,10,43,1604488243,344765,19,0.404,0.58
"edison","2020-11-04T03:11:22Z",2020,11,4,3,11,22,1604488282,354998,19,0.404,0.581
"edison","2020-11-04T03:13:04Z",2020,11,4,3,13,4,1604488384,365193,20,0.41,0.575
"edison","2020-11-04T03:15:32Z",2020,11,4,3,15,32,1604488532,375342,20,0.412,0.572
"edison","2020-11-04T03:19:14Z",2020,11,4,3,19,14,1604488754,417223,23,0.413,0.572
"edison","2020-11-04T03:29:15Z",2020,11,4,3,29,15,1604489355,422273,23,0.415,0.57
"edison","2020-11-04T03:30:59Z",2020,11,4,3,30,59,1604489459,431356,23,0.416,0.569
"edison","2020-11-04T03:32:23Z",2020,11,4,3,32,23,1604489543,453973,25,0.417,0.567
"edison","2020-11-04T03:37:10Z",2020,11,4,3,37,10,1604489830,521970,28,0.422,0.562
"edison","2020-11-04T03:38:30Z",2020,11,4,3,38,30,1604489910,524883,28,0.422,0.563
"edison","2020-11-04T03:38:46Z",2020,11,4,3,38,46,1604489926,524922,28,0.422,0.563
"edison","2020-11-04T03:40:42Z",2020,11,4,3,40,42,1604490042,548341,30,0.423,0.562
"edison","2020-11-04T03:42:24Z",2020,11,4,3,42,24,1604490144,579365,31,0.43,0.554
"edison","2020-11-04T03:49:33Z",2020,11,4,3,49,33,1604490573,632165,34,0.439,0.545
"edison","2020-11-04T03:57:18Z",2020,11,4,3,57,18,1604491038,653330,35,0.431,0.553
"edison","2020-11-04T03:57:31Z",2020,11,4,3,57,31,1604491051,662732,36,0.431,0.553
"edison","2020-11-04T03:57:34Z",2020,11,4,3,57,34,1604491054,729912,39,0.427,0.557
"edison","2020-11-04T04:01:05Z",2020,11,4,4,1,5,1604491265,770145,42,0.424,0.561
"edison","2020-11-04T04:08:39Z",2020,11,4,4,8,39,1604491719,786649,43,0.425,0.56
"edison","2020-11-04T04:09:44Z",2020,11,4,4,9,44,1604491784,786659,43,0.425,0.56
"edison","2020-11-04T04:15:08Z",2020,11,4,4,15,8,1604492108,846501,46,0.416,0.569
"edison","2020-11-04T04:16:23Z",2020,11,4,4,16,23,1604492183,884393,48,0.417,0.567
"edison","2020-11-04T04:17:07Z",2020,11,4,4,17,7,1604492227,892904,48,0.419,0.566
"edison","2020-11-04T04:19:56Z",2020,11,4,4,19,56,1604492396,901736,49,0.42,0.564
