"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T06:22:59Z",2020,11,4,6,22,59,1604499779,0,0,0,0
"edison","2020-11-04T01:28:10Z",2020,11,4,1,28,10,1604482090,115441,23,0.163,0.825
"edison","2020-11-04T03:52:59Z",2020,11,4,3,52,59,1604490779,237335,48,0.356,0.632
"edison","2020-11-04T03:53:17Z",2020,11,4,3,53,17,1604490797,300037,61,0.399,0.588
"edison","2020-11-04T05:07:49Z",2020,11,4,5,7,49,1604495269,300647,61,0.399,0.588
"edison","2020-11-04T05:08:03Z",2020,11,4,5,8,3,1604495283,308006,62,0.407,0.58
"edison","2020-11-04T05:48:15Z",2020,11,4,5,48,15,1604497695,502343,98,0.398,0.588
"edison","2020-11-04T22:46:43Z",2020,11,4,22,46,43,1604558803,502383,99,0.398,0.588
"edison","2020-11-06T03:34:22Z",2020,11,6,3,34,22,1604662462,502384,99,0.398,0.588
"edison","2020-11-09T21:44:52Z",2020,11,9,21,44,52,1604987092,502392,99,0.398,0.588
"edison","2020-11-10T22:30:51Z",2020,11,10,22,30,51,1605076251,504010,99,0.398,0.588
"ap","2020-11-17T17:10:55.047Z",NA,NA,NA,NA,NA,NA,NA,504010,100,0.398,0.588
"edison","2020-11-20T14:18:40Z",2020,11,20,14,18,40,1605910720,504010,100,0.398,0.588
