"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_coonsc","vote_shares_witzkel"
"edison","2020-11-04T06:07:19Z",2020,11,4,6,7,19,1604498839,0,0,0,0
"edison","2020-11-04T03:35:23Z",2020,11,4,3,35,23,1604489723,84047,17,0.516,0.455
"edison","2020-11-04T03:35:51Z",2020,11,4,3,35,51,1604489751,202921,41,0.48,0.494
"edison","2020-11-04T04:00:47Z",2020,11,4,4,0,47,1604491247,479012,97,0.599,0.374
"edison","2020-11-04T05:11:34Z",2020,11,4,5,11,34,1604495494,479890,97,0.599,0.374
"edison","2020-11-04T05:13:20Z",2020,11,4,5,13,20,1604495600,487444,98,0.594,0.379
"edison","2020-11-04T05:16:20Z",2020,11,4,5,16,20,1604495780,487446,98,0.594,0.379
"edison","2020-11-04T05:42:35Z",2020,11,4,5,42,35,1604497355,489421,98,0.595,0.379
"edison","2020-11-04T22:46:44Z",2020,11,4,22,46,44,1604558804,489461,98,0.595,0.379
"edison","2020-11-05T06:51:20Z",2020,11,5,6,51,20,1604587880,489463,98,0.595,0.379
"edison","2020-11-09T18:33:03Z",2020,11,9,18,33,3,1604975583,489473,98,0.595,0.379
"edison","2020-11-11T01:31:06Z",2020,11,11,1,31,6,1605087066,490935,98,0.594,0.379
"ap","2020-11-17T17:10:55.047Z",NA,NA,NA,NA,NA,NA,NA,490935,100,0.594,0.379
