"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T06:43:00Z",2020,11,4,6,43,0,1604500980,0,0,0,0
"edison","2020-11-04T00:02:01Z",2020,11,4,0,2,1,1604476921,560771,5,0.564,0.428
"edison","2020-11-04T00:02:42Z",2020,11,4,0,2,42,1604476962,844914,7,0.557,0.434
"edison","2020-11-04T00:03:26Z",2020,11,4,0,3,26,1604477006,1004171,9,0.556,0.435
"edison","2020-11-04T00:05:44Z",2020,11,4,0,5,44,1604477144,1457441,12,0.524,0.467
"edison","2020-11-04T00:07:05Z",2020,11,4,0,7,5,1604477225,1515932,13,0.53,0.461
"edison","2020-11-04T00:07:48Z",2020,11,4,0,7,48,1604477268,1516751,13,0.53,0.461
"edison","2020-11-04T00:08:50Z",2020,11,4,0,8,50,1604477330,1517513,13,0.53,0.461
"edison","2020-11-04T00:09:04Z",2020,11,4,0,9,4,1604477344,1575006,13,0.532,0.46
"edison","2020-11-04T00:09:47Z",2020,11,4,0,9,47,1604477387,1576355,13,0.532,0.459
"edison","2020-11-04T00:10:11Z",2020,11,4,0,10,11,1604477411,1613677,14,0.531,0.46
"edison","2020-11-04T00:10:49Z",2020,11,4,0,10,49,1604477449,1619774,14,0.532,0.459
"edison","2020-11-04T00:11:09Z",2020,11,4,0,11,9,1604477469,1790869,15,0.533,0.458
"edison","2020-11-04T00:11:13Z",2020,11,4,0,11,13,1604477473,1792571,15,0.533,0.458
"edison","2020-11-04T00:11:36Z",2020,11,4,0,11,36,1604477496,1792783,15,0.533,0.458
"edison","2020-11-04T00:11:47Z",2020,11,4,0,11,47,1604477507,2394114,20,0.509,0.482
"edison","2020-11-04T00:12:48Z",2020,11,4,0,12,48,1604477568,2564464,22,0.493,0.498
"edison","2020-11-04T00:12:52Z",2020,11,4,0,12,52,1604477572,2574380,22,0.493,0.498
"edison","2020-11-04T00:13:10Z",2020,11,4,0,13,10,1604477590,2575945,22,0.493,0.498
"edison","2020-11-04T00:13:49Z",2020,11,4,0,13,49,1604477629,2578773,22,0.493,0.497
"edison","2020-11-04T00:14:23Z",2020,11,4,0,14,23,1604477663,2579357,22,0.493,0.497
"edison","2020-11-04T00:14:47Z",2020,11,4,0,14,47,1604477687,2586442,22,0.494,0.497
"edison","2020-11-04T00:15:17Z",2020,11,4,0,15,17,1604477717,3597254,31,0.482,0.51
"edison","2020-11-04T00:15:47Z",2020,11,4,0,15,47,1604477747,3608125,31,0.483,0.509
"edison","2020-11-04T00:16:05Z",2020,11,4,0,16,5,1604477765,4009077,34,0.479,0.512
"edison","2020-11-04T00:16:49Z",2020,11,4,0,16,49,1604477809,4022428,34,0.48,0.511
"edison","2020-11-04T00:17:59Z",2020,11,4,0,17,59,1604477879,4216993,36,0.488,0.503
"edison","2020-11-04T00:18:58Z",2020,11,4,0,18,58,1604477938,4251251,36,0.49,0.501
"edison","2020-11-04T00:19:34Z",2020,11,4,0,19,34,1604477974,4394611,38,0.487,0.504
"edison","2020-11-04T00:19:52Z",2020,11,4,0,19,52,1604477992,4421947,38,0.489,0.503
"edison","2020-11-04T00:20:14Z",2020,11,4,0,20,14,1604478014,4422310,38,0.488,0.503
"edison","2020-11-04T00:20:56Z",2020,11,4,0,20,56,1604478056,4672412,40,0.496,0.495
"edison","2020-11-04T00:21:07Z",2020,11,4,0,21,7,1604478067,4675995,40,0.496,0.495
"edison","2020-11-04T00:21:29Z",2020,11,4,0,21,29,1604478089,4770161,41,0.498,0.493
"edison","2020-11-04T00:21:42Z",2020,11,4,0,21,42,1604478102,4770729,41,0.498,0.493
"edison","2020-11-04T00:21:56Z",2020,11,4,0,21,56,1604478116,4774181,41,0.499,0.493
"edison","2020-11-04T00:22:49Z",2020,11,4,0,22,49,1604478169,5036107,43,0.501,0.49
"edison","2020-11-04T00:23:01Z",2020,11,4,0,23,1,1604478181,5036380,43,0.501,0.49
"edison","2020-11-04T00:23:35Z",2020,11,4,0,23,35,1604478215,5262968,45,0.501,0.49
"edison","2020-11-04T00:23:47Z",2020,11,4,0,23,47,1604478227,5281884,45,0.502,0.489
"edison","2020-11-04T00:24:00Z",2020,11,4,0,24,0,1604478240,5396506,46,0.498,0.493
"edison","2020-11-04T00:24:56Z",2020,11,4,0,24,56,1604478296,5413273,46,0.498,0.492
"edison","2020-11-04T00:25:07Z",2020,11,4,0,25,7,1604478307,5415649,46,0.499,0.492
"edison","2020-11-04T00:25:42Z",2020,11,4,0,25,42,1604478342,5600690,48,0.502,0.489
"edison","2020-11-04T00:26:00Z",2020,11,4,0,26,0,1604478360,5608333,48,0.502,0.489
"edison","2020-11-04T00:26:14Z",2020,11,4,0,26,14,1604478374,5872900,50,0.502,0.489
"edison","2020-11-04T00:26:48Z",2020,11,4,0,26,48,1604478408,5946317,51,0.503,0.488
"edison","2020-11-04T00:27:19Z",2020,11,4,0,27,19,1604478439,5948096,51,0.503,0.488
"edison","2020-11-04T00:27:29Z",2020,11,4,0,27,29,1604478449,6105904,52,0.505,0.486
"edison","2020-11-04T00:28:01Z",2020,11,4,0,28,1,1604478481,6106065,52,0.505,0.486
"edison","2020-11-04T00:28:26Z",2020,11,4,0,28,26,1604478506,6728426,58,0.495,0.496
"edison","2020-11-04T00:28:47Z",2020,11,4,0,28,47,1604478527,6736124,58,0.495,0.496
"edison","2020-11-04T00:29:02Z",2020,11,4,0,29,2,1604478542,6738338,58,0.495,0.496
"edison","2020-11-04T00:29:42Z",2020,11,4,0,29,42,1604478582,6837681,58,0.497,0.494
"edison","2020-11-04T00:29:49Z",2020,11,4,0,29,49,1604478589,6856633,59,0.497,0.494
"edison","2020-11-04T00:30:05Z",2020,11,4,0,30,5,1604478605,6856672,59,0.497,0.494
"edison","2020-11-04T00:31:02Z",2020,11,4,0,31,2,1604478662,6870987,59,0.498,0.493
"edison","2020-11-04T00:31:07Z",2020,11,4,0,31,7,1604478667,6912356,59,0.499,0.492
"edison","2020-11-04T00:31:47Z",2020,11,4,0,31,47,1604478707,6924156,59,0.5,0.491
"edison","2020-11-04T00:32:23Z",2020,11,4,0,32,23,1604478743,6941978,59,0.5,0.491
"edison","2020-11-04T00:32:39Z",2020,11,4,0,32,39,1604478759,7626450,65,0.487,0.504
"edison","2020-11-04T00:32:54Z",2020,11,4,0,32,54,1604478774,7663353,65,0.487,0.504
"edison","2020-11-04T00:33:51Z",2020,11,4,0,33,51,1604478831,7679949,66,0.487,0.504
"edison","2020-11-04T00:34:30Z",2020,11,4,0,34,30,1604478870,7680204,66,0.487,0.504
"edison","2020-11-04T00:34:45Z",2020,11,4,0,34,45,1604478885,7729812,66,0.488,0.503
"edison","2020-11-04T00:35:46Z",2020,11,4,0,35,46,1604478946,7738581,66,0.489,0.502
"edison","2020-11-04T00:36:00Z",2020,11,4,0,36,0,1604478960,7738941,66,0.489,0.502
"edison","2020-11-04T00:36:10Z",2020,11,4,0,36,10,1604478970,7747111,66,0.489,0.502
"edison","2020-11-04T00:36:48Z",2020,11,4,0,36,48,1604479008,7760218,66,0.489,0.502
"edison","2020-11-04T00:37:27Z",2020,11,4,0,37,27,1604479047,7819799,67,0.491,0.5
"edison","2020-11-04T00:37:34Z",2020,11,4,0,37,34,1604479054,7824706,67,0.491,0.5
"edison","2020-11-04T00:38:05Z",2020,11,4,0,38,5,1604479085,7825323,67,0.491,0.5
"edison","2020-11-04T00:38:40Z",2020,11,4,0,38,40,1604479120,7826306,67,0.491,0.5
"edison","2020-11-04T00:38:50Z",2020,11,4,0,38,50,1604479130,8426560,72,0.483,0.508
"edison","2020-11-04T00:39:06Z",2020,11,4,0,39,6,1604479146,8428979,72,0.483,0.508
"edison","2020-11-04T00:39:56Z",2020,11,4,0,39,56,1604479196,8464097,72,0.484,0.506
"edison","2020-11-04T00:40:48Z",2020,11,4,0,40,48,1604479248,8579601,73,0.487,0.504
"edison","2020-11-04T00:40:59Z",2020,11,4,0,40,59,1604479259,8581989,73,0.487,0.504
"edison","2020-11-04T00:41:23Z",2020,11,4,0,41,23,1604479283,8585058,73,0.487,0.504
"edison","2020-11-04T00:42:51Z",2020,11,4,0,42,51,1604479371,8609030,74,0.487,0.503
"edison","2020-11-04T00:43:23Z",2020,11,4,0,43,23,1604479403,8625828,74,0.487,0.503
"edison","2020-11-04T00:44:14Z",2020,11,4,0,44,14,1604479454,8769938,75,0.487,0.503
"edison","2020-11-04T00:44:47Z",2020,11,4,0,44,47,1604479487,8788093,75,0.488,0.503
