"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_warnockr","vote_shares_loefflerk","vote_shares_collinsd"
"edison","2020-11-04T09:34:03Z",2020,11,4,9,34,3,1604511243,0,0,0,0,0
"edison","2020-11-04T00:15:04Z",2020,11,4,0,15,4,1604477704,296,0,0.199,0.52,0.247
"edison","2020-11-04T00:15:45Z",2020,11,4,0,15,45,1604477745,125178,2,0.46,0.228,0.145
"edison","2020-11-04T00:19:56Z",2020,11,4,0,19,56,1604477996,170421,3,0.391,0.245,0.175
"edison","2020-11-04T00:23:16Z",2020,11,4,0,23,16,1604478196,170624,3,0.391,0.245,0.175
"edison","2020-11-04T00:23:54Z",2020,11,4,0,23,54,1604478234,170929,3,0.39,0.246,0.175
"edison","2020-11-04T00:24:14Z",2020,11,4,0,24,14,1604478254,171481,3,0.39,0.246,0.176
"edison","2020-11-04T00:25:20Z",2020,11,4,0,25,20,1604478320,171835,3,0.389,0.247,0.176
"edison","2020-11-04T00:25:40Z",2020,11,4,0,25,40,1604478340,172229,3,0.389,0.247,0.176
"edison","2020-11-04T00:25:55Z",2020,11,4,0,25,55,1604478355,196010,4,0.387,0.247,0.18
"edison","2020-11-04T00:28:39Z",2020,11,4,0,28,39,1604478519,208615,4,0.374,0.254,0.185
"edison","2020-11-04T00:29:54Z",2020,11,4,0,29,54,1604478594,210598,4,0.372,0.255,0.186
"edison","2020-11-04T00:30:54Z",2020,11,4,0,30,54,1604478654,211238,4,0.372,0.255,0.186
"edison","2020-11-04T00:31:55Z",2020,11,4,0,31,55,1604478715,212193,4,0.373,0.255,0.186
"edison","2020-11-04T00:32:41Z",2020,11,4,0,32,41,1604478761,212499,4,0.373,0.255,0.186
"edison","2020-11-04T00:32:53Z",2020,11,4,0,32,53,1604478773,215953,4,0.369,0.258,0.188
"edison","2020-11-04T00:36:53Z",2020,11,4,0,36,53,1604479013,233222,4,0.356,0.266,0.195
