"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:59:24Z",2020,11,4,9,59,24,1604512764,0,0,0,0
"edison","2020-11-04T04:06:38Z",2020,11,4,4,6,38,1604491598,156,0,0.923,0.064
"edison","2020-11-04T04:12:48Z",2020,11,4,4,12,48,1604491968,188816,24,0.431,0.543
"edison","2020-11-04T04:17:15Z",2020,11,4,4,17,15,1604492235,216665,28,0.453,0.52
"edison","2020-11-04T04:22:02Z",2020,11,4,4,22,2,1604492522,226808,29,0.465,0.509
"edison","2020-11-04T04:22:17Z",2020,11,4,4,22,17,1604492537,240828,31,0.473,0.501
"edison","2020-11-04T04:27:56Z",2020,11,4,4,27,56,1604492876,241935,31,0.474,0.5
"edison","2020-11-04T04:30:05Z",2020,11,4,4,30,5,1604493005,266020,34,0.477,0.496
"edison","2020-11-04T04:35:29Z",2020,11,4,4,35,29,1604493329,325904,42,0.51,0.463
"edison","2020-11-04T04:41:38Z",2020,11,4,4,41,38,1604493698,337439,44,0.514,0.458
"edison","2020-11-04T04:42:54Z",2020,11,4,4,42,54,1604493774,349697,45,0.52,0.451
"edison","2020-11-04T04:46:54Z",2020,11,4,4,46,54,1604494014,389318,50,0.528,0.444
"edison","2020-11-04T04:49:57Z",2020,11,4,4,49,57,1604494197,397863,51,0.523,0.449
"edison","2020-11-04T04:51:56Z",2020,11,4,4,51,56,1604494316,402853,52,0.527,0.445
"edison","2020-11-04T04:54:14Z",2020,11,4,4,54,14,1604494454,403164,52,0.527,0.445
"edison","2020-11-04T04:56:17Z",2020,11,4,4,56,17,1604494577,403226,52,0.527,0.445
"edison","2020-11-04T04:56:42Z",2020,11,4,4,56,42,1604494602,411577,53,0.53,0.442
"edison","2020-11-04T04:58:08Z",2020,11,4,4,58,8,1604494688,423685,55,0.537,0.434
"edison","2020-11-04T05:00:00Z",2020,11,4,5,0,0,1604494800,426878,55,0.539,0.432
"edison","2020-11-04T05:02:23Z",2020,11,4,5,2,23,1604494943,428570,55,0.54,0.431
"edison","2020-11-04T05:04:31Z",2020,11,4,5,4,31,1604495071,437347,56,0.543,0.428
"edison","2020-11-04T05:04:50Z",2020,11,4,5,4,50,1604495090,441291,57,0.544,0.427
"edison","2020-11-04T05:08:28Z",2020,11,4,5,8,28,1604495308,443962,57,0.545,0.426
"edison","2020-11-04T05:11:23Z",2020,11,4,5,11,23,1604495483,457833,59,0.545,0.427
"edison","2020-11-04T05:14:13Z",2020,11,4,5,14,13,1604495653,463519,60,0.547,0.424
"edison","2020-11-04T05:19:45Z",2020,11,4,5,19,45,1604495985,464481,60,0.548,0.424
"edison","2020-11-04T05:21:16Z",2020,11,4,5,21,16,1604496076,466322,60,0.549,0.422
"edison","2020-11-04T05:23:54Z",2020,11,4,5,23,54,1604496234,471060,61,0.551,0.42
"edison","2020-11-04T05:24:16Z",2020,11,4,5,24,16,1604496256,483216,62,0.557,0.415
"edison","2020-11-04T05:26:38Z",2020,11,4,5,26,38,1604496398,486302,63,0.557,0.414
"edison","2020-11-04T05:28:18Z",2020,11,4,5,28,18,1604496498,497101,64,0.561,0.41
"edison","2020-11-04T05:38:06Z",2020,11,4,5,38,6,1604497086,497108,64,0.561,0.41
"edison","2020-11-04T05:41:49Z",2020,11,4,5,41,49,1604497309,499097,64,0.562,0.409
"edison","2020-11-04T05:45:28Z",2020,11,4,5,45,28,1604497528,507085,65,0.566,0.405
"edison","2020-11-04T05:46:21Z",2020,11,4,5,46,21,1604497581,513398,66,0.568,0.403
"edison","2020-11-04T05:51:52Z",2020,11,4,5,51,52,1604497912,518119,67,0.569,0.402
"edison","2020-11-04T05:52:23Z",2020,11,4,5,52,23,1604497943,519840,67,0.569,0.401
"edison","2020-11-04T05:58:24Z",2020,11,4,5,58,24,1604498304,521519,67,0.57,0.4
"edison","2020-11-04T05:59:56Z",2020,11,4,5,59,56,1604498396,568784,73,0.584,0.386
"edison","2020-11-04T06:01:35Z",2020,11,4,6,1,35,1604498495,584848,75,0.586,0.384
"edison","2020-11-04T06:04:13Z",2020,11,4,6,4,13,1604498653,605155,78,0.588,0.381
"edison","2020-11-04T06:05:46Z",2020,11,4,6,5,46,1604498746,609427,79,0.591,0.379
"edison","2020-11-04T06:06:39Z",2020,11,4,6,6,39,1604498799,617568,80,0.593,0.376
"edison","2020-11-04T06:20:12Z",2020,11,4,6,20,12,1604499612,625403,81,0.596,0.373
"edison","2020-11-04T06:22:48Z",2020,11,4,6,22,48,1604499768,640976,83,0.6,0.369
"edison","2020-11-04T06:27:48Z",2020,11,4,6,27,48,1604500068,655538,85,0.604,0.365
"edison","2020-11-04T06:32:34Z",2020,11,4,6,32,34,1604500354,655708,85,0.604,0.365
"edison","2020-11-04T06:38:45Z",2020,11,4,6,38,45,1604500725,656067,85,0.604,0.365
"edison","2020-11-04T06:42:26Z",2020,11,4,6,42,26,1604500946,658653,85,0.605,0.364
"edison","2020-11-04T06:57:43Z",2020,11,4,6,57,43,1604501863,660066,85,0.605,0.364
"edison","2020-11-04T06:58:29Z",2020,11,4,6,58,29,1604501909,665410,86,0.607,0.362
"edison","2020-11-04T07:05:59Z",2020,11,4,7,5,59,1604502359,671666,87,0.609,0.36
"edison","2020-11-04T07:07:44Z",2020,11,4,7,7,44,1604502464,679536,88,0.61,0.359
"edison","2020-11-04T07:11:17Z",2020,11,4,7,11,17,1604502677,691693,89,0.613,0.356
"edison","2020-11-04T07:21:47Z",2020,11,4,7,21,47,1604503307,698175,90,0.614,0.355
"edison","2020-11-04T07:31:54Z",2020,11,4,7,31,54,1604503914,728507,94,0.62,0.349
"edison","2020-11-04T07:32:44Z",2020,11,4,7,32,44,1604503964,728988,94,0.62,0.349
"edison","2020-11-04T07:36:46Z",2020,11,4,7,36,46,1604504206,730817,94,0.62,0.349
"edison","2020-11-04T07:44:21Z",2020,11,4,7,44,21,1604504661,731057,94,0.62,0.349
"edison","2020-11-04T07:48:41Z",2020,11,4,7,48,41,1604504921,731394,94,0.62,0.349
"edison","2020-11-04T08:05:05Z",2020,11,4,8,5,5,1604505905,736147,95,0.622,0.347
"edison","2020-11-04T08:06:49Z",2020,11,4,8,6,49,1604506009,755733,98,0.626,0.342
"edison","2020-11-04T08:41:49Z",2020,11,4,8,41,49,1604508109,785273,99,0.622,0.347
"edison","2020-11-04T08:41:54Z",2020,11,4,8,41,54,1604508114,799548,99,0.625,0.344
"edison","2020-11-04T09:02:51Z",2020,11,4,9,2,51,1604509371,815347,99,0.629,0.34
"edison","2020-11-04T09:28:46Z",2020,11,4,9,28,46,1604510926,820319,99,0.63,0.339
"edison","2020-11-04T10:11:49Z",2020,11,4,10,11,49,1604513509,832234,99,0.629,0.339
"edison","2020-11-04T11:01:51Z",2020,11,4,11,1,51,1604516511,837301,99,0.631,0.338
