"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_rischj","vote_shares_jordanp"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T04:07:11Z",2020,11,4,4,7,11,1604491631,154,0,0.87,0.123
"edison","2020-11-04T04:13:41Z",2020,11,4,4,13,41,1604492021,188507,24,0.446,0.526
"edison","2020-11-04T04:17:56Z",2020,11,4,4,17,56,1604492276,216176,28,0.468,0.503
"edison","2020-11-04T04:22:49Z",2020,11,4,4,22,49,1604492569,226292,29,0.479,0.492
"edison","2020-11-04T04:23:06Z",2020,11,4,4,23,6,1604492586,240277,31,0.486,0.484
"edison","2020-11-04T04:28:29Z",2020,11,4,4,28,29,1604492909,241352,31,0.487,0.483
"edison","2020-11-04T04:30:32Z",2020,11,4,4,30,32,1604493032,265324,34,0.488,0.481
"edison","2020-11-04T04:36:21Z",2020,11,4,4,36,21,1604493381,324848,42,0.517,0.452
"edison","2020-11-04T04:43:08Z",2020,11,4,4,43,8,1604493788,348299,45,0.526,0.442
"edison","2020-11-04T04:47:47Z",2020,11,4,4,47,47,1604494067,387395,50,0.535,0.433
"edison","2020-11-04T04:51:56Z",2020,11,4,4,51,56,1604494316,395910,51,0.53,0.438
"edison","2020-11-04T04:52:34Z",2020,11,4,4,52,34,1604494354,400830,52,0.532,0.435
"edison","2020-11-04T04:54:53Z",2020,11,4,4,54,53,1604494493,401141,52,0.533,0.435
"edison","2020-11-04T04:57:41Z",2020,11,4,4,57,41,1604494661,409398,53,0.535,0.432
"edison","2020-11-04T04:59:15Z",2020,11,4,4,59,15,1604494755,421404,54,0.542,0.424
"edison","2020-11-04T05:00:30Z",2020,11,4,5,0,30,1604494830,424582,55,0.544,0.422
"edison","2020-11-04T05:03:05Z",2020,11,4,5,3,5,1604494985,426231,55,0.545,0.421
"edison","2020-11-04T05:05:30Z",2020,11,4,5,5,30,1604495130,438836,57,0.549,0.417
"edison","2020-11-04T05:09:09Z",2020,11,4,5,9,9,1604495349,441437,57,0.549,0.417
"edison","2020-11-04T05:11:50Z",2020,11,4,5,11,50,1604495510,455226,59,0.549,0.417
"edison","2020-11-04T05:14:50Z",2020,11,4,5,14,50,1604495690,460911,59,0.551,0.415
"edison","2020-11-04T05:20:27Z",2020,11,4,5,20,27,1604496027,461859,60,0.551,0.415
"edison","2020-11-04T05:24:18Z",2020,11,4,5,24,18,1604496258,466561,60,0.553,0.413
"edison","2020-11-04T05:26:59Z",2020,11,4,5,26,59,1604496419,481554,62,0.558,0.407
"edison","2020-11-04T05:29:22Z",2020,11,4,5,29,22,1604496562,492203,64,0.561,0.404
"edison","2020-11-04T05:42:41Z",2020,11,4,5,42,41,1604497361,494153,64,0.562,0.403
"edison","2020-11-04T05:46:42Z",2020,11,4,5,46,42,1604497602,508334,66,0.567,0.397
"edison","2020-11-04T05:52:53Z",2020,11,4,5,52,53,1604497973,514692,66,0.568,0.396
"edison","2020-11-04T05:54:25Z",2020,11,4,5,54,25,1604498065,519483,67,0.566,0.398
"edison","2020-11-04T05:59:01Z",2020,11,4,5,59,1,1604498341,521158,67,0.567,0.397
"edison","2020-11-04T05:59:55Z",2020,11,4,5,59,55,1604498395,565759,73,0.582,0.38
"edison","2020-11-04T06:01:21Z",2020,11,4,6,1,21,1604498481,566829,73,0.582,0.381
"edison","2020-11-04T06:02:15Z",2020,11,4,6,2,15,1604498535,575797,74,0.583,0.38
"edison","2020-11-04T06:04:55Z",2020,11,4,6,4,55,1604498695,595807,77,0.584,0.378
"edison","2020-11-04T06:05:46Z",2020,11,4,6,5,46,1604498746,600034,77,0.586,0.376
"edison","2020-11-04T06:05:58Z",2020,11,4,6,5,58,1604498758,605913,78,0.587,0.375
"edison","2020-11-04T06:07:35Z",2020,11,4,6,7,35,1604498855,613772,79,0.588,0.373
"edison","2020-11-04T06:20:50Z",2020,11,4,6,20,50,1604499650,621569,80,0.591,0.37
"edison","2020-11-04T06:22:48Z",2020,11,4,6,22,48,1604499768,636964,82,0.595,0.366
"edison","2020-11-04T06:27:48Z",2020,11,4,6,27,48,1604500068,651410,84,0.598,0.363
"edison","2020-11-04T06:33:12Z",2020,11,4,6,33,12,1604500392,651573,84,0.598,0.363
"edison","2020-11-04T06:38:45Z",2020,11,4,6,38,45,1604500725,651935,84,0.598,0.363
"edison","2020-11-04T06:42:48Z",2020,11,4,6,42,48,1604500968,653496,84,0.598,0.363
"edison","2020-11-04T06:58:45Z",2020,11,4,6,58,45,1604501925,654899,85,0.598,0.362
