"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_durbinr","vote_shares_curranm"
"edison","2020-11-04T09:59:44Z",2020,11,4,9,59,44,1604512784,0,0,0,0
"edison","2020-11-04T01:33:44Z",2020,11,4,1,33,44,1604482424,40756,1,0.374,0.572
"edison","2020-11-04T01:34:50Z",2020,11,4,1,34,50,1604482490,244911,4,0.549,0.399
"edison","2020-11-04T01:40:21Z",2020,11,4,1,40,21,1604482821,245014,4,0.549,0.399
"edison","2020-11-04T01:41:43Z",2020,11,4,1,41,43,1604482903,416682,7,0.553,0.401
"edison","2020-11-04T01:44:18Z",2020,11,4,1,44,18,1604483058,424176,7,0.55,0.403
"edison","2020-11-04T01:45:27Z",2020,11,4,1,45,27,1604483127,488060,8,0.543,0.413
"edison","2020-11-04T01:47:11Z",2020,11,4,1,47,11,1604483231,512174,8,0.531,0.423
"edison","2020-11-04T01:51:12Z",2020,11,4,1,51,12,1604483472,522765,8,0.528,0.426
"edison","2020-11-04T01:58:12Z",2020,11,4,1,58,12,1604483892,523021,8,0.528,0.426
"edison","2020-11-04T02:00:20Z",2020,11,4,2,0,20,1604484020,559508,9,0.545,0.406
"edison","2020-11-04T02:00:51Z",2020,11,4,2,0,51,1604484051,588581,9,0.546,0.405
"edison","2020-11-04T02:02:50Z",2020,11,4,2,2,50,1604484170,589844,9,0.546,0.405
"edison","2020-11-04T02:04:10Z",2020,11,4,2,4,10,1604484250,590951,9,0.546,0.405
"edison","2020-11-04T02:05:07Z",2020,11,4,2,5,7,1604484307,596579,10,0.545,0.406
"edison","2020-11-04T02:07:40Z",2020,11,4,2,7,40,1604484460,696333,11,0.546,0.406
"edison","2020-11-04T02:08:25Z",2020,11,4,2,8,25,1604484505,697347,11,0.546,0.407
"edison","2020-11-04T02:08:38Z",2020,11,4,2,8,38,1604484518,697557,11,0.546,0.407
"edison","2020-11-04T02:10:51Z",2020,11,4,2,10,51,1604484651,698337,11,0.545,0.407
"edison","2020-11-04T02:11:48Z",2020,11,4,2,11,48,1604484708,699387,11,0.545,0.408
"edison","2020-11-04T02:12:43Z",2020,11,4,2,12,43,1604484763,764689,12,0.547,0.407
"edison","2020-11-04T02:13:09Z",2020,11,4,2,13,9,1604484789,766772,12,0.546,0.408
"edison","2020-11-04T02:14:43Z",2020,11,4,2,14,43,1604484883,767963,12,0.545,0.409
"edison","2020-11-04T02:14:54Z",2020,11,4,2,14,54,1604484894,833340,13,0.562,0.386
"edison","2020-11-04T02:15:47Z",2020,11,4,2,15,47,1604484947,836143,13,0.561,0.387
"edison","2020-11-04T02:16:53Z",2020,11,4,2,16,53,1604485013,836893,13,0.561,0.387
"edison","2020-11-04T02:17:18Z",2020,11,4,2,17,18,1604485038,838373,13,0.56,0.388
"edison","2020-11-04T02:18:14Z",2020,11,4,2,18,14,1604485094,841690,13,0.559,0.389
"edison","2020-11-04T02:18:47Z",2020,11,4,2,18,47,1604485127,844425,14,0.559,0.39
"edison","2020-11-04T02:19:43Z",2020,11,4,2,19,43,1604485183,863331,14,0.555,0.392
"edison","2020-11-04T02:19:54Z",2020,11,4,2,19,54,1604485194,869110,14,0.554,0.394
"edison","2020-11-04T02:22:31Z",2020,11,4,2,22,31,1604485351,873261,14,0.552,0.395
"edison","2020-11-04T02:23:42Z",2020,11,4,2,23,42,1604485422,874854,14,0.552,0.396
"edison","2020-11-04T02:27:50Z",2020,11,4,2,27,50,1604485670,878768,14,0.551,0.397
"edison","2020-11-04T02:29:33Z",2020,11,4,2,29,33,1604485773,879339,14,0.55,0.397
"edison","2020-11-04T02:30:01Z",2020,11,4,2,30,1,1604485801,885408,14,0.55,0.398
"edison","2020-11-04T02:30:40Z",2020,11,4,2,30,40,1604485840,887094,14,0.549,0.399
"edison","2020-11-04T02:31:57Z",2020,11,4,2,31,57,1604485917,888659,14,0.549,0.399
"edison","2020-11-04T02:32:21Z",2020,11,4,2,32,21,1604485941,904169,14,0.547,0.401
"edison","2020-11-04T02:33:20Z",2020,11,4,2,33,20,1604486000,905458,15,0.547,0.401
"edison","2020-11-04T02:33:59Z",2020,11,4,2,33,59,1604486039,910083,15,0.545,0.403
"edison","2020-11-04T02:36:22Z",2020,11,4,2,36,22,1604486182,912123,15,0.545,0.403
"edison","2020-11-04T02:37:14Z",2020,11,4,2,37,14,1604486234,912856,15,0.544,0.404
"edison","2020-11-04T02:37:49Z",2020,11,4,2,37,49,1604486269,918960,15,0.542,0.406
"edison","2020-11-04T02:38:34Z",2020,11,4,2,38,34,1604486314,919225,15,0.542,0.406
"edison","2020-11-04T02:39:01Z",2020,11,4,2,39,1,1604486341,921533,15,0.541,0.407
"edison","2020-11-04T02:39:16Z",2020,11,4,2,39,16,1604486356,933147,15,0.538,0.411
"edison","2020-11-04T02:40:25Z",2020,11,4,2,40,25,1604486425,977484,16,0.539,0.41
"edison","2020-11-04T02:40:50Z",2020,11,4,2,40,50,1604486450,979637,16,0.539,0.41
"edison","2020-11-04T02:41:27Z",2020,11,4,2,41,27,1604486487,1003555,16,0.534,0.415
"edison","2020-11-04T02:41:41Z",2020,11,4,2,41,41,1604486501,1005856,16,0.534,0.416
"edison","2020-11-04T02:42:18Z",2020,11,4,2,42,18,1604486538,1014195,16,0.533,0.417
"edison","2020-11-04T02:44:00Z",2020,11,4,2,44,0,1604486640,1016322,16,0.532,0.418
"edison","2020-11-04T02:44:33Z",2020,11,4,2,44,33,1604486673,1031010,17,0.529,0.421
"edison","2020-11-04T02:46:12Z",2020,11,4,2,46,12,1604486772,1034148,17,0.528,0.422
"edison","2020-11-04T02:46:59Z",2020,11,4,2,46,59,1604486819,1040864,17,0.526,0.424
"edison","2020-11-04T02:47:21Z",2020,11,4,2,47,21,1604486841,1081027,17,0.533,0.414
"edison","2020-11-04T02:48:13Z",2020,11,4,2,48,13,1604486893,1083814,17,0.532,0.415
"edison","2020-11-04T02:49:41Z",2020,11,4,2,49,41,1604486981,1086998,17,0.531,0.416
"edison","2020-11-04T02:49:51Z",2020,11,4,2,49,51,1604486991,1094755,18,0.533,0.413
"edison","2020-11-04T02:50:11Z",2020,11,4,2,50,11,1604487011,1131647,18,0.531,0.416
"edison","2020-11-04T02:54:19Z",2020,11,4,2,54,19,1604487259,1135544,18,0.529,0.417
"edison","2020-11-04T02:54:53Z",2020,11,4,2,54,53,1604487293,1137676,18,0.529,0.417
"edison","2020-11-04T02:55:16Z",2020,11,4,2,55,16,1604487316,1138833,18,0.528,0.418
"edison","2020-11-04T02:55:37Z",2020,11,4,2,55,37,1604487337,1197317,19,0.53,0.418
"edison","2020-11-04T02:56:18Z",2020,11,4,2,56,18,1604487378,1200450,19,0.529,0.418
"edison","2020-11-04T02:56:35Z",2020,11,4,2,56,35,1604487395,1201505,19,0.529,0.418
"edison","2020-11-04T02:57:52Z",2020,11,4,2,57,52,1604487472,1221539,20,0.525,0.422
"edison","2020-11-04T02:58:22Z",2020,11,4,2,58,22,1604487502,1227376,20,0.524,0.423
"edison","2020-11-04T02:58:31Z",2020,11,4,2,58,31,1604487511,1231876,20,0.524,0.424
"edison","2020-11-04T02:58:56Z",2020,11,4,2,58,56,1604487536,1494009,24,0.561,0.372
"edison","2020-11-04T02:59:47Z",2020,11,4,2,59,47,1604487587,1497386,24,0.561,0.373
"edison","2020-11-04T03:00:27Z",2020,11,4,3,0,27,1604487627,1499367,24,0.56,0.373
"edison","2020-11-04T03:00:44Z",2020,11,4,3,0,44,1604487644,1503292,24,0.559,0.374
"edison","2020-11-04T03:02:37Z",2020,11,4,3,2,37,1604487757,1587502,25,0.55,0.383
"edison","2020-11-04T03:03:58Z",2020,11,4,3,3,58,1604487838,1590047,25,0.55,0.383
"edison","2020-11-04T03:04:46Z",2020,11,4,3,4,46,1604487886,1603780,26,0.547,0.386
"edison","2020-11-04T03:05:53Z",2020,11,4,3,5,53,1604487953,1617396,26,0.546,0.387
"edison","2020-11-04T03:06:35Z",2020,11,4,3,6,35,1604487995,1624312,26,0.544,0.389
"edison","2020-11-04T03:07:52Z",2020,11,4,3,7,52,1604488072,1645314,26,0.542,0.391
"edison","2020-11-04T03:08:19Z",2020,11,4,3,8,19,1604488099,1650908,26,0.541,0.392
"edison","2020-11-04T03:09:27Z",2020,11,4,3,9,27,1604488167,1654045,27,0.541,0.393
"edison","2020-11-04T03:09:47Z",2020,11,4,3,9,47,1604488187,1657018,27,0.541,0.393
"edison","2020-11-04T03:10:10Z",2020,11,4,3,10,10,1604488210,1658063,27,0.54,0.394
"edison","2020-11-04T03:11:08Z",2020,11,4,3,11,8,1604488268,1665846,27,0.539,0.395
"edison","2020-11-04T03:11:11Z",2020,11,4,3,11,11,1604488271,1666252,27,0.539,0.395
"edison","2020-11-04T03:11:29Z",2020,11,4,3,11,29,1604488289,1672656,27,0.538,0.396
"edison","2020-11-04T03:12:31Z",2020,11,4,3,12,31,1604488351,1676532,27,0.538,0.397
"edison","2020-11-04T03:13:26Z",2020,11,4,3,13,26,1604488406,1682809,27,0.536,0.398
"edison","2020-11-04T03:13:33Z",2020,11,4,3,13,33,1604488413,1688867,27,0.536,0.399
"edison","2020-11-04T03:14:05Z",2020,11,4,3,14,5,1604488445,1699450,27,0.534,0.401
"edison","2020-11-04T03:15:36Z",2020,11,4,3,15,36,1604488536,1933840,31,0.56,0.37
"edison","2020-11-04T03:17:22Z",2020,11,4,3,17,22,1604488642,1938878,31,0.559,0.371
"edison","2020-11-04T03:20:48Z",2020,11,4,3,20,48,1604488848,1939761,31,0.559,0.371
"edison","2020-11-04T03:21:15Z",2020,11,4,3,21,15,1604488875,1944392,31,0.559,0.371
