"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:04Z",2020,11,4,10,1,4,1604512864,0,0,0,0
"edison","2020-11-03T23:12:16Z",2020,11,3,23,12,16,1604473936,7987,0,0.684,0.297
"edison","2020-11-03T23:17:15Z",2020,11,3,23,17,15,1604474235,20679,1,0.683,0.298
"edison","2020-11-03T23:21:27Z",2020,11,3,23,21,27,1604474487,28938,1,0.662,0.32
"edison","2020-11-03T23:21:46Z",2020,11,3,23,21,46,1604474506,33917,1,0.667,0.314
"edison","2020-11-03T23:27:45Z",2020,11,3,23,27,45,1604474865,42979,1,0.665,0.315
"edison","2020-11-03T23:30:26Z",2020,11,3,23,30,26,1604475026,59440,2,0.667,0.314
"edison","2020-11-03T23:34:02Z",2020,11,3,23,34,2,1604475242,69896,2,0.672,0.309
"edison","2020-11-03T23:37:55Z",2020,11,3,23,37,55,1604475475,81051,3,0.669,0.313
"edison","2020-11-03T23:39:06Z",2020,11,3,23,39,6,1604475546,84990,3,0.67,0.312
"edison","2020-11-03T23:41:40Z",2020,11,3,23,41,40,1604475700,88386,3,0.669,0.312
"edison","2020-11-03T23:42:29Z",2020,11,3,23,42,29,1604475749,119881,4,0.641,0.34
"edison","2020-11-03T23:44:32Z",2020,11,3,23,44,32,1604475872,148381,5,0.627,0.353
"edison","2020-11-03T23:44:56Z",2020,11,3,23,44,56,1604475896,148541,5,0.628,0.353
"edison","2020-11-03T23:46:48Z",2020,11,3,23,46,48,1604476008,149884,5,0.629,0.351
"edison","2020-11-03T23:50:23Z",2020,11,3,23,50,23,1604476223,151436,5,0.63,0.35
"edison","2020-11-03T23:50:53Z",2020,11,3,23,50,53,1604476253,160596,5,0.635,0.345
"edison","2020-11-03T23:51:23Z",2020,11,3,23,51,23,1604476283,172429,6,0.639,0.341
"edison","2020-11-03T23:51:44Z",2020,11,3,23,51,44,1604476304,172801,6,0.639,0.341
"edison","2020-11-03T23:53:12Z",2020,11,3,23,53,12,1604476392,173673,6,0.64,0.34
"edison","2020-11-03T23:54:39Z",2020,11,3,23,54,39,1604476479,174011,6,0.64,0.34
"edison","2020-11-03T23:55:17Z",2020,11,3,23,55,17,1604476517,174368,6,0.64,0.34
"edison","2020-11-03T23:55:35Z",2020,11,3,23,55,35,1604476535,187306,6,0.641,0.337
"edison","2020-11-03T23:55:47Z",2020,11,3,23,55,47,1604476547,202078,7,0.646,0.332
"edison","2020-11-03T23:59:52Z",2020,11,3,23,59,52,1604476792,229365,7,0.638,0.34
"edison","2020-11-04T00:00:58Z",2020,11,4,0,0,58,1604476858,230035,7,0.637,0.341
"edison","2020-11-04T00:01:56Z",2020,11,4,0,1,56,1604476916,235494,8,0.639,0.339
"edison","2020-11-04T00:03:37Z",2020,11,4,0,3,37,1604477017,238029,8,0.641,0.337
"edison","2020-11-04T00:05:26Z",2020,11,4,0,5,26,1604477126,239508,8,0.642,0.336
"edison","2020-11-04T00:07:41Z",2020,11,4,0,7,41,1604477261,241340,8,0.642,0.335
"edison","2020-11-04T00:08:06Z",2020,11,4,0,8,6,1604477286,242475,8,0.643,0.335
"edison","2020-11-04T00:08:45Z",2020,11,4,0,8,45,1604477325,243447,8,0.644,0.334
"edison","2020-11-04T00:11:04Z",2020,11,4,0,11,4,1604477464,248602,8,0.647,0.331
"edison","2020-11-04T00:11:35Z",2020,11,4,0,11,35,1604477495,256538,8,0.649,0.328
"edison","2020-11-04T00:13:09Z",2020,11,4,0,13,9,1604477589,261642,9,0.649,0.329
"edison","2020-11-04T00:13:37Z",2020,11,4,0,13,37,1604477617,290254,9,0.658,0.32
"edison","2020-11-04T00:13:44Z",2020,11,4,0,13,44,1604477624,298265,10,0.658,0.32
