"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T01:09:19Z",2020,11,4,1,9,19,1604480959,4987,0,0.563,0.417
"edison","2020-11-04T01:10:11Z",2020,11,4,1,10,11,1604481011,267929,20,0.41,0.573
"edison","2020-11-04T01:18:51Z",2020,11,4,1,18,51,1604481531,268631,20,0.411,0.572
"edison","2020-11-04T01:20:59Z",2020,11,4,1,20,59,1604481659,269938,20,0.413,0.57
"edison","2020-11-04T01:26:50Z",2020,11,4,1,26,50,1604482010,400831,30,0.446,0.542
"edison","2020-11-04T01:27:55Z",2020,11,4,1,27,55,1604482075,415828,31,0.443,0.544
"edison","2020-11-04T01:28:27Z",2020,11,4,1,28,27,1604482107,417051,31,0.443,0.544
"edison","2020-11-04T01:33:02Z",2020,11,4,1,33,2,1604482382,417144,31,0.443,0.544
"edison","2020-11-04T01:35:06Z",2020,11,4,1,35,6,1604482506,418609,31,0.442,0.542
"edison","2020-11-04T01:35:35Z",2020,11,4,1,35,35,1604482535,433712,33,0.445,0.538
"edison","2020-11-04T01:42:31Z",2020,11,4,1,42,31,1604482951,433717,33,0.445,0.538
"edison","2020-11-04T01:43:11Z",2020,11,4,1,43,11,1604482991,433772,33,0.445,0.538
"edison","2020-11-04T01:44:36Z",2020,11,4,1,44,36,1604483076,452663,34,0.443,0.54
"edison","2020-11-04T01:46:22Z",2020,11,4,1,46,22,1604483182,458060,34,0.444,0.539
"edison","2020-11-04T01:47:06Z",2020,11,4,1,47,6,1604483226,465388,35,0.444,0.539
"edison","2020-11-04T01:48:03Z",2020,11,4,1,48,3,1604483283,471182,35,0.445,0.537
"edison","2020-11-04T01:50:27Z",2020,11,4,1,50,27,1604483427,472997,36,0.446,0.536
"edison","2020-11-04T01:50:49Z",2020,11,4,1,50,49,1604483449,472997,36,0.455,0.527
"edison","2020-11-04T01:51:08Z",2020,11,4,1,51,8,1604483468,477264,36,0.456,0.527
"edison","2020-11-04T01:52:21Z",2020,11,4,1,52,21,1604483541,478114,36,0.457,0.526
"edison","2020-11-04T01:56:26Z",2020,11,4,1,56,26,1604483786,479245,36,0.458,0.525
"edison","2020-11-04T01:57:36Z",2020,11,4,1,57,36,1604483856,482382,36,0.456,0.522
"edison","2020-11-04T02:02:11Z",2020,11,4,2,2,11,1604484131,482738,36,0.456,0.522
"edison","2020-11-04T02:02:39Z",2020,11,4,2,2,39,1604484159,485512,37,0.457,0.521
"edison","2020-11-04T02:04:06Z",2020,11,4,2,4,6,1604484246,486052,37,0.457,0.521
"edison","2020-11-04T02:05:18Z",2020,11,4,2,5,18,1604484318,487500,37,0.458,0.52
"edison","2020-11-04T02:06:45Z",2020,11,4,2,6,45,1604484405,494002,37,0.46,0.518
"edison","2020-11-04T02:07:20Z",2020,11,4,2,7,20,1604484440,502510,38,0.463,0.516
"edison","2020-11-04T02:08:19Z",2020,11,4,2,8,19,1604484499,503948,38,0.464,0.515
"edison","2020-11-04T02:08:24Z",2020,11,4,2,8,24,1604484504,505883,38,0.465,0.514
"edison","2020-11-04T02:09:10Z",2020,11,4,2,9,10,1604484550,509438,38,0.467,0.511
"edison","2020-11-04T02:10:12Z",2020,11,4,2,10,12,1604484612,511867,38,0.469,0.509
"edison","2020-11-04T02:10:50Z",2020,11,4,2,10,50,1604484650,521810,39,0.469,0.51
"edison","2020-11-04T02:12:43Z",2020,11,4,2,12,43,1604484763,523345,39,0.47,0.508
"edison","2020-11-04T02:12:46Z",2020,11,4,2,12,46,1604484766,523367,39,0.47,0.508
"edison","2020-11-04T02:12:59Z",2020,11,4,2,12,59,1604484779,523740,39,0.47,0.508
"edison","2020-11-04T02:15:24Z",2020,11,4,2,15,24,1604484924,527870,40,0.473,0.506
"edison","2020-11-04T02:19:42Z",2020,11,4,2,19,42,1604485182,529456,40,0.474,0.504
"edison","2020-11-04T02:19:55Z",2020,11,4,2,19,55,1604485195,537109,40,0.478,0.5
"edison","2020-11-04T02:20:53Z",2020,11,4,2,20,53,1604485253,538309,40,0.478,0.5
"edison","2020-11-04T02:23:10Z",2020,11,4,2,23,10,1604485390,543096,41,0.481,0.497
"edison","2020-11-04T02:24:16Z",2020,11,4,2,24,16,1604485456,543745,41,0.481,0.496
"edison","2020-11-04T02:25:05Z",2020,11,4,2,25,5,1604485505,547047,41,0.484,0.494
"edison","2020-11-04T02:25:19Z",2020,11,4,2,25,19,1604485519,551181,41,0.485,0.493
"edison","2020-11-04T02:26:39Z",2020,11,4,2,26,39,1604485599,561591,42,0.477,0.506
"edison","2020-11-04T02:27:14Z",2020,11,4,2,27,14,1604485634,603482,45,0.467,0.515
"edison","2020-11-04T02:28:05Z",2020,11,4,2,28,5,1604485685,604826,45,0.468,0.514
"edison","2020-11-04T02:28:23Z",2020,11,4,2,28,23,1604485703,635463,48,0.473,0.509
"edison","2020-11-04T02:28:32Z",2020,11,4,2,28,32,1604485712,635662,48,0.473,0.509
"edison","2020-11-04T02:29:39Z",2020,11,4,2,29,39,1604485779,638547,48,0.474,0.507
"edison","2020-11-04T02:30:27Z",2020,11,4,2,30,27,1604485827,638693,48,0.474,0.507
"edison","2020-11-04T02:31:41Z",2020,11,4,2,31,41,1604485901,654625,49,0.477,0.505
"edison","2020-11-04T02:31:53Z",2020,11,4,2,31,53,1604485913,656641,49,0.477,0.504
"edison","2020-11-04T02:33:49Z",2020,11,4,2,33,49,1604486029,661818,50,0.48,0.502
"edison","2020-11-04T02:34:04Z",2020,11,4,2,34,4,1604486044,733943,55,0.492,0.486
"edison","2020-11-04T02:37:05Z",2020,11,4,2,37,5,1604486225,736786,55,0.501,0.474
"edison","2020-11-04T02:38:54Z",2020,11,4,2,38,54,1604486334,747163,56,0.503,0.472
