"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:06:01Z",2020,11,4,8,6,1,1604505961,0,0,0,0
"edison","2020-11-03T23:18:18Z",2020,11,3,23,18,18,1604474298,6100,0,0.858,0.133
"edison","2020-11-03T23:19:41Z",2020,11,3,23,19,41,1604474381,7715,0,0.817,0.173
"edison","2020-11-03T23:20:56Z",2020,11,3,23,20,56,1604474456,23326,1,0.693,0.295
"edison","2020-11-03T23:23:02Z",2020,11,3,23,23,2,1604474582,26769,1,0.707,0.28
"edison","2020-11-03T23:24:53Z",2020,11,3,23,24,53,1604474693,52058,2,0.673,0.312
"edison","2020-11-03T23:26:39Z",2020,11,3,23,26,39,1604474799,55858,2,0.675,0.311
"edison","2020-11-03T23:28:53Z",2020,11,3,23,28,53,1604474933,64360,3,0.685,0.3
"edison","2020-11-03T23:29:22Z",2020,11,3,23,29,22,1604474962,67393,3,0.694,0.292
"edison","2020-11-03T23:34:59Z",2020,11,3,23,34,59,1604475299,150747,6,0.447,0.537
"edison","2020-11-03T23:35:48Z",2020,11,3,23,35,48,1604475348,175109,8,0.431,0.553
"edison","2020-11-03T23:37:05Z",2020,11,3,23,37,5,1604475425,179984,8,0.438,0.546
"edison","2020-11-03T23:38:57Z",2020,11,3,23,38,57,1604475537,189736,8,0.453,0.531
"edison","2020-11-03T23:39:26Z",2020,11,3,23,39,26,1604475566,190548,8,0.454,0.529
"edison","2020-11-03T23:42:32Z",2020,11,3,23,42,32,1604475752,193619,8,0.452,0.532
"edison","2020-11-03T23:42:53Z",2020,11,3,23,42,53,1604475773,194070,8,0.453,0.531
"edison","2020-11-03T23:43:15Z",2020,11,3,23,43,15,1604475795,195037,8,0.454,0.53
"edison","2020-11-03T23:43:45Z",2020,11,3,23,43,45,1604475825,234561,10,0.481,0.503
"edison","2020-11-03T23:44:52Z",2020,11,3,23,44,52,1604475892,237316,10,0.48,0.504
"edison","2020-11-03T23:46:53Z",2020,11,3,23,46,53,1604476013,241785,10,0.485,0.499
"edison","2020-11-03T23:48:32Z",2020,11,3,23,48,32,1604476112,252370,11,0.489,0.495
"edison","2020-11-03T23:48:40Z",2020,11,3,23,48,40,1604476120,252898,11,0.49,0.494
"edison","2020-11-03T23:51:15Z",2020,11,3,23,51,15,1604476275,255532,11,0.489,0.496
"edison","2020-11-03T23:52:46Z",2020,11,3,23,52,46,1604476366,259123,11,0.494,0.49
"edison","2020-11-03T23:54:01Z",2020,11,3,23,54,1,1604476441,261082,11,0.495,0.489
"edison","2020-11-03T23:55:20Z",2020,11,3,23,55,20,1604476520,264890,11,0.5,0.485
"edison","2020-11-03T23:55:45Z",2020,11,3,23,55,45,1604476545,277213,12,0.509,0.475
"edison","2020-11-04T00:02:14Z",2020,11,4,0,2,14,1604476934,296793,13,0.504,0.481
"edison","2020-11-04T00:03:29Z",2020,11,4,0,3,29,1604477009,300246,13,0.508,0.477
"edison","2020-11-04T00:04:11Z",2020,11,4,0,4,11,1604477051,309697,13,0.515,0.47
"edison","2020-11-04T00:04:27Z",2020,11,4,0,4,27,1604477067,310420,13,0.515,0.469
"edison","2020-11-04T00:05:44Z",2020,11,4,0,5,44,1604477144,316605,14,0.52,0.465
"edison","2020-11-04T00:09:07Z",2020,11,4,0,9,7,1604477347,317960,14,0.521,0.464
"edison","2020-11-04T00:10:06Z",2020,11,4,0,10,6,1604477406,320500,14,0.523,0.462
"edison","2020-11-04T00:10:20Z",2020,11,4,0,10,20,1604477420,322455,14,0.525,0.46
"edison","2020-11-04T00:10:47Z",2020,11,4,0,10,47,1604477447,335424,14,0.526,0.458
"edison","2020-11-04T00:11:22Z",2020,11,4,0,11,22,1604477482,336176,14,0.527,0.458
"edison","2020-11-04T00:12:32Z",2020,11,4,0,12,32,1604477552,346218,15,0.535,0.449
"edison","2020-11-04T00:14:12Z",2020,11,4,0,14,12,1604477652,347470,15,0.537,0.448
"edison","2020-11-04T00:15:30Z",2020,11,4,0,15,30,1604477730,347841,15,0.537,0.448
"edison","2020-11-04T00:16:13Z",2020,11,4,0,16,13,1604477773,349880,15,0.538,0.447
"edison","2020-11-04T00:18:36Z",2020,11,4,0,18,36,1604477916,357089,15,0.541,0.443
"edison","2020-11-04T00:18:52Z",2020,11,4,0,18,52,1604477932,358799,15,0.543,0.442
"edison","2020-11-04T00:19:06Z",2020,11,4,0,19,6,1604477946,361550,16,0.545,0.44
"edison","2020-11-04T00:20:24Z",2020,11,4,0,20,24,1604478024,362340,16,0.545,0.44
"edison","2020-11-04T00:20:55Z",2020,11,4,0,20,55,1604478055,388769,17,0.559,0.426
"edison","2020-11-04T00:21:30Z",2020,11,4,0,21,30,1604478090,391642,17,0.561,0.424
"edison","2020-11-04T00:22:16Z",2020,11,4,0,22,16,1604478136,396341,17,0.564,0.421
"edison","2020-11-04T00:25:19Z",2020,11,4,0,25,19,1604478319,401672,17,0.569,0.416
"edison","2020-11-04T00:25:49Z",2020,11,4,0,25,49,1604478349,402209,17,0.569,0.416
"edison","2020-11-04T00:26:11Z",2020,11,4,0,26,11,1604478371,402216,17,0.569,0.416
"edison","2020-11-04T00:27:41Z",2020,11,4,0,27,41,1604478461,403196,17,0.57,0.415
"edison","2020-11-04T00:28:30Z",2020,11,4,0,28,30,1604478510,420361,18,0.576,0.409
"edison","2020-11-04T00:29:22Z",2020,11,4,0,29,22,1604478562,422491,18,0.578,0.408
"edison","2020-11-04T00:29:52Z",2020,11,4,0,29,52,1604478592,430443,18,0.58,0.405
"edison","2020-11-04T00:30:38Z",2020,11,4,0,30,38,1604478638,451790,19,0.582,0.403
"edison","2020-11-04T00:30:53Z",2020,11,4,0,30,53,1604478653,452528,19,0.583,0.403
"edison","2020-11-04T00:31:24Z",2020,11,4,0,31,24,1604478684,459592,20,0.585,0.4
"edison","2020-11-04T00:31:45Z",2020,11,4,0,31,45,1604478705,464034,20,0.587,0.398
"edison","2020-11-04T00:31:53Z",2020,11,4,0,31,53,1604478713,470465,20,0.591,0.394
"edison","2020-11-04T00:32:37Z",2020,11,4,0,32,37,1604478757,470467,20,0.591,0.394
"edison","2020-11-04T00:34:51Z",2020,11,4,0,34,51,1604478891,505283,22,0.602,0.383
"edison","2020-11-04T00:36:37Z",2020,11,4,0,36,37,1604478997,516553,22,0.606,0.379
"edison","2020-11-04T00:36:54Z",2020,11,4,0,36,54,1604479014,524989,23,0.608,0.376
"edison","2020-11-04T00:37:11Z",2020,11,4,0,37,11,1604479031,533315,23,0.612,0.373
"edison","2020-11-04T00:40:52Z",2020,11,4,0,40,52,1604479252,545368,23,0.612,0.373
"edison","2020-11-04T00:42:53Z",2020,11,4,0,42,53,1604479373,585028,25,0.616,0.369
"edison","2020-11-04T00:44:11Z",2020,11,4,0,44,11,1604479451,620424,27,0.615,0.369
"edison","2020-11-04T00:45:57Z",2020,11,4,0,45,57,1604479557,630983,27,0.619,0.366
"edison","2020-11-04T00:46:09Z",2020,11,4,0,46,9,1604479569,636423,27,0.62,0.364
"edison","2020-11-04T00:46:52Z",2020,11,4,0,46,52,1604479612,645026,28,0.622,0.362
"edison","2020-11-04T00:47:56Z",2020,11,4,0,47,56,1604479676,647728,28,0.622,0.362
"edison","2020-11-04T00:48:39Z",2020,11,4,0,48,39,1604479719,664299,29,0.622,0.362
"edison","2020-11-04T00:49:51Z",2020,11,4,0,49,51,1604479791,669231,29,0.623,0.361
"edison","2020-11-04T00:50:54Z",2020,11,4,0,50,54,1604479854,671685,29,0.624,0.36
"edison","2020-11-04T00:51:52Z",2020,11,4,0,51,52,1604479912,680759,29,0.627,0.357
"edison","2020-11-04T00:51:54Z",2020,11,4,0,51,54,1604479914,691721,30,0.631,0.354
"edison","2020-11-04T00:52:26Z",2020,11,4,0,52,26,1604479946,736864,32,0.627,0.358
"edison","2020-11-04T00:52:55Z",2020,11,4,0,52,55,1604479975,768022,33,0.634,0.35
"edison","2020-11-04T00:53:17Z",2020,11,4,0,53,17,1604479997,778204,33,0.636,0.348
"edison","2020-11-04T00:55:09Z",2020,11,4,0,55,9,1604480109,804053,35,0.64,0.344
"edison","2020-11-04T00:55:15Z",2020,11,4,0,55,15,1604480115,805457,35,0.641,0.344
"edison","2020-11-04T00:55:52Z",2020,11,4,0,55,52,1604480152,810721,35,0.642,0.342
"edison","2020-11-04T00:57:56Z",2020,11,4,0,57,56,1604480276,816555,35,0.643,0.341
"edison","2020-11-04T00:58:51Z",2020,11,4,0,58,51,1604480331,816714,35,0.643,0.341
"edison","2020-11-04T00:59:20Z",2020,11,4,0,59,20,1604480360,827234,36,0.645,0.34
"edison","2020-11-04T00:59:40Z",2020,11,4,0,59,40,1604480380,827240,36,0.645,0.34
"edison","2020-11-04T00:59:52Z",2020,11,4,0,59,52,1604480392,834194,36,0.646,0.338
"edison","2020-11-04T01:00:01Z",2020,11,4,1,0,1,1604480401,835324,36,0.646,0.338
"edison","2020-11-04T01:00:49Z",2020,11,4,1,0,49,1604480449,836431,36,0.647,0.338
"edison","2020-11-04T01:01:36Z",2020,11,4,1,1,36,1604480496,839811,36,0.647,0.337
"edison","2020-11-04T01:01:53Z",2020,11,4,1,1,53,1604480513,841667,36,0.646,0.338
"edison","2020-11-04T01:02:31Z",2020,11,4,1,2,31,1604480551,846181,36,0.647,0.337
"edison","2020-11-04T01:03:23Z",2020,11,4,1,3,23,1604480603,849265,36,0.648,0.337
"edison","2020-11-04T01:04:52Z",2020,11,4,1,4,52,1604480692,857329,37,0.648,0.336
