"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_mcconnellm","vote_shares_mcgratha"
"edison","2020-11-04T08:06:01Z",2020,11,4,8,6,1,1604505961,0,0,0,0
"edison","2020-11-03T23:18:49Z",2020,11,3,23,18,49,1604474329,6088,0,0.814,0.144
"edison","2020-11-03T23:20:59Z",2020,11,3,23,20,59,1604474459,20763,1,0.671,0.29
"edison","2020-11-03T23:21:37Z",2020,11,3,23,21,37,1604474497,23261,1,0.638,0.323
"edison","2020-11-03T23:25:19Z",2020,11,3,23,25,19,1604474719,52031,2,0.633,0.33
"edison","2020-11-03T23:27:26Z",2020,11,3,23,27,26,1604474846,54687,2,0.631,0.332
"edison","2020-11-03T23:29:54Z",2020,11,3,23,29,54,1604474994,63174,3,0.641,0.321
"edison","2020-11-03T23:30:16Z",2020,11,3,23,30,16,1604475016,66196,3,0.65,0.313
"edison","2020-11-03T23:35:11Z",2020,11,3,23,35,11,1604475311,149829,6,0.433,0.539
"edison","2020-11-03T23:37:34Z",2020,11,3,23,37,34,1604475454,154692,7,0.439,0.533
"edison","2020-11-03T23:37:46Z",2020,11,3,23,37,46,1604475466,155829,7,0.441,0.531
"edison","2020-11-03T23:39:40Z",2020,11,3,23,39,40,1604475580,165574,7,0.455,0.516
"edison","2020-11-03T23:40:10Z",2020,11,3,23,40,10,1604475610,166383,7,0.457,0.514
"edison","2020-11-03T23:40:49Z",2020,11,3,23,40,49,1604475649,190853,8,0.438,0.533
"edison","2020-11-03T23:43:21Z",2020,11,3,23,43,21,1604475801,193932,8,0.436,0.536
"edison","2020-11-03T23:46:20Z",2020,11,3,23,46,20,1604475980,233374,10,0.461,0.51
"edison","2020-11-03T23:47:28Z",2020,11,3,23,47,28,1604476048,236122,10,0.46,0.511
"edison","2020-11-03T23:47:35Z",2020,11,3,23,47,35,1604476055,240588,10,0.465,0.506
"edison","2020-11-03T23:49:13Z",2020,11,3,23,49,13,1604476153,251696,11,0.47,0.501
"edison","2020-11-03T23:54:11Z",2020,11,3,23,54,11,1604476451,254341,11,0.468,0.503
"edison","2020-11-03T23:54:34Z",2020,11,3,23,54,34,1604476474,257895,11,0.473,0.497
"edison","2020-11-03T23:54:47Z",2020,11,3,23,54,47,1604476487,259917,11,0.474,0.496
"edison","2020-11-03T23:56:04Z",2020,11,3,23,56,4,1604476564,263722,11,0.478,0.492
"edison","2020-11-03T23:57:23Z",2020,11,3,23,57,23,1604476643,275505,12,0.485,0.486
"edison","2020-11-04T00:03:59Z",2020,11,4,0,3,59,1604477039,299547,13,0.484,0.486
"edison","2020-11-04T00:04:41Z",2020,11,4,0,4,41,1604477081,309644,13,0.489,0.48
"edison","2020-11-04T00:06:30Z",2020,11,4,0,6,30,1604477190,315804,14,0.492,0.477
"edison","2020-11-04T00:09:29Z",2020,11,4,0,9,29,1604477369,317076,14,0.493,0.476
"edison","2020-11-04T00:10:42Z",2020,11,4,0,10,42,1604477442,318952,14,0.495,0.475
"edison","2020-11-04T00:11:03Z",2020,11,4,0,11,3,1604477463,332958,14,0.498,0.472
"edison","2020-11-04T00:14:13Z",2020,11,4,0,14,13,1604477653,334438,14,0.498,0.471
"edison","2020-11-04T00:14:50Z",2020,11,4,0,14,50,1604477690,345621,15,0.507,0.462
"edison","2020-11-04T00:15:38Z",2020,11,4,0,15,38,1604477738,351337,15,0.511,0.458
"edison","2020-11-04T00:16:39Z",2020,11,4,0,16,39,1604477799,352684,15,0.511,0.458
"edison","2020-11-04T00:19:10Z",2020,11,4,0,19,10,1604477950,359902,15,0.514,0.455
"edison","2020-11-04T00:19:22Z",2020,11,4,0,19,22,1604477962,361612,16,0.515,0.453
"edison","2020-11-04T00:20:39Z",2020,11,4,0,20,39,1604478039,364356,16,0.516,0.452
"edison","2020-11-04T00:20:52Z",2020,11,4,0,20,52,1604478052,375293,16,0.524,0.444
"edison","2020-11-04T00:21:44Z",2020,11,4,0,21,44,1604478104,391510,17,0.529,0.438
"edison","2020-11-04T00:23:22Z",2020,11,4,0,23,22,1604478202,396462,17,0.532,0.435
"edison","2020-11-04T00:25:52Z",2020,11,4,0,25,52,1604478352,399319,17,0.533,0.434
