"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T05:58:59Z",2020,11,4,5,58,59,1604498339,0,0,0,0
"edison","2020-11-04T02:05:26Z",2020,11,4,2,5,26,1604484326,26772,1,0.535,0.455
"edison","2020-11-04T02:06:56Z",2020,11,4,2,6,56,1604484416,58063,3,0.533,0.458
"edison","2020-11-04T02:09:11Z",2020,11,4,2,9,11,1604484551,95988,4,0.578,0.412
"edison","2020-11-04T02:10:04Z",2020,11,4,2,10,4,1604484604,138360,6,0.592,0.397
"edison","2020-11-04T02:11:16Z",2020,11,4,2,11,16,1604484676,162026,7,0.604,0.386
"edison","2020-11-04T02:14:55Z",2020,11,4,2,14,55,1604484895,171177,8,0.613,0.377
"edison","2020-11-04T02:18:38Z",2020,11,4,2,18,38,1604485118,175033,8,0.618,0.372
"edison","2020-11-04T02:24:00Z",2020,11,4,2,24,0,1604485440,230152,10,0.617,0.372
"edison","2020-11-04T02:25:05Z",2020,11,4,2,25,5,1604485505,242271,11,0.62,0.369
"edison","2020-11-04T02:29:59Z",2020,11,4,2,29,59,1604485799,242890,11,0.62,0.369
"edison","2020-11-04T02:34:42Z",2020,11,4,2,34,42,1604486082,273163,12,0.631,0.358
"edison","2020-11-04T02:35:14Z",2020,11,4,2,35,14,1604486114,279473,12,0.629,0.36
"edison","2020-11-04T02:39:17Z",2020,11,4,2,39,17,1604486357,286575,13,0.629,0.36
"edison","2020-11-04T02:40:16Z",2020,11,4,2,40,16,1604486416,287458,13,0.628,0.361
"edison","2020-11-04T02:42:22Z",2020,11,4,2,42,22,1604486542,369805,16,0.59,0.398
"edison","2020-11-04T02:42:28Z",2020,11,4,2,42,28,1604486548,370072,16,0.59,0.398
"edison","2020-11-04T02:45:43Z",2020,11,4,2,45,43,1604486743,406767,18,0.589,0.399
"edison","2020-11-04T02:51:09Z",2020,11,4,2,51,9,1604487069,418727,18,0.591,0.397
"edison","2020-11-04T02:51:31Z",2020,11,4,2,51,31,1604487091,485853,21,0.596,0.391
"edison","2020-11-04T02:54:15Z",2020,11,4,2,54,15,1604487255,613401,27,0.607,0.379
"edison","2020-11-04T02:55:57Z",2020,11,4,2,55,57,1604487357,648786,29,0.608,0.378
"edison","2020-11-04T02:57:25Z",2020,11,4,2,57,25,1604487445,721059,32,0.608,0.378
"edison","2020-11-04T03:03:44Z",2020,11,4,3,3,44,1604487824,822516,36,0.616,0.369
"edison","2020-11-04T03:06:25Z",2020,11,4,3,6,25,1604487985,835533,37,0.617,0.368
"edison","2020-11-04T03:10:47Z",2020,11,4,3,10,47,1604488247,915208,40,0.623,0.361
"edison","2020-11-04T03:11:52Z",2020,11,4,3,11,52,1604488312,920496,40,0.624,0.361
"edison","2020-11-04T03:12:53Z",2020,11,4,3,12,53,1604488373,960085,42,0.624,0.36
"edison","2020-11-04T03:16:35Z",2020,11,4,3,16,35,1604488595,966779,42,0.624,0.36
"edison","2020-11-04T03:18:18Z",2020,11,4,3,18,18,1604488698,1044714,46,0.632,0.351
"edison","2020-11-04T03:21:07Z",2020,11,4,3,21,7,1604488867,1081451,48,0.634,0.35
"edison","2020-11-04T03:22:16Z",2020,11,4,3,22,16,1604488936,1117565,49,0.637,0.347
"edison","2020-11-04T03:22:21Z",2020,11,4,3,22,21,1604488941,1133908,50,0.638,0.346
"edison","2020-11-04T03:25:26Z",2020,11,4,3,25,26,1604489126,1138587,50,0.639,0.345
"edison","2020-11-04T03:26:09Z",2020,11,4,3,26,9,1604489169,1171940,52,0.642,0.342
"edison","2020-11-04T03:31:33Z",2020,11,4,3,31,33,1604489493,1214583,53,0.642,0.341
"edison","2020-11-04T03:32:45Z",2020,11,4,3,32,45,1604489565,1219888,54,0.642,0.341
"edison","2020-11-04T03:34:42Z",2020,11,4,3,34,42,1604489682,1300921,57,0.644,0.34
"edison","2020-11-04T03:36:41Z",2020,11,4,3,36,41,1604489801,1332887,59,0.645,0.338
"edison","2020-11-04T03:38:55Z",2020,11,4,3,38,55,1604489935,1462898,64,0.627,0.356
"edison","2020-11-04T03:40:25Z",2020,11,4,3,40,25,1604490025,1478224,65,0.628,0.355
"edison","2020-11-04T03:44:47Z",2020,11,4,3,44,47,1604490287,1560778,69,0.626,0.357
"edison","2020-11-04T03:47:17Z",2020,11,4,3,47,17,1604490437,1568964,69,0.626,0.358
"edison","2020-11-04T03:51:48Z",2020,11,4,3,51,48,1604490708,1599874,70,0.628,0.355
"edison","2020-11-04T03:55:21Z",2020,11,4,3,55,21,1604490921,1645927,72,0.629,0.354
"edison","2020-11-04T03:58:57Z",2020,11,4,3,58,57,1604491137,1661323,73,0.63,0.354
"edison","2020-11-04T04:00:23Z",2020,11,4,4,0,23,1604491223,1668635,73,0.63,0.353
"edison","2020-11-04T04:01:21Z",2020,11,4,4,1,21,1604491281,1717836,76,0.626,0.357
"edison","2020-11-04T04:06:41Z",2020,11,4,4,6,41,1604491601,1736948,76,0.624,0.359
"edison","2020-11-04T04:16:44Z",2020,11,4,4,16,44,1604492204,1746343,77,0.623,0.36
"edison","2020-11-04T04:22:34Z",2020,11,4,4,22,34,1604492554,1826879,80,0.617,0.366
"edison","2020-11-04T04:27:46Z",2020,11,4,4,27,46,1604492866,1851082,81,0.618,0.365
"edison","2020-11-04T04:29:04Z",2020,11,4,4,29,4,1604492944,1853260,81,0.618,0.365
"edison","2020-11-04T04:33:12Z",2020,11,4,4,33,12,1604493192,1854829,82,0.618,0.365
"edison","2020-11-04T04:36:25Z",2020,11,4,4,36,25,1604493385,1875902,82,0.616,0.366
"edison","2020-11-04T04:45:41Z",2020,11,4,4,45,41,1604493941,1876812,82,0.617,0.366
"edison","2020-11-04T04:49:21Z",2020,11,4,4,49,21,1604494161,1877496,83,0.616,0.366
"edison","2020-11-04T04:50:54Z",2020,11,4,4,50,54,1604494254,1896051,83,0.617,0.366
"edison","2020-11-04T05:01:07Z",2020,11,4,5,1,7,1604494867,1897722,83,0.616,0.366
"edison","2020-11-04T05:09:06Z",2020,11,4,5,9,6,1604495346,1927419,85,0.613,0.37
"edison","2020-11-04T05:10:00Z",2020,11,4,5,10,0,1604495400,1949840,86,0.613,0.37
"edison","2020-11-04T05:13:13Z",2020,11,4,5,13,13,1604495593,1950935,86,0.613,0.37
"edison","2020-11-04T05:17:28Z",2020,11,4,5,17,28,1604495848,1950936,86,0.613,0.37
"edison","2020-11-04T05:27:24Z",2020,11,4,5,27,24,1604496444,1952169,86,0.613,0.37
"edison","2020-11-04T05:30:34Z",2020,11,4,5,30,34,1604496634,1971193,87,0.614,0.369
"edison","2020-11-04T05:37:25Z",2020,11,4,5,37,25,1604497045,2071796,91,0.589,0.394
"edison","2020-11-04T05:47:11Z",2020,11,4,5,47,11,1604497631,2100291,92,0.584,0.399
"edison","2020-11-04T06:40:48Z",2020,11,4,6,40,48,1604500848,2147313,94,0.585,0.398
"edison","2020-11-04T23:18:53Z",2020,11,4,23,18,53,1604560733,2147314,94,0.585,0.398
"edison","2020-11-05T02:20:45Z",2020,11,5,2,20,45,1604571645,2147314,99,0.585,0.398
"edison","2020-11-07T11:15:46Z",2020,11,7,11,15,46,1604776546,2147395,99,0.585,0.398
"edison","2020-11-10T11:16:16Z",2020,11,10,11,16,16,1605035776,2147817,99,0.585,0.398
"edison","2020-11-10T19:46:01Z",2020,11,10,19,46,1,1605066361,2148062,99,0.585,0.399
"ap","2020-11-19T20:44:23.617Z",NA,NA,NA,NA,NA,NA,NA,2148062,100,0.585,0.399
"edison","2020-11-20T14:18:42Z",2020,11,20,14,18,42,1605910722,2148062,100,0.585,0.399
