"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T01:34:20Z",2020,11,4,1,34,20,1604482460,274,0,0.708,0.27
"edison","2020-11-04T01:36:23Z",2020,11,4,1,36,23,1604482583,4937,1,0.391,0.572
"edison","2020-11-04T01:39:28Z",2020,11,4,1,39,28,1604482768,7163,1,0.432,0.533
"edison","2020-11-04T01:42:18Z",2020,11,4,1,42,18,1604482938,9205,1,0.462,0.503
"edison","2020-11-04T01:43:03Z",2020,11,4,1,43,3,1604482983,10077,1,0.48,0.487
"edison","2020-11-04T01:48:02Z",2020,11,4,1,48,2,1604483282,10817,1,0.504,0.464
"edison","2020-11-04T01:50:52Z",2020,11,4,1,50,52,1604483452,11811,1,0.512,0.456
"edison","2020-11-04T01:50:54Z",2020,11,4,1,50,54,1604483454,12793,1,0.503,0.465
"edison","2020-11-04T01:53:21Z",2020,11,4,1,53,21,1604483601,12855,1,0.501,0.467
"edison","2020-11-04T01:53:38Z",2020,11,4,1,53,38,1604483618,13339,2,0.507,0.461
"edison","2020-11-04T01:53:43Z",2020,11,4,1,53,43,1604483623,14996,2,0.508,0.457
"edison","2020-11-04T01:55:41Z",2020,11,4,1,55,41,1604483741,15441,2,0.501,0.464
"edison","2020-11-04T02:03:17Z",2020,11,4,2,3,17,1604484197,16211,2,0.509,0.457
"edison","2020-11-04T02:03:41Z",2020,11,4,2,3,41,1604484221,18537,2,0.512,0.455
"edison","2020-11-04T02:08:07Z",2020,11,4,2,8,7,1604484487,19930,2,0.517,0.45
"edison","2020-11-04T02:10:32Z",2020,11,4,2,10,32,1604484632,24684,3,0.537,0.428
"edison","2020-11-04T02:10:58Z",2020,11,4,2,10,58,1604484658,25346,3,0.539,0.426
"edison","2020-11-04T02:11:25Z",2020,11,4,2,11,25,1604484685,27644,3,0.543,0.422
"edison","2020-11-04T02:12:24Z",2020,11,4,2,12,24,1604484744,28682,3,0.543,0.422
