"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_gideons","vote_shares_collinss"
"edison","2020-11-04T09:59:44Z",2020,11,4,9,59,44,1604512784,0,0,0,0
"edison","2020-11-04T01:37:23Z",2020,11,4,1,37,23,1604482643,4632,1,0.503,0.44
"edison","2020-11-04T01:40:46Z",2020,11,4,1,40,46,1604482846,5508,1,0.461,0.483
"edison","2020-11-04T01:43:40Z",2020,11,4,1,43,40,1604483020,7726,1,0.43,0.513
"edison","2020-11-04T01:43:54Z",2020,11,4,1,43,54,1604483034,9777,1,0.401,0.54
"edison","2020-11-04T01:51:21Z",2020,11,4,1,51,21,1604483481,11746,1,0.397,0.543
"edison","2020-11-04T01:52:52Z",2020,11,4,1,52,52,1604483572,12231,1,0.39,0.551
"edison","2020-11-04T02:01:52Z",2020,11,4,2,1,52,1604484112,13001,2,0.381,0.561
"edison","2020-11-04T02:03:31Z",2020,11,4,2,3,31,1604484211,14677,2,0.375,0.56
"edison","2020-11-04T02:04:08Z",2020,11,4,2,4,8,1604484248,17002,2,0.37,0.566
"edison","2020-11-04T02:10:59Z",2020,11,4,2,10,59,1604484659,19554,2,0.368,0.567
"edison","2020-11-04T02:11:40Z",2020,11,4,2,11,40,1604484700,21756,3,0.352,0.582
"edison","2020-11-04T02:11:57Z",2020,11,4,2,11,57,1604484717,22420,3,0.349,0.586
"edison","2020-11-04T02:15:12Z",2020,11,4,2,15,12,1604484912,23636,3,0.352,0.583
"edison","2020-11-04T02:16:14Z",2020,11,4,2,16,14,1604484974,24670,3,0.352,0.584
"edison","2020-11-04T02:18:07Z",2020,11,4,2,18,7,1604485087,26322,3,0.35,0.587
"edison","2020-11-04T02:19:44Z",2020,11,4,2,19,44,1604485184,27799,3,0.345,0.592
"edison","2020-11-04T02:20:46Z",2020,11,4,2,20,46,1604485246,28432,3,0.344,0.593
"edison","2020-11-04T02:22:48Z",2020,11,4,2,22,48,1604485368,29826,3,0.343,0.593
"edison","2020-11-04T02:24:09Z",2020,11,4,2,24,9,1604485449,32162,4,0.338,0.599
"edison","2020-11-04T02:24:41Z",2020,11,4,2,24,41,1604485481,34400,4,0.336,0.6
"edison","2020-11-04T02:24:59Z",2020,11,4,2,24,59,1604485499,36981,4,0.347,0.59
"edison","2020-11-04T02:29:05Z",2020,11,4,2,29,5,1604485745,38770,5,0.344,0.593
"edison","2020-11-04T02:29:53Z",2020,11,4,2,29,53,1604485793,39823,5,0.35,0.588
"edison","2020-11-04T02:31:17Z",2020,11,4,2,31,17,1604485877,40580,5,0.347,0.592
"edison","2020-11-04T02:33:57Z",2020,11,4,2,33,57,1604486037,40739,5,0.346,0.592
"edison","2020-11-04T02:35:29Z",2020,11,4,2,35,29,1604486129,40893,5,0.346,0.593
"edison","2020-11-04T02:37:17Z",2020,11,4,2,37,17,1604486237,40955,5,0.346,0.592
"edison","2020-11-04T02:45:09Z",2020,11,4,2,45,9,1604486709,43086,5,0.344,0.595
"edison","2020-11-04T02:48:30Z",2020,11,4,2,48,30,1604486910,43752,5,0.343,0.596
"edison","2020-11-04T02:49:59Z",2020,11,4,2,49,59,1604486999,52608,6,0.362,0.579
"edison","2020-11-04T02:51:42Z",2020,11,4,2,51,42,1604487102,61669,7,0.39,0.553
"edison","2020-11-04T03:02:06Z",2020,11,4,3,2,6,1604487726,70346,8,0.387,0.555
"edison","2020-11-04T03:02:18Z",2020,11,4,3,2,18,1604487738,75560,9,0.402,0.538
"edison","2020-11-04T03:03:36Z",2020,11,4,3,3,36,1604487816,81920,10,0.403,0.535
"edison","2020-11-04T03:04:19Z",2020,11,4,3,4,19,1604487859,83794,10,0.4,0.538
"edison","2020-11-04T03:04:48Z",2020,11,4,3,4,48,1604487888,86989,10,0.4,0.537
"edison","2020-11-04T03:05:51Z",2020,11,4,3,5,51,1604487951,88679,10,0.398,0.539
"edison","2020-11-04T03:08:31Z",2020,11,4,3,8,31,1604488111,90783,11,0.399,0.538
"edison","2020-11-04T03:09:04Z",2020,11,4,3,9,4,1604488144,92303,11,0.397,0.541
"edison","2020-11-04T03:10:17Z",2020,11,4,3,10,17,1604488217,95257,11,0.395,0.544
"edison","2020-11-04T03:11:38Z",2020,11,4,3,11,38,1604488298,98758,11,0.392,0.546
"edison","2020-11-04T03:12:27Z",2020,11,4,3,12,27,1604488347,100000,12,0.393,0.546
"edison","2020-11-04T03:18:15Z",2020,11,4,3,18,15,1604488695,102722,12,0.39,0.55
"edison","2020-11-04T03:22:09Z",2020,11,4,3,22,9,1604488929,103877,12,0.389,0.551
"edison","2020-11-04T03:23:32Z",2020,11,4,3,23,32,1604489012,104614,12,0.388,0.552
"edison","2020-11-04T03:26:43Z",2020,11,4,3,26,43,1604489203,108037,13,0.385,0.555
"edison","2020-11-04T03:26:59Z",2020,11,4,3,26,59,1604489219,108039,13,0.385,0.555
"edison","2020-11-04T03:27:41Z",2020,11,4,3,27,41,1604489261,109099,13,0.384,0.556
"edison","2020-11-04T03:30:31Z",2020,11,4,3,30,31,1604489431,110314,13,0.382,0.557
"edison","2020-11-04T03:31:08Z",2020,11,4,3,31,8,1604489468,116817,14,0.379,0.56
"edison","2020-11-04T03:31:18Z",2020,11,4,3,31,18,1604489478,117589,14,0.378,0.56
"edison","2020-11-04T03:31:43Z",2020,11,4,3,31,43,1604489503,119820,14,0.381,0.557
"edison","2020-11-04T03:31:55Z",2020,11,4,3,31,55,1604489515,119908,14,0.381,0.558
"edison","2020-11-04T03:32:01Z",2020,11,4,3,32,1,1604489521,120568,14,0.38,0.558
"edison","2020-11-04T03:39:27Z",2020,11,4,3,39,27,1604489967,120609,14,0.38,0.558
"edison","2020-11-04T03:44:21Z",2020,11,4,3,44,21,1604490261,122547,14,0.38,0.558
"edison","2020-11-04T03:44:29Z",2020,11,4,3,44,29,1604490269,125222,15,0.383,0.555
"edison","2020-11-04T03:44:41Z",2020,11,4,3,44,41,1604490281,127599,15,0.382,0.557
"edison","2020-11-04T03:46:24Z",2020,11,4,3,46,24,1604490384,129762,15,0.381,0.557
"edison","2020-11-04T03:54:42Z",2020,11,4,3,54,42,1604490882,132865,15,0.381,0.557
"edison","2020-11-04T03:57:49Z",2020,11,4,3,57,49,1604491069,133031,15,0.381,0.558
"edison","2020-11-04T03:58:47Z",2020,11,4,3,58,47,1604491127,133419,16,0.381,0.558
"edison","2020-11-04T04:02:59Z",2020,11,4,4,2,59,1604491379,135983,16,0.379,0.559
"edison","2020-11-04T04:04:57Z",2020,11,4,4,4,57,1604491497,137767,16,0.378,0.561
"edison","2020-11-04T04:10:57Z",2020,11,4,4,10,57,1604491857,138859,16,0.378,0.561
"edison","2020-11-04T04:12:19Z",2020,11,4,4,12,19,1604491939,139009,16,0.378,0.561
"edison","2020-11-04T04:14:25Z",2020,11,4,4,14,25,1604492065,139437,16,0.377,0.562
"edison","2020-11-04T04:14:58Z",2020,11,4,4,14,58,1604492098,149946,17,0.382,0.558
"edison","2020-11-04T04:15:52Z",2020,11,4,4,15,52,1604492152,150692,18,0.381,0.559
"edison","2020-11-04T04:16:56Z",2020,11,4,4,16,56,1604492216,158951,18,0.389,0.552
"edison","2020-11-04T04:17:14Z",2020,11,4,4,17,14,1604492234,159741,19,0.388,0.552
"edison","2020-11-04T04:18:09Z",2020,11,4,4,18,9,1604492289,171626,20,0.396,0.546
"edison","2020-11-04T04:18:56Z",2020,11,4,4,18,56,1604492336,172777,20,0.395,0.546
"edison","2020-11-04T04:19:34Z",2020,11,4,4,19,34,1604492374,176359,21,0.4,0.541
"edison","2020-11-04T04:19:47Z",2020,11,4,4,19,47,1604492387,178017,21,0.398,0.543
"edison","2020-11-04T04:20:22Z",2020,11,4,4,20,22,1604492422,178909,21,0.397,0.544
"edison","2020-11-04T04:21:51Z",2020,11,4,4,21,51,1604492511,179554,21,0.396,0.544
"edison","2020-11-04T04:26:00Z",2020,11,4,4,26,0,1604492760,180195,21,0.396,0.545
"edison","2020-11-04T04:26:16Z",2020,11,4,4,26,16,1604492776,196722,23,0.402,0.539
"edison","2020-11-04T04:28:17Z",2020,11,4,4,28,17,1604492897,197691,23,0.402,0.539
"edison","2020-11-04T04:29:24Z",2020,11,4,4,29,24,1604492964,199817,23,0.403,0.538
"edison","2020-11-04T04:32:13Z",2020,11,4,4,32,13,1604493133,200109,23,0.403,0.538
"edison","2020-11-04T04:33:56Z",2020,11,4,4,33,56,1604493236,200714,23,0.403,0.538
"edison","2020-11-04T04:34:33Z",2020,11,4,4,34,33,1604493273,204228,24,0.401,0.54
"edison","2020-11-04T04:38:19Z",2020,11,4,4,38,19,1604493499,206124,24,0.4,0.541
"edison","2020-11-04T04:41:46Z",2020,11,4,4,41,46,1604493706,207634,24,0.399,0.542
"edison","2020-11-04T04:43:45Z",2020,11,4,4,43,45,1604493825,207733,24,0.399,0.542
"edison","2020-11-04T04:44:07Z",2020,11,4,4,44,7,1604493847,210110,24,0.398,0.543
"edison","2020-11-04T04:48:03Z",2020,11,4,4,48,3,1604494083,210340,24,0.398,0.543
"edison","2020-11-04T04:49:03Z",2020,11,4,4,49,3,1604494143,211303,25,0.398,0.543
"edison","2020-11-04T04:50:40Z",2020,11,4,4,50,40,1604494240,211677,25,0.398,0.543
"edison","2020-11-04T04:51:37Z",2020,11,4,4,51,37,1604494297,212307,25,0.398,0.543
"edison","2020-11-04T04:51:57Z",2020,11,4,4,51,57,1604494317,223667,26,0.411,0.531
"edison","2020-11-04T04:52:21Z",2020,11,4,4,52,21,1604494341,227057,26,0.409,0.532
"edison","2020-11-04T04:52:28Z",2020,11,4,4,52,28,1604494348,228804,27,0.409,0.531
"edison","2020-11-04T04:52:38Z",2020,11,4,4,52,38,1604494358,233733,27,0.408,0.532
"edison","2020-11-04T04:58:51Z",2020,11,4,4,58,51,1604494731,234947,27,0.408,0.533
"edison","2020-11-04T05:00:46Z",2020,11,4,5,0,46,1604494846,235108,27,0.407,0.533
"edison","2020-11-04T05:01:04Z",2020,11,4,5,1,4,1604494864,241353,28,0.406,0.535
"edison","2020-11-04T05:01:45Z",2020,11,4,5,1,45,1604494905,242520,28,0.406,0.535
"edison","2020-11-04T05:03:10Z",2020,11,4,5,3,10,1604494990,242666,28,0.406,0.535
"edison","2020-11-04T05:04:37Z",2020,11,4,5,4,37,1604495077,245552,29,0.404,0.536
"edison","2020-11-04T05:07:55Z",2020,11,4,5,7,55,1604495275,246775,29,0.404,0.537
"edison","2020-11-04T05:09:18Z",2020,11,4,5,9,18,1604495358,246957,29,0.404,0.537
"edison","2020-11-04T05:10:31Z",2020,11,4,5,10,31,1604495431,247014,29,0.404,0.537
"edison","2020-11-04T05:11:11Z",2020,11,4,5,11,11,1604495471,251790,29,0.4,0.54
"edison","2020-11-04T05:13:40Z",2020,11,4,5,13,40,1604495620,252116,29,0.4,0.54
"edison","2020-11-04T05:14:20Z",2020,11,4,5,14,20,1604495660,252384,29,0.4,0.54
"edison","2020-11-04T05:16:50Z",2020,11,4,5,16,50,1604495810,258457,30,0.399,0.541
"edison","2020-11-04T05:21:34Z",2020,11,4,5,21,34,1604496094,258906,30,0.399,0.542
"edison","2020-11-04T05:21:56Z",2020,11,4,5,21,56,1604496116,260405,30,0.398,0.542
"edison","2020-11-04T05:22:57Z",2020,11,4,5,22,57,1604496177,261816,30,0.399,0.542
"edison","2020-11-04T05:23:06Z",2020,11,4,5,23,6,1604496186,263613,31,0.4,0.541
"edison","2020-11-04T05:23:22Z",2020,11,4,5,23,22,1604496202,269089,31,0.401,0.539
"edison","2020-11-04T05:23:55Z",2020,11,4,5,23,55,1604496235,269204,31,0.401,0.539
"edison","2020-11-04T05:24:19Z",2020,11,4,5,24,19,1604496259,270420,31,0.4,0.54
"edison","2020-11-04T05:24:49Z",2020,11,4,5,24,49,1604496289,273857,32,0.4,0.54
"edison","2020-11-04T05:25:05Z",2020,11,4,5,25,5,1604496305,274743,32,0.4,0.54
"edison","2020-11-04T05:25:25Z",2020,11,4,5,25,25,1604496325,278709,32,0.4,0.54
"edison","2020-11-04T05:25:38Z",2020,11,4,5,25,38,1604496338,279172,32,0.399,0.541
"edison","2020-11-04T05:28:40Z",2020,11,4,5,28,40,1604496520,280208,33,0.399,0.541
"edison","2020-11-04T05:33:05Z",2020,11,4,5,33,5,1604496785,284166,33,0.398,0.543
"edison","2020-11-04T05:34:55Z",2020,11,4,5,34,55,1604496895,285304,33,0.397,0.543
"edison","2020-11-04T05:41:36Z",2020,11,4,5,41,36,1604497296,287006,33,0.396,0.544
"edison","2020-11-04T05:45:50Z",2020,11,4,5,45,50,1604497550,287380,33,0.396,0.544
"edison","2020-11-04T05:46:02Z",2020,11,4,5,46,2,1604497562,301274,35,0.405,0.534
"edison","2020-11-04T05:46:22Z",2020,11,4,5,46,22,1604497582,305414,36,0.403,0.536
"edison","2020-11-04T05:46:43Z",2020,11,4,5,46,43,1604497603,308381,36,0.403,0.536
"edison","2020-11-04T05:47:03Z",2020,11,4,5,47,3,1604497623,309591,36,0.403,0.536
"edison","2020-11-04T05:47:20Z",2020,11,4,5,47,20,1604497640,312055,36,0.403,0.536
"edison","2020-11-04T05:47:38Z",2020,11,4,5,47,38,1604497658,312954,36,0.403,0.536
"edison","2020-11-04T05:47:45Z",2020,11,4,5,47,45,1604497665,313116,36,0.403,0.536
"edison","2020-11-04T05:48:15Z",2020,11,4,5,48,15,1604497695,316796,37,0.402,0.536
"edison","2020-11-04T05:48:32Z",2020,11,4,5,48,32,1604497712,324334,38,0.402,0.536
"edison","2020-11-04T05:48:53Z",2020,11,4,5,48,53,1604497733,327362,38,0.402,0.537
"edison","2020-11-04T05:49:09Z",2020,11,4,5,49,9,1604497749,328683,38,0.401,0.537
"edison","2020-11-04T05:49:28Z",2020,11,4,5,49,28,1604497768,330370,38,0.401,0.538
"edison","2020-11-04T05:49:50Z",2020,11,4,5,49,50,1604497790,335891,39,0.402,0.536
"edison","2020-11-04T05:50:02Z",2020,11,4,5,50,2,1604497802,336834,39,0.402,0.536
"edison","2020-11-04T05:50:24Z",2020,11,4,5,50,24,1604497824,337007,39,0.402,0.536
"edison","2020-11-04T05:53:12Z",2020,11,4,5,53,12,1604497992,340678,40,0.401,0.537
"edison","2020-11-04T05:54:28Z",2020,11,4,5,54,28,1604498068,341397,40,0.401,0.537
"edison","2020-11-04T05:54:57Z",2020,11,4,5,54,57,1604498097,341653,40,0.401,0.537
"edison","2020-11-04T05:56:44Z",2020,11,4,5,56,44,1604498204,342588,40,0.401,0.537
"edison","2020-11-04T05:56:51Z",2020,11,4,5,56,51,1604498211,343512,40,0.401,0.538
"edison","2020-11-04T05:57:39Z",2020,11,4,5,57,39,1604498259,344463,40,0.4,0.538
