"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp"
"edison","2020-11-04T01:15:24Z",2020,11,4,1,15,24,1604481324,604,0
"edison","2020-11-04T01:18:42Z",2020,11,4,1,18,42,1604481522,3041,0
"edison","2020-11-04T01:25:58Z",2020,11,4,1,25,58,1604481958,3227,0
"edison","2020-11-04T01:29:31Z",2020,11,4,1,29,31,1604482171,7301,0
"edison","2020-11-04T01:30:22Z",2020,11,4,1,30,22,1604482222,13104,0
"edison","2020-11-04T01:31:24Z",2020,11,4,1,31,24,1604482284,15113,0
"edison","2020-11-04T01:33:04Z",2020,11,4,1,33,4,1604482384,16814,0
"edison","2020-11-04T01:34:43Z",2020,11,4,1,34,43,1604482483,18580,0
"edison","2020-11-04T01:37:38Z",2020,11,4,1,37,38,1604482658,21460,1
"edison","2020-11-04T01:38:26Z",2020,11,4,1,38,26,1604482706,31314,1
"edison","2020-11-04T01:38:47Z",2020,11,4,1,38,47,1604482727,33051,1
"edison","2020-11-04T01:41:15Z",2020,11,4,1,41,15,1604482875,37775,1
"edison","2020-11-04T01:47:51Z",2020,11,4,1,47,51,1604483271,49885,1
"edison","2020-11-04T01:48:32Z",2020,11,4,1,48,32,1604483312,52109,1
"edison","2020-11-04T01:53:32Z",2020,11,4,1,53,32,1604483612,57502,2
"edison","2020-11-04T01:54:44Z",2020,11,4,1,54,44,1604483684,61202,2
"edison","2020-11-04T01:55:38Z",2020,11,4,1,55,38,1604483738,64067,2
"edison","2020-11-04T01:57:11Z",2020,11,4,1,57,11,1604483831,71269,2
"edison","2020-11-04T01:57:51Z",2020,11,4,1,57,51,1604483871,73698,2
"edison","2020-11-04T02:02:51Z",2020,11,4,2,2,51,1604484171,82877,2
"edison","2020-11-04T02:03:45Z",2020,11,4,2,3,45,1604484225,86107,2
"edison","2020-11-04T02:04:17Z",2020,11,4,2,4,17,1604484257,107414,3
"edison","2020-11-04T02:05:32Z",2020,11,4,2,5,32,1604484332,124104,3
"edison","2020-11-04T02:06:04Z",2020,11,4,2,6,4,1604484364,133379,4
"edison","2020-11-04T02:06:36Z",2020,11,4,2,6,36,1604484396,142747,4
"edison","2020-11-04T02:11:09Z",2020,11,4,2,11,9,1604484669,145026,4
"edison","2020-11-04T02:14:05Z",2020,11,4,2,14,5,1604484845,145578,4
"edison","2020-11-04T02:17:05Z",2020,11,4,2,17,5,1604485025,149664,4
"edison","2020-11-04T02:17:42Z",2020,11,4,2,17,42,1604485062,161088,4
"edison","2020-11-04T02:18:15Z",2020,11,4,2,18,15,1604485095,168151,5
"edison","2020-11-04T02:22:13Z",2020,11,4,2,22,13,1604485333,208087,6
"edison","2020-11-04T02:24:01Z",2020,11,4,2,24,1,1604485441,216004,6
"edison","2020-11-04T02:27:48Z",2020,11,4,2,27,48,1604485668,232763,6
"edison","2020-11-04T02:28:52Z",2020,11,4,2,28,52,1604485732,243106,7
"edison","2020-11-04T02:29:06Z",2020,11,4,2,29,6,1604485746,250717,7
"edison","2020-11-04T02:30:54Z",2020,11,4,2,30,54,1604485854,259008,7
"edison","2020-11-04T02:31:55Z",2020,11,4,2,31,55,1604485915,266093,7
"edison","2020-11-04T02:32:36Z",2020,11,4,2,32,36,1604485956,291510,8
"edison","2020-11-04T02:33:35Z",2020,11,4,2,33,35,1604486015,324190,9
"edison","2020-11-04T02:33:42Z",2020,11,4,2,33,42,1604486022,334689,9
"edison","2020-11-04T02:34:18Z",2020,11,4,2,34,18,1604486058,360727,10
"edison","2020-11-04T02:37:54Z",2020,11,4,2,37,54,1604486274,363880,10
"edison","2020-11-04T02:40:14Z",2020,11,4,2,40,14,1604486414,368435,10
"edison","2020-11-04T02:40:58Z",2020,11,4,2,40,58,1604486458,372428,10
"edison","2020-11-04T02:42:17Z",2020,11,4,2,42,17,1604486537,392954,11
"edison","2020-11-04T02:44:43Z",2020,11,4,2,44,43,1604486683,409038,11
"edison","2020-11-04T02:46:36Z",2020,11,4,2,46,36,1604486796,446305,12
"edison","2020-11-04T02:50:53Z",2020,11,4,2,50,53,1604487053,454481,12
"edison","2020-11-04T02:52:55Z",2020,11,4,2,52,55,1604487175,461471,12
"edison","2020-11-04T02:58:15Z",2020,11,4,2,58,15,1604487495,470585,13
"edison","2020-11-04T02:58:31Z",2020,11,4,2,58,31,1604487511,481690,13
"edison","2020-11-04T03:03:29Z",2020,11,4,3,3,29,1604487809,494403,13
"edison","2020-11-04T03:06:32Z",2020,11,4,3,6,32,1604487992,549371,15
"edison","2020-11-04T03:08:39Z",2020,11,4,3,8,39,1604488119,564879,15
"edison","2020-11-04T03:09:14Z",2020,11,4,3,9,14,1604488154,570308,15
"edison","2020-11-04T03:10:26Z",2020,11,4,3,10,26,1604488226,579345,16
"edison","2020-11-04T03:11:22Z",2020,11,4,3,11,22,1604488282,595105,16
"edison","2020-11-04T03:12:27Z",2020,11,4,3,12,27,1604488347,599175,16
"edison","2020-11-04T03:14:21Z",2020,11,4,3,14,21,1604488461,615049,17
"edison","2020-11-04T03:18:29Z",2020,11,4,3,18,29,1604488709,642730,17
"edison","2020-11-04T03:19:09Z",2020,11,4,3,19,9,1604488749,652521,18
"edison","2020-11-04T03:19:26Z",2020,11,4,3,19,26,1604488766,652993,18
"edison","2020-11-04T03:20:44Z",2020,11,4,3,20,44,1604488844,653316,18
"edison","2020-11-04T03:22:48Z",2020,11,4,3,22,48,1604488968,657135,18
"edison","2020-11-04T03:25:28Z",2020,11,4,3,25,28,1604489128,661710,18
"edison","2020-11-04T03:27:15Z",2020,11,4,3,27,15,1604489235,682284,18
"edison","2020-11-04T03:29:32Z",2020,11,4,3,29,32,1604489372,706012,19
"edison","2020-11-04T03:29:41Z",2020,11,4,3,29,41,1604489381,721815,19
"edison","2020-11-04T03:31:10Z",2020,11,4,3,31,10,1604489470,721996,19
"edison","2020-11-04T03:31:51Z",2020,11,4,3,31,51,1604489511,724456,19
"edison","2020-11-04T03:32:44Z",2020,11,4,3,32,44,1604489564,745530,20
"edison","2020-11-04T03:33:16Z",2020,11,4,3,33,16,1604489596,754820,20
"edison","2020-11-04T03:33:50Z",2020,11,4,3,33,50,1604489630,785667,21
"edison","2020-11-04T03:34:02Z",2020,11,4,3,34,2,1604489642,792751,21
"edison","2020-11-04T03:35:01Z",2020,11,4,3,35,1,1604489701,808958,22
"edison","2020-11-04T03:35:53Z",2020,11,4,3,35,53,1604489753,834271,22
"edison","2020-11-04T03:36:21Z",2020,11,4,3,36,21,1604489781,835772,22
"edison","2020-11-04T03:37:18Z",2020,11,4,3,37,18,1604489838,851491,23
"edison","2020-11-04T03:37:48Z",2020,11,4,3,37,48,1604489868,854141,23
"edison","2020-11-04T03:38:01Z",2020,11,4,3,38,1,1604489881,863422,23
"edison","2020-11-04T03:38:25Z",2020,11,4,3,38,25,1604489905,885122,24
"edison","2020-11-04T03:39:24Z",2020,11,4,3,39,24,1604489964,892801,24
"edison","2020-11-04T03:40:42Z",2020,11,4,3,40,42,1604490042,896163,24
"edison","2020-11-04T03:42:11Z",2020,11,4,3,42,11,1604490131,913799,25
"edison","2020-11-04T03:43:10Z",2020,11,4,3,43,10,1604490190,928688,25
"edison","2020-11-04T03:43:56Z",2020,11,4,3,43,56,1604490236,997237,27
"edison","2020-11-04T03:44:24Z",2020,11,4,3,44,24,1604490264,1005892,27
"edison","2020-11-04T03:45:15Z",2020,11,4,3,45,15,1604490315,1018418,27
"edison","2020-11-04T03:45:32Z",2020,11,4,3,45,32,1604490332,1038055,28
"edison","2020-11-04T03:46:24Z",2020,11,4,3,46,24,1604490384,1056899,28
"edison","2020-11-04T03:47:04Z",2020,11,4,3,47,4,1604490424,1130071,30
"edison","2020-11-04T03:47:30Z",2020,11,4,3,47,30,1604490450,1144113,31
"edison","2020-11-04T03:48:00Z",2020,11,4,3,48,0,1604490480,1145455,31
"edison","2020-11-04T03:48:14Z",2020,11,4,3,48,14,1604490494,1162472,31
"edison","2020-11-04T03:50:03Z",2020,11,4,3,50,3,1604490603,1162734,31
"edison","2020-11-04T03:50:32Z",2020,11,4,3,50,32,1604490632,1182182,32
