"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_jamesj","vote_shares_petersg"
"edison","2020-11-04T09:57:24Z",2020,11,4,9,57,24,1604512644,0,0,0,0
"edison","2020-11-04T01:20:24Z",2020,11,4,1,20,24,1604481624,11094,0,0.608,0.369
"edison","2020-11-04T01:25:51Z",2020,11,4,1,25,51,1604481951,15880,0,0.621,0.357
"edison","2020-11-04T01:26:40Z",2020,11,4,1,26,40,1604482000,23536,0,0.608,0.368
"edison","2020-11-04T01:27:23Z",2020,11,4,1,27,23,1604482043,23973,0,0.61,0.367
"edison","2020-11-04T01:29:47Z",2020,11,4,1,29,47,1604482187,42130,1,0.536,0.443
"edison","2020-11-04T01:32:50Z",2020,11,4,1,32,50,1604482370,46895,1,0.536,0.443
"edison","2020-11-04T01:33:12Z",2020,11,4,1,33,12,1604482392,47081,1,0.536,0.442
"edison","2020-11-04T01:39:13Z",2020,11,4,1,39,13,1604482753,50099,1,0.543,0.435
"edison","2020-11-04T01:40:05Z",2020,11,4,1,40,5,1604482805,77500,1,0.54,0.439
"edison","2020-11-04T01:42:22Z",2020,11,4,1,42,22,1604482942,77865,1,0.541,0.438
"edison","2020-11-04T01:43:40Z",2020,11,4,1,43,40,1604483020,81929,1,0.548,0.431
"edison","2020-11-04T01:44:20Z",2020,11,4,1,44,20,1604483060,184045,3,0.583,0.396
"edison","2020-11-04T01:46:50Z",2020,11,4,1,46,50,1604483210,189630,3,0.583,0.396
"edison","2020-11-04T01:48:54Z",2020,11,4,1,48,54,1604483334,227202,4,0.613,0.367
"edison","2020-11-04T01:50:40Z",2020,11,4,1,50,40,1604483440,233809,4,0.613,0.367
"edison","2020-11-04T01:51:02Z",2020,11,4,1,51,2,1604483462,510819,9,0.595,0.388
"edison","2020-11-04T01:52:25Z",2020,11,4,1,52,25,1604483545,534041,9,0.591,0.392
"edison","2020-11-04T01:52:52Z",2020,11,4,1,52,52,1604483572,559510,10,0.593,0.39
"edison","2020-11-04T01:54:30Z",2020,11,4,1,54,30,1604483670,625893,11,0.591,0.391
"edison","2020-11-04T01:56:04Z",2020,11,4,1,56,4,1604483764,647159,11,0.591,0.391
"edison","2020-11-04T01:56:54Z",2020,11,4,1,56,54,1604483814,647434,11,0.591,0.391
