"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:55:44Z",2020,11,4,9,55,44,1604512544,0,0,0,0
"edison","2020-11-04T02:31:47Z",2020,11,4,2,31,47,1604485907,254095,7,0.285,0.697
"edison","2020-11-04T02:36:54Z",2020,11,4,2,36,54,1604486214,273168,8,0.301,0.677
"edison","2020-11-04T02:42:28Z",2020,11,4,2,42,28,1604486548,656181,19,0.304,0.676
"edison","2020-11-04T02:44:00Z",2020,11,4,2,44,0,1604486640,656769,19,0.305,0.676
"edison","2020-11-04T02:47:21Z",2020,11,4,2,47,21,1604486841,657053,19,0.305,0.676
"edison","2020-11-04T02:49:26Z",2020,11,4,2,49,26,1604486966,873556,26,0.319,0.661
"edison","2020-11-04T02:53:51Z",2020,11,4,2,53,51,1604487231,879864,26,0.32,0.66
"edison","2020-11-04T03:00:48Z",2020,11,4,3,0,48,1604487648,989934,29,0.338,0.642
"edison","2020-11-04T03:10:10Z",2020,11,4,3,10,10,1604488210,1107094,32,0.361,0.619
"edison","2020-11-04T03:16:50Z",2020,11,4,3,16,50,1604488610,1107728,32,0.361,0.619
"edison","2020-11-04T03:21:23Z",2020,11,4,3,21,23,1604488883,1107768,32,0.361,0.619
"edison","2020-11-04T03:22:01Z",2020,11,4,3,22,1,1604488921,1137624,33,0.364,0.616
"edison","2020-11-04T03:25:36Z",2020,11,4,3,25,36,1604489136,1149247,34,0.366,0.614
"edison","2020-11-04T03:30:50Z",2020,11,4,3,30,50,1604489450,1211969,35,0.37,0.609
"edison","2020-11-04T03:31:51Z",2020,11,4,3,31,51,1604489511,1237404,36,0.37,0.609
"edison","2020-11-04T03:33:07Z",2020,11,4,3,33,7,1604489587,1243486,36,0.372,0.608
"edison","2020-11-04T03:37:36Z",2020,11,4,3,37,36,1604489856,1249290,37,0.372,0.607
"edison","2020-11-04T03:42:54Z",2020,11,4,3,42,54,1604490174,1300222,38,0.378,0.602
"edison","2020-11-04T03:43:52Z",2020,11,4,3,43,52,1604490232,1300276,38,0.378,0.602
"edison","2020-11-04T03:46:20Z",2020,11,4,3,46,20,1604490380,1300304,38,0.378,0.602
"edison","2020-11-04T03:48:19Z",2020,11,4,3,48,19,1604490499,1301914,38,0.378,0.602
"edison","2020-11-04T03:50:20Z",2020,11,4,3,50,20,1604490620,1312460,38,0.38,0.6
