"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:00:43Z",2020,11,4,9,0,43,1604509243,0,0,0,0
"edison","2020-11-04T01:33:46Z",2020,11,4,1,33,46,1604482426,749,0,0.465,0.522
"edison","2020-11-04T01:35:52Z",2020,11,4,1,35,52,1604482552,1164,0,0.595,0.396
"edison","2020-11-04T01:51:17Z",2020,11,4,1,51,17,1604483477,1506,0,0.652,0.335
"edison","2020-11-04T01:54:13Z",2020,11,4,1,54,13,1604483653,2110,0,0.714,0.274
"edison","2020-11-04T02:00:12Z",2020,11,4,2,0,12,1604484012,31029,2,0.651,0.328
"edison","2020-11-04T02:03:39Z",2020,11,4,2,3,39,1604484219,31677,2,0.651,0.328
"edison","2020-11-04T02:07:11Z",2020,11,4,2,7,11,1604484431,33055,2,0.645,0.334
"edison","2020-11-04T02:08:14Z",2020,11,4,2,8,14,1604484494,36737,3,0.63,0.349
"edison","2020-11-04T02:09:10Z",2020,11,4,2,9,10,1604484550,37471,3,0.633,0.346
"edison","2020-11-04T02:13:48Z",2020,11,4,2,13,48,1604484828,40559,3,0.623,0.356
"edison","2020-11-04T02:17:19Z",2020,11,4,2,17,19,1604485039,41553,3,0.619,0.361
"edison","2020-11-04T02:19:02Z",2020,11,4,2,19,2,1604485142,48688,4,0.607,0.372
"edison","2020-11-04T02:19:41Z",2020,11,4,2,19,41,1604485181,50717,4,0.601,0.379
"edison","2020-11-04T02:19:51Z",2020,11,4,2,19,51,1604485191,51427,4,0.598,0.381
"edison","2020-11-04T02:20:20Z",2020,11,4,2,20,20,1604485220,53249,4,0.595,0.385
"edison","2020-11-04T02:20:52Z",2020,11,4,2,20,52,1604485252,54939,4,0.604,0.376
"edison","2020-11-04T02:24:32Z",2020,11,4,2,24,32,1604485472,58745,4,0.586,0.395
"edison","2020-11-04T02:25:29Z",2020,11,4,2,25,29,1604485529,60338,5,0.587,0.394
"edison","2020-11-04T02:26:24Z",2020,11,4,2,26,24,1604485584,65785,5,0.565,0.416
"edison","2020-11-04T02:28:32Z",2020,11,4,2,28,32,1604485712,67147,5,0.563,0.418
"edison","2020-11-04T02:29:56Z",2020,11,4,2,29,56,1604485796,69421,5,0.556,0.425
"edison","2020-11-04T02:30:47Z",2020,11,4,2,30,47,1604485847,73074,5,0.554,0.428
"edison","2020-11-04T02:30:54Z",2020,11,4,2,30,54,1604485854,75601,6,0.545,0.437
"edison","2020-11-04T02:31:42Z",2020,11,4,2,31,42,1604485902,77288,6,0.549,0.433
"edison","2020-11-04T02:32:21Z",2020,11,4,2,32,21,1604485941,79347,6,0.546,0.436
"edison","2020-11-04T02:34:54Z",2020,11,4,2,34,54,1604486094,84301,6,0.565,0.417
"edison","2020-11-04T02:35:31Z",2020,11,4,2,35,31,1604486131,85930,6,0.571,0.411
"edison","2020-11-04T02:35:56Z",2020,11,4,2,35,56,1604486156,92325,7,0.59,0.393
"edison","2020-11-04T02:37:24Z",2020,11,4,2,37,24,1604486244,95560,7,0.597,0.386
"edison","2020-11-04T02:38:25Z",2020,11,4,2,38,25,1604486305,97650,7,0.599,0.383
"edison","2020-11-04T02:43:47Z",2020,11,4,2,43,47,1604486627,105202,8,0.593,0.39
"edison","2020-11-04T02:44:47Z",2020,11,4,2,44,47,1604486687,106529,8,0.592,0.391
"edison","2020-11-04T02:46:59Z",2020,11,4,2,46,59,1604486819,107906,8,0.594,0.389
"edison","2020-11-04T02:48:47Z",2020,11,4,2,48,47,1604486927,115569,9,0.584,0.399
"edison","2020-11-04T02:49:13Z",2020,11,4,2,49,13,1604486953,137224,10,0.593,0.39
"edison","2020-11-04T02:49:47Z",2020,11,4,2,49,47,1604486987,143346,11,0.593,0.39
"edison","2020-11-04T02:50:14Z",2020,11,4,2,50,14,1604487014,147822,11,0.588,0.396
"edison","2020-11-04T02:50:35Z",2020,11,4,2,50,35,1604487035,149107,11,0.586,0.397
"edison","2020-11-04T02:51:39Z",2020,11,4,2,51,39,1604487099,152020,11,0.591,0.392
