"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_hyde_smithc","vote_shares_espym"
"edison","2020-11-04T09:01:03Z",2020,11,4,9,1,3,1604509263,0,0,0,0
"edison","2020-11-04T01:36:35Z",2020,11,4,1,36,35,1604482595,416,0,0.779,0.195
"edison","2020-11-04T01:52:11Z",2020,11,4,1,52,11,1604483531,738,0,0.774,0.203
"edison","2020-11-04T01:55:15Z",2020,11,4,1,55,15,1604483715,1338,0,0.792,0.18
"edison","2020-11-04T02:01:01Z",2020,11,4,2,1,1,1604484061,30169,2,0.604,0.367
"edison","2020-11-04T02:05:06Z",2020,11,4,2,5,6,1604484306,30813,2,0.604,0.367
"edison","2020-11-04T02:08:03Z",2020,11,4,2,8,3,1604484483,32189,2,0.598,0.373
"edison","2020-11-04T02:08:50Z",2020,11,4,2,8,50,1604484530,35846,3,0.582,0.39
"edison","2020-11-04T02:09:59Z",2020,11,4,2,9,59,1604484599,36575,3,0.585,0.387
"edison","2020-11-04T02:14:33Z",2020,11,4,2,14,33,1604484873,38002,3,0.584,0.388
"edison","2020-11-04T02:14:48Z",2020,11,4,2,14,48,1604484888,39659,3,0.576,0.397
"edison","2020-11-04T02:17:56Z",2020,11,4,2,17,56,1604485076,40656,3,0.572,0.401
"edison","2020-11-04T02:20:13Z",2020,11,4,2,20,13,1604485213,48967,4,0.556,0.419
"edison","2020-11-04T02:22:04Z",2020,11,4,2,22,4,1604485324,52462,4,0.563,0.413
"edison","2020-11-04T02:22:18Z",2020,11,4,2,22,18,1604485338,53286,4,0.563,0.413
"edison","2020-11-04T02:25:55Z",2020,11,4,2,25,55,1604485555,57096,4,0.545,0.432
"edison","2020-11-04T02:26:04Z",2020,11,4,2,26,4,1604485564,58683,4,0.546,0.431
"edison","2020-11-04T02:27:21Z",2020,11,4,2,27,21,1604485641,64122,5,0.526,0.452
"edison","2020-11-04T02:29:05Z",2020,11,4,2,29,5,1604485745,64861,5,0.524,0.454
"edison","2020-11-04T02:30:12Z",2020,11,4,2,30,12,1604485812,65627,5,0.524,0.454
"edison","2020-11-04T02:30:37Z",2020,11,4,2,30,37,1604485837,67121,5,0.517,0.461
"edison","2020-11-04T02:31:39Z",2020,11,4,2,31,39,1604485899,70770,5,0.515,0.464
"edison","2020-11-04T02:32:10Z",2020,11,4,2,32,10,1604485930,74956,6,0.51,0.469
