"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:04Z",2020,11,4,10,2,4,1604512924,0,0,0,0
"edison","2020-11-04T03:12:41Z",2020,11,4,3,12,41,1604488361,7241,1,0.627,0.348
"edison","2020-11-04T03:23:09Z",2020,11,4,3,23,9,1604488989,71031,12,0.381,0.59
"edison","2020-11-04T03:28:49Z",2020,11,4,3,28,49,1604489329,79045,13,0.389,0.583
"edison","2020-11-04T03:44:34Z",2020,11,4,3,44,34,1604490274,103929,18,0.451,0.521
"edison","2020-11-04T03:48:36Z",2020,11,4,3,48,36,1604490516,110036,19,0.464,0.508
"edison","2020-11-04T04:10:33Z",2020,11,4,4,10,33,1604491833,110387,19,0.466,0.507
"edison","2020-11-04T04:16:17Z",2020,11,4,4,16,17,1604492177,112510,19,0.471,0.502
"edison","2020-11-04T04:28:55Z",2020,11,4,4,28,55,1604492935,116782,20,0.481,0.492
"edison","2020-11-04T04:49:44Z",2020,11,4,4,49,44,1604494184,149261,25,0.508,0.466
"edison","2020-11-04T04:53:31Z",2020,11,4,4,53,31,1604494411,149883,25,0.509,0.465
"edison","2020-11-04T04:55:38Z",2020,11,4,4,55,38,1604494538,186799,32,0.502,0.471
"edison","2020-11-04T04:56:10Z",2020,11,4,4,56,10,1604494570,187403,32,0.503,0.47
"edison","2020-11-04T04:59:09Z",2020,11,4,4,59,9,1604494749,191185,32,0.506,0.467
"edison","2020-11-04T05:04:03Z",2020,11,4,5,4,3,1604495043,224662,38,0.514,0.459
"edison","2020-11-04T05:05:27Z",2020,11,4,5,5,27,1604495127,287609,49,0.493,0.477
"edison","2020-11-04T05:06:08Z",2020,11,4,5,6,8,1604495168,292140,50,0.493,0.478
"edison","2020-11-04T05:20:15Z",2020,11,4,5,20,15,1604496015,294016,50,0.495,0.476
"edison","2020-11-04T05:33:16Z",2020,11,4,5,33,16,1604496796,297711,50,0.497,0.473
"edison","2020-11-04T05:34:16Z",2020,11,4,5,34,16,1604496856,298350,51,0.498,0.473
"edison","2020-11-04T05:34:34Z",2020,11,4,5,34,34,1604496874,299364,51,0.499,0.472
"edison","2020-11-04T05:35:29Z",2020,11,4,5,35,29,1604496929,301342,51,0.5,0.471
"edison","2020-11-04T05:36:27Z",2020,11,4,5,36,27,1604496987,303726,51,0.503,0.468
"edison","2020-11-04T05:36:55Z",2020,11,4,5,36,55,1604497015,308551,52,0.507,0.464
"edison","2020-11-04T05:39:30Z",2020,11,4,5,39,30,1604497170,310863,53,0.506,0.465
