"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:15:43Z",2020,11,4,9,15,43,1604510143,0,0,0,0
"edison","2020-11-03T14:16:25Z",2020,11,3,14,16,25,1604441785,26,0,0.615,0.385
"edison","2020-11-04T09:15:43Z",2020,11,4,9,15,43,1604510143,0,0,0,0
"edison","2020-11-03T14:16:25Z",2020,11,3,14,16,25,1604441785,26,0,0.615,0.385
"edison","2020-11-04T00:10:45Z",2020,11,4,0,10,45,1604477445,2613,0,0.252,0.748
"edison","2020-11-04T00:15:59Z",2020,11,4,0,15,59,1604477759,5315,1,0.278,0.722
"edison","2020-11-04T00:24:02Z",2020,11,4,0,24,2,1604478242,7298,1,0.288,0.712
"edison","2020-11-04T00:27:18Z",2020,11,4,0,27,18,1604478438,9583,1,0.315,0.685
"edison","2020-11-04T00:30:09Z",2020,11,4,0,30,9,1604478609,16047,2,0.411,0.584
"edison","2020-11-04T00:30:57Z",2020,11,4,0,30,57,1604478657,17732,2,0.404,0.592
"edison","2020-11-04T00:35:17Z",2020,11,4,0,35,17,1604478917,22148,3,0.427,0.566
"edison","2020-11-04T00:42:32Z",2020,11,4,0,42,32,1604479352,24937,3,0.448,0.544
"edison","2020-11-04T00:48:54Z",2020,11,4,0,48,54,1604479734,27454,3,0.442,0.55
"edison","2020-11-04T00:49:40Z",2020,11,4,0,49,40,1604479780,29222,3,0.444,0.548
"edison","2020-11-04T00:51:44Z",2020,11,4,0,51,44,1604479904,30941,4,0.433,0.559
"edison","2020-11-04T00:52:36Z",2020,11,4,0,52,36,1604479956,33743,4,0.439,0.552
"edison","2020-11-04T00:53:10Z",2020,11,4,0,53,10,1604479990,39563,5,0.412,0.58
"edison","2020-11-04T00:53:44Z",2020,11,4,0,53,44,1604480024,41235,5,0.413,0.579
"edison","2020-11-04T00:57:17Z",2020,11,4,0,57,17,1604480237,41874,5,0.415,0.577
"edison","2020-11-04T01:00:52Z",2020,11,4,1,0,52,1604480452,43714,5,0.419,0.573
"edison","2020-11-04T01:04:54Z",2020,11,4,1,4,54,1604480694,45293,5,0.422,0.571
"edison","2020-11-04T01:06:05Z",2020,11,4,1,6,5,1604480765,47480,5,0.424,0.569
"edison","2020-11-04T01:07:46Z",2020,11,4,1,7,46,1604480866,50616,6,0.419,0.574
"edison","2020-11-04T01:08:37Z",2020,11,4,1,8,37,1604480917,55644,6,0.432,0.56
"edison","2020-11-04T01:09:24Z",2020,11,4,1,9,24,1604480964,57506,7,0.437,0.554
"edison","2020-11-04T01:09:49Z",2020,11,4,1,9,49,1604480989,60388,7,0.444,0.547
"edison","2020-11-04T01:11:49Z",2020,11,4,1,11,49,1604481109,63394,7,0.445,0.545
"edison","2020-11-04T01:14:53Z",2020,11,4,1,14,53,1604481293,63437,7,0.445,0.545
"edison","2020-11-04T01:15:19Z",2020,11,4,1,15,19,1604481319,67371,8,0.45,0.54
"edison","2020-11-04T01:16:15Z",2020,11,4,1,16,15,1604481375,70285,8,0.451,0.539
"edison","2020-11-04T01:19:38Z",2020,11,4,1,19,38,1604481578,74686,9,0.454,0.536
"edison","2020-11-04T01:21:37Z",2020,11,4,1,21,37,1604481697,77164,9,0.447,0.542
"edison","2020-11-04T01:22:08Z",2020,11,4,1,22,8,1604481728,83679,10,0.453,0.536
"edison","2020-11-04T01:26:50Z",2020,11,4,1,26,50,1604482010,86227,10,0.45,0.54
"edison","2020-11-04T01:29:12Z",2020,11,4,1,29,12,1604482152,86254,10,0.45,0.54
"edison","2020-11-04T01:29:58Z",2020,11,4,1,29,58,1604482198,87621,10,0.451,0.539
"edison","2020-11-04T01:30:00Z",2020,11,4,1,30,0,1604482200,88663,10,0.453,0.537
"edison","2020-11-04T01:32:00Z",2020,11,4,1,32,0,1604482320,90247,10,0.453,0.536
"edison","2020-11-04T01:34:22Z",2020,11,4,1,34,22,1604482462,90742,10,0.453,0.536
"edison","2020-11-04T01:40:14Z",2020,11,4,1,40,14,1604482814,93285,11,0.452,0.538
"edison","2020-11-04T01:40:50Z",2020,11,4,1,40,50,1604482850,98758,11,0.449,0.541
"edison","2020-11-04T01:43:37Z",2020,11,4,1,43,37,1604483017,98779,11,0.449,0.542
"edison","2020-11-04T01:44:42Z",2020,11,4,1,44,42,1604483082,102709,12,0.453,0.537
"edison","2020-11-04T01:45:22Z",2020,11,4,1,45,22,1604483122,108606,13,0.459,0.53
"edison","2020-11-04T01:47:37Z",2020,11,4,1,47,37,1604483257,109400,13,0.46,0.53
"edison","2020-11-04T01:56:28Z",2020,11,4,1,56,28,1604483788,113293,13,0.456,0.533
"edison","2020-11-04T01:57:45Z",2020,11,4,1,57,45,1604483865,114366,13,0.456,0.533
"edison","2020-11-04T02:00:03Z",2020,11,4,2,0,3,1604484003,114661,13,0.457,0.532
"edison","2020-11-04T02:01:23Z",2020,11,4,2,1,23,1604484083,116353,13,0.456,0.533
"edison","2020-11-04T02:01:41Z",2020,11,4,2,1,41,1604484101,120455,14,0.46,0.529
"edison","2020-11-04T02:04:24Z",2020,11,4,2,4,24,1604484264,124342,14,0.459,0.53
"edison","2020-11-04T02:06:35Z",2020,11,4,2,6,35,1604484395,125143,14,0.458,0.531
"edison","2020-11-04T02:07:25Z",2020,11,4,2,7,25,1604484445,134277,16,0.449,0.539
"edison","2020-11-04T02:11:38Z",2020,11,4,2,11,38,1604484698,135495,16,0.449,0.538
"edison","2020-11-04T02:13:20Z",2020,11,4,2,13,20,1604484800,135804,16,0.449,0.539
"edison","2020-11-04T02:14:47Z",2020,11,4,2,14,47,1604484887,135810,16,0.449,0.539
"edison","2020-11-04T02:16:10Z",2020,11,4,2,16,10,1604484970,137469,16,0.449,0.539
"edison","2020-11-04T02:17:31Z",2020,11,4,2,17,31,1604485051,137477,16,0.449,0.539
"edison","2020-11-04T02:18:05Z",2020,11,4,2,18,5,1604485085,137555,16,0.449,0.539
"edison","2020-11-04T02:18:30Z",2020,11,4,2,18,30,1604485110,140977,16,0.446,0.541
"edison","2020-11-04T02:20:19Z",2020,11,4,2,20,19,1604485219,143575,17,0.446,0.541
"edison","2020-11-04T02:22:04Z",2020,11,4,2,22,4,1604485324,143784,17,0.447,0.541
"edison","2020-11-04T02:23:02Z",2020,11,4,2,23,2,1604485382,147124,17,0.444,0.543
"edison","2020-11-04T02:24:00Z",2020,11,4,2,24,0,1604485440,150043,17,0.443,0.544
"edison","2020-11-04T02:26:19Z",2020,11,4,2,26,19,1604485579,150521,17,0.444,0.544
"edison","2020-11-04T02:27:11Z",2020,11,4,2,27,11,1604485631,159947,18,0.435,0.552
"edison","2020-11-04T02:28:57Z",2020,11,4,2,28,57,1604485737,169961,20,0.439,0.548
"edison","2020-11-04T02:31:39Z",2020,11,4,2,31,39,1604485899,170850,20,0.439,0.547
"edison","2020-11-04T02:32:03Z",2020,11,4,2,32,3,1604485923,172895,20,0.44,0.546
"edison","2020-11-04T02:33:59Z",2020,11,4,2,33,59,1604486039,174587,20,0.441,0.545
"edison","2020-11-04T02:34:22Z",2020,11,4,2,34,22,1604486062,174605,20,0.441,0.545
"edison","2020-11-04T02:37:51Z",2020,11,4,2,37,51,1604486271,180159,21,0.44,0.547
"edison","2020-11-04T02:39:35Z",2020,11,4,2,39,35,1604486375,183643,21,0.44,0.547
"edison","2020-11-04T02:43:11Z",2020,11,4,2,43,11,1604486591,185842,21,0.44,0.547
"edison","2020-11-04T02:44:22Z",2020,11,4,2,44,22,1604486662,187867,22,0.441,0.546
"edison","2020-11-04T02:44:36Z",2020,11,4,2,44,36,1604486676,191919,22,0.444,0.543
"edison","2020-11-04T02:50:46Z",2020,11,4,2,50,46,1604487046,192539,22,0.444,0.543
"edison","2020-11-04T02:52:36Z",2020,11,4,2,52,36,1604487156,201427,23,0.447,0.539
"edison","2020-11-04T02:52:42Z",2020,11,4,2,52,42,1604487162,202735,23,0.447,0.54
"edison","2020-11-04T02:54:26Z",2020,11,4,2,54,26,1604487266,205684,24,0.448,0.539
"edison","2020-11-04T02:55:46Z",2020,11,4,2,55,46,1604487346,207779,24,0.449,0.537
"edison","2020-11-04T02:56:05Z",2020,11,4,2,56,5,1604487365,210567,24,0.45,0.536
"edison","2020-11-04T02:57:39Z",2020,11,4,2,57,39,1604487459,212863,25,0.45,0.536
"edison","2020-11-04T02:58:31Z",2020,11,4,2,58,31,1604487511,212867,25,0.45,0.536
"edison","2020-11-04T02:59:49Z",2020,11,4,2,59,49,1604487589,216050,25,0.452,0.535
"edison","2020-11-04T03:00:09Z",2020,11,4,3,0,9,1604487609,220863,26,0.452,0.535
"edison","2020-11-04T03:00:36Z",2020,11,4,3,0,36,1604487636,226375,26,0.451,0.536
"edison","2020-11-04T03:04:02Z",2020,11,4,3,4,2,1604487842,226787,26,0.451,0.536
"edison","2020-11-04T03:05:54Z",2020,11,4,3,5,54,1604487954,229135,26,0.45,0.537
"edison","2020-11-04T03:10:41Z",2020,11,4,3,10,41,1604488241,239471,28,0.444,0.542
"edison","2020-11-04T03:12:41Z",2020,11,4,3,12,41,1604488361,254210,29,0.446,0.54
"edison","2020-11-04T03:14:22Z",2020,11,4,3,14,22,1604488462,254779,29,0.446,0.54
"edison","2020-11-04T03:18:22Z",2020,11,4,3,18,22,1604488702,260986,30,0.449,0.537
"edison","2020-11-04T03:21:55Z",2020,11,4,3,21,55,1604488915,267982,31,0.448,0.539
"edison","2020-11-04T03:22:03Z",2020,11,4,3,22,3,1604488923,273086,32,0.45,0.537
"edison","2020-11-04T03:22:26Z",2020,11,4,3,22,26,1604488946,281940,33,0.454,0.533
"edison","2020-11-04T03:23:42Z",2020,11,4,3,23,42,1604489022,289192,33,0.457,0.53
"edison","2020-11-04T03:24:20Z",2020,11,4,3,24,20,1604489060,290833,34,0.457,0.53
"edison","2020-11-04T03:24:34Z",2020,11,4,3,24,34,1604489074,290850,34,0.457,0.53
"edison","2020-11-04T03:25:42Z",2020,11,4,3,25,42,1604489142,293760,34,0.456,0.53
"edison","2020-11-04T03:26:32Z",2020,11,4,3,26,32,1604489192,294060,34,0.456,0.53
"edison","2020-11-04T03:26:49Z",2020,11,4,3,26,49,1604489209,305872,35,0.448,0.538
"edison","2020-11-04T03:32:19Z",2020,11,4,3,32,19,1604489539,309010,36,0.449,0.537
"edison","2020-11-04T03:34:29Z",2020,11,4,3,34,29,1604489669,309918,36,0.449,0.538
"edison","2020-11-04T03:36:55Z",2020,11,4,3,36,55,1604489815,321280,37,0.449,0.538
"edison","2020-11-04T03:38:24Z",2020,11,4,3,38,24,1604489904,322203,37,0.449,0.538
"edison","2020-11-04T03:40:37Z",2020,11,4,3,40,37,1604490037,322457,37,0.449,0.538
"edison","2020-11-04T03:45:15Z",2020,11,4,3,45,15,1604490315,326588,38,0.449,0.539
"edison","2020-11-04T03:45:32Z",2020,11,4,3,45,32,1604490332,329035,38,0.448,0.54
"edison","2020-11-04T03:50:10Z",2020,11,4,3,50,10,1604490610,329046,38,0.448,0.54
