"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_shaheenj","vote_shares_messnerc"
"edison","2020-11-04T09:34:44Z",2020,11,4,9,34,44,1604511284,0,0,0,0
"edison","2020-11-03T14:17:31Z",2020,11,3,14,17,31,1604441851,27,0,0.407,0.593
"edison","2020-11-04T09:34:44Z",2020,11,4,9,34,44,1604511284,0,0,0,0
"edison","2020-11-03T14:17:31Z",2020,11,3,14,17,31,1604441851,27,0,0.407,0.593
"edison","2020-11-04T00:10:59Z",2020,11,4,0,10,59,1604477459,2610,0,0.766,0.234
"edison","2020-11-04T00:16:24Z",2020,11,4,0,16,24,1604477784,5300,1,0.757,0.243
"edison","2020-11-04T00:24:21Z",2020,11,4,0,24,21,1604478261,7228,1,0.752,0.248
"edison","2020-11-04T00:27:37Z",2020,11,4,0,27,37,1604478457,9478,1,0.731,0.269
"edison","2020-11-04T00:30:22Z",2020,11,4,0,30,22,1604478622,12244,1,0.69,0.31
"edison","2020-11-04T00:30:42Z",2020,11,4,0,30,42,1604478642,15844,2,0.64,0.355
"edison","2020-11-04T00:31:47Z",2020,11,4,0,31,47,1604478707,17489,2,0.645,0.35
"edison","2020-11-04T00:35:59Z",2020,11,4,0,35,59,1604478959,21874,3,0.617,0.375
"edison","2020-11-04T00:42:45Z",2020,11,4,0,42,45,1604479365,24628,3,0.595,0.395
"edison","2020-11-04T00:49:12Z",2020,11,4,0,49,12,1604479752,27014,3,0.6,0.391
"edison","2020-11-04T00:50:16Z",2020,11,4,0,50,16,1604479816,28778,3,0.597,0.393
"edison","2020-11-04T00:52:25Z",2020,11,4,0,52,25,1604479945,30339,4,0.606,0.384
"edison","2020-11-04T00:53:17Z",2020,11,4,0,53,17,1604479997,33110,4,0.6,0.39
"edison","2020-11-04T00:53:32Z",2020,11,4,0,53,32,1604480012,36149,4,0.615,0.375
"edison","2020-11-04T00:54:23Z",2020,11,4,0,54,23,1604480063,40074,5,0.63,0.36
"edison","2020-11-04T00:57:31Z",2020,11,4,0,57,31,1604480251,40714,5,0.628,0.362
"edison","2020-11-04T01:01:09Z",2020,11,4,1,1,9,1604480469,42531,5,0.625,0.366
"edison","2020-11-04T01:05:06Z",2020,11,4,1,5,6,1604480706,44084,5,0.623,0.368
"edison","2020-11-04T01:06:14Z",2020,11,4,1,6,14,1604480774,46256,5,0.622,0.37
"edison","2020-11-04T01:08:40Z",2020,11,4,1,8,40,1604480920,49347,6,0.624,0.368
"edison","2020-11-04T01:09:02Z",2020,11,4,1,9,2,1604480942,50938,6,0.621,0.371
"edison","2020-11-04T01:09:14Z",2020,11,4,1,9,14,1604480954,54321,6,0.611,0.379
"edison","2020-11-04T01:10:10Z",2020,11,4,1,10,10,1604481010,56164,6,0.605,0.385
"edison","2020-11-04T01:10:37Z",2020,11,4,1,10,37,1604481037,58948,7,0.601,0.389
"edison","2020-11-04T01:11:33Z",2020,11,4,1,11,33,1604481093,58983,7,0.599,0.391
"edison","2020-11-04T01:15:15Z",2020,11,4,1,15,15,1604481315,59025,7,0.599,0.391
"edison","2020-11-04T01:16:06Z",2020,11,4,1,16,6,1604481366,62924,7,0.594,0.396
"edison","2020-11-04T01:19:10Z",2020,11,4,1,19,10,1604481550,65817,8,0.591,0.398
"edison","2020-11-04T01:20:33Z",2020,11,4,1,20,33,1604481633,70182,8,0.587,0.401
"edison","2020-11-04T01:22:17Z",2020,11,4,1,22,17,1604481737,73061,8,0.589,0.398
"edison","2020-11-04T01:22:30Z",2020,11,4,1,22,30,1604481750,75886,9,0.588,0.4
"edison","2020-11-04T01:26:52Z",2020,11,4,1,26,52,1604482012,75906,9,0.588,0.4
"edison","2020-11-04T01:27:19Z",2020,11,4,1,27,19,1604482039,78424,9,0.591,0.397
"edison","2020-11-04T01:29:57Z",2020,11,4,1,29,57,1604482197,81400,9,0.59,0.398
"edison","2020-11-04T01:30:28Z",2020,11,4,1,30,28,1604482228,85038,10,0.584,0.404
"edison","2020-11-04T01:30:36Z",2020,11,4,1,30,36,1604482236,86385,10,0.584,0.404
"edison","2020-11-04T01:31:19Z",2020,11,4,1,31,19,1604482279,87409,10,0.582,0.406
"edison","2020-11-04T01:33:10Z",2020,11,4,1,33,10,1604482390,88972,10,0.581,0.406
"edison","2020-11-04T01:34:57Z",2020,11,4,1,34,57,1604482497,89466,10,0.581,0.406
"edison","2020-11-04T01:40:49Z",2020,11,4,1,40,49,1604482849,91974,11,0.583,0.405
"edison","2020-11-04T01:41:05Z",2020,11,4,1,41,5,1604482865,97394,11,0.587,0.402
"edison","2020-11-04T01:44:15Z",2020,11,4,1,44,15,1604483055,97416,11,0.587,0.402
"edison","2020-11-04T01:45:04Z",2020,11,4,1,45,4,1604483104,101334,12,0.581,0.406
"edison","2020-11-04T01:45:44Z",2020,11,4,1,45,44,1604483144,107170,12,0.576,0.412
"edison","2020-11-04T01:48:02Z",2020,11,4,1,48,2,1604483282,107965,12,0.575,0.412
"edison","2020-11-04T01:57:18Z",2020,11,4,1,57,18,1604483838,110706,13,0.577,0.41
"edison","2020-11-04T01:57:24Z",2020,11,4,1,57,24,1604483844,111821,13,0.578,0.409
"edison","2020-11-04T01:58:17Z",2020,11,4,1,58,17,1604483897,112879,13,0.578,0.409
