"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:01:03Z",2020,11,4,9,1,3,1604509263,0,0,0,0
"edison","2020-11-04T02:43:43Z",2020,11,4,2,43,43,1604486623,279039,30,0.356,0.623
"edison","2020-11-04T02:46:31Z",2020,11,4,2,46,31,1604486791,297266,32,0.382,0.597
"edison","2020-11-04T02:46:48Z",2020,11,4,2,46,48,1604486808,313946,34,0.404,0.576
"edison","2020-11-04T02:47:43Z",2020,11,4,2,47,43,1604486863,314946,34,0.405,0.575
"edison","2020-11-04T03:04:42Z",2020,11,4,3,4,42,1604487882,315554,34,0.406,0.574
"edison","2020-11-04T03:09:37Z",2020,11,4,3,9,37,1604488177,447163,49,0.431,0.55
"edison","2020-11-04T03:15:46Z",2020,11,4,3,15,46,1604488546,513698,56,0.431,0.55
"edison","2020-11-04T03:17:42Z",2020,11,4,3,17,42,1604488662,514638,56,0.431,0.55
"edison","2020-11-04T03:18:25Z",2020,11,4,3,18,25,1604488705,515286,56,0.431,0.549
"edison","2020-11-04T03:20:21Z",2020,11,4,3,20,21,1604488821,516875,56,0.432,0.549
"edison","2020-11-04T03:26:40Z",2020,11,4,3,26,40,1604489200,544639,59,0.442,0.538
"edison","2020-11-04T03:35:59Z",2020,11,4,3,35,59,1604489759,551262,60,0.443,0.538
"edison","2020-11-04T03:46:56Z",2020,11,4,3,46,56,1604490416,570801,62,0.44,0.54
"edison","2020-11-04T03:55:02Z",2020,11,4,3,55,2,1604490902,571544,62,0.44,0.539
"edison","2020-11-04T03:55:13Z",2020,11,4,3,55,13,1604490913,572443,62,0.441,0.539
"edison","2020-11-04T03:57:01Z",2020,11,4,3,57,1,1604491021,577034,63,0.443,0.537
"edison","2020-11-04T04:03:41Z",2020,11,4,4,3,41,1604491421,577284,63,0.443,0.537
"edison","2020-11-04T04:06:15Z",2020,11,4,4,6,15,1604491575,605838,66,0.442,0.537
"edison","2020-11-04T04:08:46Z",2020,11,4,4,8,46,1604491726,610323,66,0.442,0.538
"edison","2020-11-04T04:16:23Z",2020,11,4,4,16,23,1604492183,614111,67,0.442,0.537
"edison","2020-11-04T04:19:33Z",2020,11,4,4,19,33,1604492373,615260,67,0.442,0.537
"edison","2020-11-04T04:20:10Z",2020,11,4,4,20,10,1604492410,616160,67,0.442,0.537
"edison","2020-11-04T04:27:00Z",2020,11,4,4,27,0,1604492820,638145,69,0.444,0.536
"edison","2020-11-04T04:34:55Z",2020,11,4,4,34,55,1604493295,650663,71,0.442,0.537
"edison","2020-11-04T04:46:34Z",2020,11,4,4,46,34,1604493994,658384,72,0.442,0.537
"edison","2020-11-04T04:56:05Z",2020,11,4,4,56,5,1604494565,721461,78,0.449,0.53
"edison","2020-11-04T05:06:17Z",2020,11,4,5,6,17,1604495177,733730,80,0.449,0.53
"edison","2020-11-04T05:15:09Z",2020,11,4,5,15,9,1604495709,735909,80,0.449,0.531
"edison","2020-11-04T05:16:06Z",2020,11,4,5,16,6,1604495766,745339,81,0.449,0.53
"edison","2020-11-04T05:22:40Z",2020,11,4,5,22,40,1604496160,745465,81,0.449,0.53
"edison","2020-11-04T05:27:56Z",2020,11,4,5,27,56,1604496476,809793,88,0.447,0.533
"edison","2020-11-04T05:32:41Z",2020,11,4,5,32,41,1604496761,817144,89,0.446,0.533
"edison","2020-11-04T05:35:21Z",2020,11,4,5,35,21,1604496921,820199,89,0.445,0.534
"edison","2020-11-04T05:46:21Z",2020,11,4,5,46,21,1604497581,820586,89,0.445,0.534
"edison","2020-11-04T05:59:49Z",2020,11,4,5,59,49,1604498389,830315,90,0.445,0.533
"edison","2020-11-04T06:05:35Z",2020,11,4,6,5,35,1604498735,875269,95,0.439,0.54
"edison","2020-11-04T06:14:48Z",2020,11,4,6,14,48,1604499288,883716,96,0.439,0.54
"edison","2020-11-04T06:24:47Z",2020,11,4,6,24,47,1604499887,884938,96,0.439,0.54
"edison","2020-11-04T06:34:49Z",2020,11,4,6,34,49,1604500489,902084,98,0.439,0.539
"edison","2020-11-04T06:44:49Z",2020,11,4,6,44,49,1604501089,902512,98,0.439,0.539
"edison","2020-11-04T07:04:49Z",2020,11,4,7,4,49,1604502289,911067,99,0.439,0.539
"edison","2020-11-04T07:35:49Z",2020,11,4,7,35,49,1604504149,911678,99,0.439,0.539
"edison","2020-11-04T07:45:50Z",2020,11,4,7,45,50,1604504750,913147,99,0.438,0.54
