"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_ronchettim"
"edison","2020-11-04T08:55:03Z",2020,11,4,8,55,3,1604508903,0,0,0
"edison","2020-11-04T01:53:26Z",2020,11,4,1,53,26,1604483606,995,0,0.761
"edison","2020-11-04T02:44:08Z",2020,11,4,2,44,8,1604486648,278578,30,0.398
"edison","2020-11-04T02:48:22Z",2020,11,4,2,48,22,1604486902,294978,32,0.42
"edison","2020-11-04T02:58:25Z",2020,11,4,2,58,25,1604487505,295575,32,0.421
"edison","2020-11-04T03:09:37Z",2020,11,4,3,9,37,1604488177,426395,46,0.446
"edison","2020-11-04T03:15:45Z",2020,11,4,3,15,45,1604488545,492426,54,0.445
"edison","2020-11-04T03:18:14Z",2020,11,4,3,18,14,1604488694,512868,56,0.457
"edison","2020-11-04T03:26:19Z",2020,11,4,3,26,19,1604489179,540440,59,0.467
"edison","2020-11-04T03:35:39Z",2020,11,4,3,35,39,1604489739,546995,59,0.467
"edison","2020-11-04T03:37:28Z",2020,11,4,3,37,28,1604489848,548438,60,0.468
"edison","2020-11-04T03:48:33Z",2020,11,4,3,48,33,1604490513,565945,62,0.464
"edison","2020-11-04T03:54:53Z",2020,11,4,3,54,53,1604490893,567298,62,0.464
"edison","2020-11-04T03:59:12Z",2020,11,4,3,59,12,1604491152,571860,62,0.466
"edison","2020-11-04T04:06:15Z",2020,11,4,4,6,15,1604491575,600259,65,0.466
"edison","2020-11-04T04:16:23Z",2020,11,4,4,16,23,1604492183,604882,66,0.466
"edison","2020-11-04T04:27:23Z",2020,11,4,4,27,23,1604492843,626716,68,0.468
"edison","2020-11-04T04:36:08Z",2020,11,4,4,36,8,1604493368,640015,70,0.466
"edison","2020-11-04T04:46:33Z",2020,11,4,4,46,33,1604493993,649034,71,0.465
"edison","2020-11-04T04:56:47Z",2020,11,4,4,56,47,1604494607,716679,78,0.472
"edison","2020-11-04T05:05:25Z",2020,11,4,5,5,25,1604495125,720965,78,0.471
"edison","2020-11-04T05:16:05Z",2020,11,4,5,16,5,1604495765,738197,80,0.472
"edison","2020-11-04T05:27:57Z",2020,11,4,5,27,57,1604496477,803941,87,0.467
"edison","2020-11-04T05:35:21Z",2020,11,4,5,35,21,1604496921,807004,88,0.466
"edison","2020-11-04T05:46:21Z",2020,11,4,5,46,21,1604497581,807376,88,0.466
"edison","2020-11-04T05:56:15Z",2020,11,4,5,56,15,1604498175,814640,89,0.466
"edison","2020-11-04T05:59:48Z",2020,11,4,5,59,48,1604498388,824153,90,0.466
"edison","2020-11-04T06:05:35Z",2020,11,4,6,5,35,1604498735,869048,94,0.46
"edison","2020-11-04T06:14:49Z",2020,11,4,6,14,49,1604499289,877425,95,0.46
"edison","2020-11-04T06:15:24Z",2020,11,4,6,15,24,1604499324,877427,95,0.46
"edison","2020-11-04T06:25:49Z",2020,11,4,6,25,49,1604499949,878624,96,0.46
"edison","2020-11-04T06:34:49Z",2020,11,4,6,34,49,1604500489,895501,97,0.46
"edison","2020-11-04T06:44:50Z",2020,11,4,6,44,50,1604501090,895916,97,0.46
"edison","2020-11-04T07:04:49Z",2020,11,4,7,4,49,1604502289,904393,98,0.46
"edison","2020-11-04T07:35:49Z",2020,11,4,7,35,49,1604504149,905004,98,0.46
"edison","2020-11-04T07:45:49Z",2020,11,4,7,45,49,1604504749,906449,99,0.46
"edison","2020-11-05T00:48:50Z",2020,11,5,0,48,50,1604566130,914475,99,0.457
"edison","2020-11-05T01:24:49Z",2020,11,5,1,24,49,1604568289,915151,99,0.457
"edison","2020-11-06T02:00:49Z",2020,11,6,2,0,49,1604656849,915895,99,0.457
"edison","2020-11-06T20:53:08Z",2020,11,6,20,53,8,1604724788,911305,99,0.458
"edison","2020-11-07T02:00:44Z",2020,11,7,2,0,44,1604743244,912319,99,0.457
"edison","2020-11-08T02:00:38Z",2020,11,8,2,0,38,1604829638,912631,99,0.457
"edison","2020-11-10T02:00:43Z",2020,11,10,2,0,43,1605002443,912999,99,0.457
"edison","2020-11-11T02:00:56Z",2020,11,11,2,0,56,1605088856,914262,99,0.457
"edison","2020-11-12T02:00:46Z",2020,11,12,2,0,46,1605175246,914619,99,0.457
"edison","2020-11-13T02:00:52Z",2020,11,13,2,0,52,1605261652,914656,99,0.457
"edison","2020-11-14T02:00:55Z",2020,11,14,2,0,55,1605348055,914704,99,0.457
"edison","2020-11-14T22:31:09Z",2020,11,14,22,31,9,1605421869,914821,99,0.457
"edison","2020-11-16T02:01:05Z",2020,11,16,2,1,5,1605520865,916975,99,0.456
"edison","2020-11-17T02:00:59Z",2020,11,17,2,0,59,1605607259,916977,99,0.456
"edison","2020-11-18T02:01:03Z",2020,11,18,2,1,3,1605693663,916978,99,0.456
"edison","2020-11-19T02:01:01Z",2020,11,19,2,1,1,1605780061,917000,99,0.456
"edison","2020-11-21T02:01:00Z",2020,11,21,2,1,0,1605952860,917002,99,0.456
"edison","2020-11-22T02:01:01Z",2020,11,22,2,1,1,1606039261,917075,99,0.456
"edison","2020-11-23T23:30:53Z",2020,11,23,23,30,53,1606203053,917222,99,0.456
"edison","2020-11-25T03:47:18Z",2020,11,25,3,47,18,1606304838,917244,99,0.456
"edison","2020-11-25T03:49:37Z",2020,11,25,3,49,37,1606304977,917248,99,0.456
"edison","2020-11-25T03:50:24Z",2020,11,25,3,50,24,1606305024,917237,99,0.456
