"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:57:24Z",2020,11,4,9,57,24,1604512644,0,0,0,0
"edison","2020-11-04T02:05:57Z",2020,11,4,2,5,57,1604484357,953245,11,0.194,0.801
"edison","2020-11-04T02:07:20Z",2020,11,4,2,7,20,1604484440,976723,12,0.197,0.798
"edison","2020-11-04T02:07:41Z",2020,11,4,2,7,41,1604484461,998854,12,0.203,0.791
"edison","2020-11-04T02:09:11Z",2020,11,4,2,9,11,1604484551,1034950,12,0.205,0.789
"edison","2020-11-04T02:11:12Z",2020,11,4,2,11,12,1604484672,1157177,14,0.227,0.767
"edison","2020-11-04T02:12:03Z",2020,11,4,2,12,3,1604484723,1202356,14,0.223,0.771
"edison","2020-11-04T02:13:38Z",2020,11,4,2,13,38,1604484818,1206363,14,0.224,0.77
"edison","2020-11-04T02:15:08Z",2020,11,4,2,15,8,1604484908,1273171,15,0.228,0.765
"edison","2020-11-04T02:15:57Z",2020,11,4,2,15,57,1604484957,1326040,16,0.235,0.759
"edison","2020-11-04T02:22:05Z",2020,11,4,2,22,5,1604485325,1362175,16,0.238,0.755
"edison","2020-11-04T02:22:27Z",2020,11,4,2,22,27,1604485347,1377906,16,0.243,0.75
"edison","2020-11-04T02:22:46Z",2020,11,4,2,22,46,1604485366,1385486,16,0.243,0.751
"edison","2020-11-04T02:24:18Z",2020,11,4,2,24,18,1604485458,1393301,16,0.244,0.75
"edison","2020-11-04T02:26:17Z",2020,11,4,2,26,17,1604485577,1413543,17,0.247,0.746
"edison","2020-11-04T02:27:09Z",2020,11,4,2,27,9,1604485629,1444530,17,0.247,0.746
"edison","2020-11-04T02:27:44Z",2020,11,4,2,27,44,1604485664,1451134,17,0.248,0.745
"edison","2020-11-04T02:28:17Z",2020,11,4,2,28,17,1604485697,1458031,17,0.249,0.744
"edison","2020-11-04T02:29:25Z",2020,11,4,2,29,25,1604485765,1480318,17,0.251,0.742
"edison","2020-11-04T02:31:07Z",2020,11,4,2,31,7,1604485867,1514491,18,0.254,0.739
"edison","2020-11-04T02:32:03Z",2020,11,4,2,32,3,1604485923,1528240,18,0.254,0.739
"edison","2020-11-04T02:32:09Z",2020,11,4,2,32,9,1604485929,1535841,18,0.254,0.739
"edison","2020-11-04T02:32:37Z",2020,11,4,2,32,37,1604485957,1575106,19,0.255,0.738
"edison","2020-11-04T02:34:27Z",2020,11,4,2,34,27,1604486067,1576049,19,0.255,0.738
"edison","2020-11-04T02:36:37Z",2020,11,4,2,36,37,1604486197,1581504,19,0.257,0.736
"edison","2020-11-04T02:37:10Z",2020,11,4,2,37,10,1604486230,1603163,19,0.256,0.737
"edison","2020-11-04T02:38:07Z",2020,11,4,2,38,7,1604486287,1630894,19,0.258,0.735
"edison","2020-11-04T02:38:54Z",2020,11,4,2,38,54,1604486334,1669413,20,0.262,0.73
"edison","2020-11-04T02:40:58Z",2020,11,4,2,40,58,1604486458,1671936,20,0.263,0.73
"edison","2020-11-04T02:42:08Z",2020,11,4,2,42,8,1604486528,1686872,20,0.265,0.728
"edison","2020-11-04T02:42:41Z",2020,11,4,2,42,41,1604486561,1708530,20,0.264,0.728
"edison","2020-11-04T02:43:06Z",2020,11,4,2,43,6,1604486586,1737845,21,0.264,0.728
"edison","2020-11-04T02:44:45Z",2020,11,4,2,44,45,1604486685,1743635,21,0.265,0.727
"edison","2020-11-04T02:45:42Z",2020,11,4,2,45,42,1604486742,1762511,21,0.268,0.724
"edison","2020-11-04T02:46:03Z",2020,11,4,2,46,3,1604486763,1777007,21,0.267,0.725
"edison","2020-11-04T02:46:36Z",2020,11,4,2,46,36,1604486796,1794868,21,0.269,0.724
"edison","2020-11-04T02:46:57Z",2020,11,4,2,46,57,1604486817,1817053,21,0.268,0.724
"edison","2020-11-04T02:47:45Z",2020,11,4,2,47,45,1604486865,1819217,21,0.269,0.723
"edison","2020-11-04T02:49:05Z",2020,11,4,2,49,5,1604486945,1819292,21,0.269,0.723
"edison","2020-11-04T02:50:56Z",2020,11,4,2,50,56,1604487056,1820886,22,0.269,0.723
"edison","2020-11-04T02:51:51Z",2020,11,4,2,51,51,1604487111,1849391,22,0.269,0.723
"edison","2020-11-04T02:52:29Z",2020,11,4,2,52,29,1604487149,1856264,22,0.268,0.724
"edison","2020-11-04T02:52:52Z",2020,11,4,2,52,52,1604487172,1928238,23,0.28,0.712
"edison","2020-11-04T02:53:00Z",2020,11,4,2,53,0,1604487180,1933893,23,0.28,0.711
"edison","2020-11-04T02:53:16Z",2020,11,4,2,53,16,1604487196,1945482,23,0.28,0.712
"edison","2020-11-04T02:54:54Z",2020,11,4,2,54,54,1604487294,2130833,25,0.277,0.714
"edison","2020-11-04T02:56:35Z",2020,11,4,2,56,35,1604487395,2145811,25,0.278,0.713
"edison","2020-11-04T02:57:03Z",2020,11,4,2,57,3,1604487423,2159304,26,0.278,0.714
"edison","2020-11-04T02:57:40Z",2020,11,4,2,57,40,1604487460,2174066,26,0.278,0.714
"edison","2020-11-04T02:57:59Z",2020,11,4,2,57,59,1604487479,2181833,26,0.278,0.714
"edison","2020-11-04T02:58:26Z",2020,11,4,2,58,26,1604487506,2243951,27,0.286,0.706
"edison","2020-11-04T03:01:12Z",2020,11,4,3,1,12,1604487672,2268325,27,0.287,0.704
"edison","2020-11-04T03:01:23Z",2020,11,4,3,1,23,1604487683,2305825,27,0.289,0.702
"edison","2020-11-04T03:02:05Z",2020,11,4,3,2,5,1604487725,2319170,27,0.289,0.702
"edison","2020-11-04T03:04:03Z",2020,11,4,3,4,3,1604487843,2435721,29,0.3,0.691
"edison","2020-11-04T03:06:32Z",2020,11,4,3,6,32,1604487992,2451583,29,0.299,0.692
"edison","2020-11-04T03:06:59Z",2020,11,4,3,6,59,1604488019,2460786,29,0.299,0.692
"edison","2020-11-04T03:07:02Z",2020,11,4,3,7,2,1604488022,2472021,29,0.299,0.692
"edison","2020-11-04T03:07:43Z",2020,11,4,3,7,43,1604488063,2548811,30,0.306,0.684
"edison","2020-11-04T03:11:02Z",2020,11,4,3,11,2,1604488262,2558240,30,0.306,0.685
"edison","2020-11-04T03:12:08Z",2020,11,4,3,12,8,1604488328,2574221,30,0.306,0.684
"edison","2020-11-04T03:12:33Z",2020,11,4,3,12,33,1604488353,2587049,31,0.307,0.684
"edison","2020-11-04T03:12:46Z",2020,11,4,3,12,46,1604488366,2595069,31,0.306,0.684
"edison","2020-11-04T03:15:56Z",2020,11,4,3,15,56,1604488556,2599321,31,0.306,0.684
"edison","2020-11-04T03:16:59Z",2020,11,4,3,16,59,1604488619,2611554,31,0.306,0.685
"edison","2020-11-04T03:17:36Z",2020,11,4,3,17,36,1604488656,2627132,31,0.307,0.684
"edison","2020-11-04T03:18:07Z",2020,11,4,3,18,7,1604488687,2632720,31,0.307,0.683
"edison","2020-11-04T03:19:14Z",2020,11,4,3,19,14,1604488754,2730051,32,0.316,0.674
"edison","2020-11-04T03:19:35Z",2020,11,4,3,19,35,1604488775,2801890,33,0.322,0.668
"edison","2020-11-04T03:19:43Z",2020,11,4,3,19,43,1604488783,2905829,34,0.333,0.656
"edison","2020-11-04T03:20:41Z",2020,11,4,3,20,41,1604488841,2977376,35,0.34,0.649
"edison","2020-11-04T03:22:16Z",2020,11,4,3,22,16,1604488936,2978149,35,0.34,0.649
"edison","2020-11-04T03:23:20Z",2020,11,4,3,23,20,1604489000,2983503,35,0.341,0.648
"edison","2020-11-04T03:24:08Z",2020,11,4,3,24,8,1604489048,2992043,35,0.34,0.648
"edison","2020-11-04T03:24:23Z",2020,11,4,3,24,23,1604489063,2999878,35,0.34,0.649
"edison","2020-11-04T03:24:59Z",2020,11,4,3,24,59,1604489099,3011920,36,0.34,0.649
"edison","2020-11-04T03:26:46Z",2020,11,4,3,26,46,1604489206,3159733,37,0.346,0.643
"edison","2020-11-04T03:27:12Z",2020,11,4,3,27,12,1604489232,3160635,37,0.346,0.643
"edison","2020-11-04T03:27:34Z",2020,11,4,3,27,34,1604489254,3171885,37,0.346,0.643
"edison","2020-11-04T03:28:08Z",2020,11,4,3,28,8,1604489288,3186694,38,0.346,0.643
"edison","2020-11-04T03:29:41Z",2020,11,4,3,29,41,1604489381,3393063,40,0.356,0.632
"edison","2020-11-04T03:30:12Z",2020,11,4,3,30,12,1604489412,3400766,40,0.356,0.633
"edison","2020-11-04T03:31:39Z",2020,11,4,3,31,39,1604489499,3402104,40,0.356,0.633
"edison","2020-11-04T03:32:42Z",2020,11,4,3,32,42,1604489562,3427443,40,0.356,0.632
"edison","2020-11-04T03:33:03Z",2020,11,4,3,33,3,1604489583,3434384,41,0.356,0.633
"edison","2020-11-04T03:36:15Z",2020,11,4,3,36,15,1604489775,3462702,41,0.359,0.629
"edison","2020-11-04T03:37:17Z",2020,11,4,3,37,17,1604489837,3491763,41,0.359,0.63
"edison","2020-11-04T03:39:39Z",2020,11,4,3,39,39,1604489979,3499865,41,0.358,0.63
"edison","2020-11-04T03:41:06Z",2020,11,4,3,41,6,1604490066,3502493,41,0.358,0.63
"edison","2020-11-04T03:42:50Z",2020,11,4,3,42,50,1604490170,3514956,42,0.358,0.63
"edison","2020-11-04T03:42:59Z",2020,11,4,3,42,59,1604490179,3535180,42,0.358,0.63
"edison","2020-11-04T03:45:57Z",2020,11,4,3,45,57,1604490357,3535586,42,0.358,0.63
"edison","2020-11-04T03:47:01Z",2020,11,4,3,47,1,1604490421,3549265,42,0.358,0.631
"edison","2020-11-04T03:47:36Z",2020,11,4,3,47,36,1604490456,3561464,42,0.358,0.631
"edison","2020-11-04T03:47:56Z",2020,11,4,3,47,56,1604490476,3569962,42,0.357,0.631
"edison","2020-11-04T03:51:48Z",2020,11,4,3,51,48,1604490708,3571364,42,0.357,0.631
"edison","2020-11-04T03:52:02Z",2020,11,4,3,52,2,1604490722,3583538,42,0.357,0.631
