"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:21Z",2020,11,4,8,4,21,1604505861,0,0,0,0
"edison","2020-11-04T01:46:50Z",2020,11,4,1,46,50,1604483210,26709,7,0.535,0.433
"edison","2020-11-04T02:15:46Z",2020,11,4,2,15,46,1604484946,36526,9,0.58,0.388
"edison","2020-11-04T02:17:51Z",2020,11,4,2,17,51,1604485071,72084,18,0.48,0.485
"edison","2020-11-04T02:29:03Z",2020,11,4,2,29,3,1604485743,72896,18,0.484,0.481
"edison","2020-11-04T02:37:08Z",2020,11,4,2,37,8,1604486228,75274,19,0.491,0.473
"edison","2020-11-04T02:38:29Z",2020,11,4,2,38,29,1604486309,85384,22,0.515,0.45
"edison","2020-11-04T02:39:52Z",2020,11,4,2,39,52,1604486392,87691,22,0.523,0.442
"edison","2020-11-04T02:41:08Z",2020,11,4,2,41,8,1604486468,89439,23,0.528,0.437
"edison","2020-11-04T02:47:52Z",2020,11,4,2,47,52,1604486872,93242,24,0.54,0.425
"edison","2020-11-04T02:49:53Z",2020,11,4,2,49,53,1604486993,97448,25,0.544,0.42
"edison","2020-11-04T02:52:36Z",2020,11,4,2,52,36,1604487156,111370,28,0.566,0.399
"edison","2020-11-04T02:52:49Z",2020,11,4,2,52,49,1604487169,113683,29,0.566,0.398
"edison","2020-11-04T02:56:47Z",2020,11,4,2,56,47,1604487407,116214,29,0.571,0.393
"edison","2020-11-04T02:59:33Z",2020,11,4,2,59,33,1604487573,120356,30,0.579,0.386
"edison","2020-11-04T03:01:42Z",2020,11,4,3,1,42,1604487702,124147,31,0.571,0.394
"edison","2020-11-04T03:03:28Z",2020,11,4,3,3,28,1604487808,128711,33,0.577,0.388
"edison","2020-11-04T03:07:43Z",2020,11,4,3,7,43,1604488063,135404,34,0.584,0.381
"edison","2020-11-04T03:11:48Z",2020,11,4,3,11,48,1604488308,140782,36,0.591,0.375
"edison","2020-11-04T03:18:15Z",2020,11,4,3,18,15,1604488695,157056,40,0.605,0.361
"edison","2020-11-04T03:19:26Z",2020,11,4,3,19,26,1604488766,159574,40,0.607,0.359
"edison","2020-11-04T03:22:57Z",2020,11,4,3,22,57,1604488977,168290,43,0.616,0.351
"edison","2020-11-04T03:29:54Z",2020,11,4,3,29,54,1604489394,210747,53,0.624,0.344
"edison","2020-11-04T03:32:22Z",2020,11,4,3,32,22,1604489542,212631,54,0.625,0.342
"edison","2020-11-04T03:39:07Z",2020,11,4,3,39,7,1604489947,213897,54,0.626,0.341
"edison","2020-11-04T03:40:31Z",2020,11,4,3,40,31,1604490031,215207,54,0.627,0.34
"edison","2020-11-04T03:42:05Z",2020,11,4,3,42,5,1604490125,217829,55,0.629,0.338
"edison","2020-11-04T03:48:20Z",2020,11,4,3,48,20,1604490500,220272,56,0.629,0.339
"edison","2020-11-04T03:54:16Z",2020,11,4,3,54,16,1604490856,221335,56,0.63,0.338
"edison","2020-11-04T03:58:32Z",2020,11,4,3,58,32,1604491112,227463,58,0.636,0.331
"edison","2020-11-04T04:03:13Z",2020,11,4,4,3,13,1604491393,229950,58,0.638,0.329
"edison","2020-11-04T04:09:34Z",2020,11,4,4,9,34,1604491774,230343,58,0.639,0.329
"edison","2020-11-04T04:13:55Z",2020,11,4,4,13,55,1604492035,246946,63,0.645,0.322
"edison","2020-11-04T04:18:21Z",2020,11,4,4,18,21,1604492301,249274,63,0.647,0.321
"edison","2020-11-04T04:18:32Z",2020,11,4,4,18,32,1604492312,250641,63,0.648,0.32
"edison","2020-11-04T04:21:28Z",2020,11,4,4,21,28,1604492488,256676,65,0.648,0.32
"edison","2020-11-04T04:29:32Z",2020,11,4,4,29,32,1604492972,257884,65,0.649,0.319
"edison","2020-11-04T04:38:07Z",2020,11,4,4,38,7,1604493487,290174,73,0.654,0.314
"edison","2020-11-04T04:47:09Z",2020,11,4,4,47,9,1604494029,290600,74,0.654,0.314
"edison","2020-11-04T04:58:07Z",2020,11,4,4,58,7,1604494687,335695,85,0.643,0.324
"edison","2020-11-04T05:22:17Z",2020,11,4,5,22,17,1604496137,339837,86,0.644,0.324
"edison","2020-11-04T05:32:38Z",2020,11,4,5,32,38,1604496758,342797,87,0.644,0.324
"edison","2020-11-04T06:35:52Z",2020,11,4,6,35,52,1604500552,344144,87,0.645,0.323
"edison","2020-11-04T07:30:51Z",2020,11,4,7,30,51,1604503851,348689,88,0.648,0.32
"edison","2020-11-04T07:55:51Z",2020,11,4,7,55,51,1604505351,353338,89,0.65,0.318
"edison","2020-11-04T08:25:50Z",2020,11,4,8,25,50,1604507150,354716,90,0.65,0.318
"edison","2020-11-04T09:36:50Z",2020,11,4,9,36,50,1604511410,356435,90,0.651,0.317
"edison","2020-11-04T10:00:51Z",2020,11,4,10,0,51,1604512851,357082,90,0.651,0.317
"edison","2020-11-04T11:06:49Z",2020,11,4,11,6,49,1604516809,361279,91,0.65,0.317
"edison","2020-11-08T16:33:05Z",2020,11,8,16,33,5,1604881985,361279,99,0.65,0.317
"edison","2020-11-09T16:05:45Z",2020,11,9,16,5,45,1604966745,361283,99,0.65,0.317
"edison","2020-11-09T16:40:41Z",2020,11,9,16,40,41,1604968841,361288,99,0.65,0.317
"edison","2020-11-09T16:46:40Z",2020,11,9,16,46,40,1604969200,361291,99,0.65,0.317
"edison","2020-11-09T16:55:41Z",2020,11,9,16,55,41,1604969741,361336,99,0.65,0.317
"edison","2020-11-09T17:00:42Z",2020,11,9,17,0,42,1604970042,361356,99,0.65,0.317
"edison","2020-11-09T17:20:45Z",2020,11,9,17,20,45,1604971245,361401,99,0.65,0.317
"edison","2020-11-09T17:30:40Z",2020,11,9,17,30,40,1604971840,361456,99,0.65,0.317
"edison","2020-11-09T17:35:42Z",2020,11,9,17,35,42,1604972142,361460,99,0.65,0.317
"edison","2020-11-09T17:41:13Z",2020,11,9,17,41,13,1604972473,361272,99,0.651,0.317
"edison","2020-11-09T17:50:45Z",2020,11,9,17,50,45,1604973045,361285,99,0.651,0.317
"edison","2020-11-09T17:55:40Z",2020,11,9,17,55,40,1604973340,361288,99,0.651,0.317
"edison","2020-11-09T18:05:45Z",2020,11,9,18,5,45,1604973945,361291,99,0.651,0.317
"edison","2020-11-09T18:35:42Z",2020,11,9,18,35,42,1604975742,361296,99,0.651,0.317
"edison","2020-11-09T18:55:52Z",2020,11,9,18,55,52,1604976952,361298,99,0.651,0.317
"edison","2020-11-09T19:10:40Z",2020,11,9,19,10,40,1604977840,361307,99,0.651,0.317
"edison","2020-11-09T19:15:42Z",2020,11,9,19,15,42,1604978142,361336,99,0.651,0.317
"edison","2020-11-09T19:25:40Z",2020,11,9,19,25,40,1604978740,361346,99,0.651,0.317
"edison","2020-11-09T19:50:43Z",2020,11,9,19,50,43,1604980243,361356,99,0.651,0.317
"edison","2020-11-09T20:00:47Z",2020,11,9,20,0,47,1604980847,361443,99,0.651,0.317
"edison","2020-11-09T20:10:45Z",2020,11,9,20,10,45,1604981445,361446,99,0.651,0.317
"edison","2020-11-09T20:16:41Z",2020,11,9,20,16,41,1604981801,361456,99,0.651,0.317
"edison","2020-11-09T20:20:42Z",2020,11,9,20,20,42,1604982042,361652,99,0.65,0.318
"edison","2020-11-09T20:30:42Z",2020,11,9,20,30,42,1604982642,361659,99,0.65,0.318
"edison","2020-11-09T20:36:42Z",2020,11,9,20,36,42,1604983002,361666,99,0.65,0.318
"edison","2020-11-09T20:46:41Z",2020,11,9,20,46,41,1604983601,361695,99,0.65,0.318
"edison","2020-11-09T21:10:41Z",2020,11,9,21,10,41,1604985041,361705,99,0.65,0.318
"edison","2020-11-09T21:20:41Z",2020,11,9,21,20,41,1604985641,361719,99,0.65,0.318
"edison","2020-11-09T21:26:41Z",2020,11,9,21,26,41,1604986001,361735,99,0.65,0.318
"edison","2020-11-09T21:28:06Z",2020,11,9,21,28,6,1604986086,361485,99,0.651,0.318
"edison","2020-11-09T21:29:02Z",2020,11,9,21,29,2,1604986142,361242,99,0.651,0.318
"edison","2020-11-09T21:55:39Z",2020,11,9,21,55,39,1604987739,361255,99,0.651,0.318
"edison","2020-11-09T22:01:39Z",2020,11,9,22,1,39,1604988099,361269,99,0.651,0.318
"edison","2020-11-09T22:11:40Z",2020,11,9,22,11,40,1604988700,361277,99,0.651,0.318
"edison","2020-11-09T22:25:38Z",2020,11,9,22,25,38,1604989538,361565,99,0.651,0.318
"edison","2020-11-09T23:05:38Z",2020,11,9,23,5,38,1604991938,361566,99,0.651,0.318
"edison","2020-11-09T23:21:38Z",2020,11,9,23,21,38,1604992898,361567,99,0.651,0.318
"edison","2020-11-09T23:25:39Z",2020,11,9,23,25,39,1604993139,361622,99,0.651,0.318
"edison","2020-11-09T23:31:39Z",2020,11,9,23,31,39,1604993499,361625,99,0.651,0.318
"edison","2020-11-09T23:45:38Z",2020,11,9,23,45,38,1604994338,361656,99,0.651,0.318
"edison","2020-11-12T20:51:55Z",2020,11,12,20,51,55,1605243115,361808,99,0.651,0.318
"edison","2020-11-17T02:42:35Z",2020,11,17,2,42,35,1605609755,361819,99,0.651,0.318
"ap","2020-11-17T17:17:00.557Z",NA,NA,NA,NA,NA,NA,NA,359890,100,0.655,0.319
"edison","2020-11-18T17:16:58Z",2020,11,18,17,16,58,1605748618,361819,99,0.651,0.318
"edison","2020-11-20T14:18:24Z",2020,11,20,14,18,24,1605910704,361819,100,0.651,0.318
