"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:21Z",2020,11,4,8,4,21,1604505861,0,0,0,0
"edison","2020-11-04T00:39:55Z",2020,11,4,0,39,55,1604479195,32,0,0.281,0.719
"edison","2020-11-04T00:42:17Z",2020,11,4,0,42,17,1604479337,127970,2,0.47,0.519
"edison","2020-11-04T00:43:31Z",2020,11,4,0,43,31,1604479411,484511,8,0.304,0.685
"edison","2020-11-04T00:44:11Z",2020,11,4,0,44,11,1604479451,484914,8,0.305,0.684
"edison","2020-11-04T00:44:56Z",2020,11,4,0,44,56,1604479496,1064902,17,0.333,0.656
"edison","2020-11-04T00:47:56Z",2020,11,4,0,47,56,1604479676,1162372,18,0.345,0.644
"edison","2020-11-04T00:50:54Z",2020,11,4,0,50,54,1604479854,1241332,20,0.361,0.628
"edison","2020-11-04T00:54:39Z",2020,11,4,0,54,39,1604480079,1365736,22,0.388,0.601
"edison","2020-11-04T00:56:54Z",2020,11,4,0,56,54,1604480214,1520222,24,0.385,0.604
"edison","2020-11-04T00:59:59Z",2020,11,4,0,59,59,1604480399,1788599,28,0.391,0.597
"edison","2020-11-04T01:01:19Z",2020,11,4,1,1,19,1604480479,1788606,28,0.391,0.597
"edison","2020-11-04T01:02:57Z",2020,11,4,1,2,57,1604480577,1926471,31,0.404,0.585
"edison","2020-11-04T01:05:59Z",2020,11,4,1,5,59,1604480759,2130108,34,0.419,0.569
"edison","2020-11-04T01:09:05Z",2020,11,4,1,9,5,1604480945,2299455,36,0.429,0.56
"edison","2020-11-04T01:10:28Z",2020,11,4,1,10,28,1604481028,2299466,36,0.429,0.56
"edison","2020-11-04T01:11:56Z",2020,11,4,1,11,56,1604481116,2508560,40,0.424,0.564
"edison","2020-11-04T01:14:57Z",2020,11,4,1,14,57,1604481297,2598118,41,0.432,0.556
"edison","2020-11-04T01:15:24Z",2020,11,4,1,15,24,1604481324,2598336,41,0.432,0.556
"edison","2020-11-04T01:16:33Z",2020,11,4,1,16,33,1604481393,2598505,41,0.432,0.556
"edison","2020-11-04T01:17:49Z",2020,11,4,1,17,49,1604481469,2598829,41,0.432,0.556
"edison","2020-11-04T01:19:09Z",2020,11,4,1,19,9,1604481549,2656931,42,0.435,0.553
"edison","2020-11-04T01:20:46Z",2020,11,4,1,20,46,1604481646,2656958,42,0.435,0.553
"edison","2020-11-04T01:21:00Z",2020,11,4,1,21,0,1604481660,2667579,42,0.436,0.552
"edison","2020-11-04T01:22:45Z",2020,11,4,1,22,45,1604481765,2667689,42,0.436,0.552
"edison","2020-11-04T01:23:58Z",2020,11,4,1,23,58,1604481838,2667923,42,0.436,0.552
"edison","2020-11-04T01:26:57Z",2020,11,4,1,26,57,1604482017,2676979,42,0.437,0.551
"edison","2020-11-04T01:27:40Z",2020,11,4,1,27,40,1604482060,2677003,42,0.437,0.551
"edison","2020-11-04T01:29:58Z",2020,11,4,1,29,58,1604482198,2784133,44,0.443,0.545
"edison","2020-11-04T01:31:31Z",2020,11,4,1,31,31,1604482291,2784136,44,0.443,0.545
"edison","2020-11-04T01:32:55Z",2020,11,4,1,32,55,1604482375,2789194,44,0.444,0.544
"edison","2020-11-04T01:36:02Z",2020,11,4,1,36,2,1604482562,3067024,49,0.435,0.553
"edison","2020-11-04T01:37:38Z",2020,11,4,1,37,38,1604482658,3067046,49,0.435,0.553
"edison","2020-11-04T01:37:55Z",2020,11,4,1,37,55,1604482675,3067538,49,0.435,0.553
"edison","2020-11-04T01:38:41Z",2020,11,4,1,38,41,1604482721,3067565,49,0.435,0.553
"edison","2020-11-04T01:42:18Z",2020,11,4,1,42,18,1604482938,3116212,49,0.438,0.55
"edison","2020-11-04T01:42:55Z",2020,11,4,1,42,55,1604482975,3116571,49,0.438,0.55
"edison","2020-11-04T01:44:56Z",2020,11,4,1,44,56,1604483096,3125729,49,0.439,0.549
"edison","2020-11-04T01:45:53Z",2020,11,4,1,45,53,1604483153,3126697,50,0.439,0.549
"edison","2020-11-04T01:47:57Z",2020,11,4,1,47,57,1604483277,3128759,50,0.439,0.549
"edison","2020-11-04T01:51:21Z",2020,11,4,1,51,21,1604483481,3178124,50,0.443,0.545
"edison","2020-11-04T01:52:20Z",2020,11,4,1,52,20,1604483540,3182583,50,0.443,0.545
"edison","2020-11-04T01:53:41Z",2020,11,4,1,53,41,1604483621,3182658,50,0.443,0.545
"edison","2020-11-04T01:53:57Z",2020,11,4,1,53,57,1604483637,3232884,51,0.447,0.541
"edison","2020-11-04T01:55:43Z",2020,11,4,1,55,43,1604483743,3261756,52,0.449,0.539
"edison","2020-11-04T01:55:57Z",2020,11,4,1,55,57,1604483757,3261763,52,0.449,0.539
"edison","2020-11-04T01:59:32Z",2020,11,4,1,59,32,1604483972,3306684,52,0.451,0.537
"edison","2020-11-04T01:59:53Z",2020,11,4,1,59,53,1604483993,3312505,52,0.451,0.536
"edison","2020-11-04T02:01:17Z",2020,11,4,2,1,17,1604484077,3349728,53,0.454,0.534
"edison","2020-11-04T02:03:04Z",2020,11,4,2,3,4,1604484184,3393061,54,0.457,0.531
"edison","2020-11-04T02:03:53Z",2020,11,4,2,3,53,1604484233,3396904,54,0.457,0.53
"edison","2020-11-04T02:04:21Z",2020,11,4,2,4,21,1604484261,3400079,54,0.457,0.53
"edison","2020-11-04T02:04:53Z",2020,11,4,2,4,53,1604484293,3401875,54,0.457,0.53
"edison","2020-11-04T02:05:21Z",2020,11,4,2,5,21,1604484321,3402024,54,0.457,0.53
"edison","2020-11-04T02:06:50Z",2020,11,4,2,6,50,1604484410,3486290,55,0.464,0.523
"edison","2020-11-04T02:10:58Z",2020,11,4,2,10,58,1604484658,3599234,57,0.467,0.52
"edison","2020-11-04T02:12:31Z",2020,11,4,2,12,31,1604484751,3629657,57,0.47,0.517
"edison","2020-11-04T02:15:18Z",2020,11,4,2,15,18,1604484918,3676078,58,0.474,0.514
"edison","2020-11-04T02:16:24Z",2020,11,4,2,16,24,1604484984,3676081,58,0.474,0.514
"edison","2020-11-04T02:18:11Z",2020,11,4,2,18,11,1604485091,3676230,58,0.474,0.514
"edison","2020-11-04T02:20:44Z",2020,11,4,2,20,44,1604485244,3696835,59,0.475,0.512
"edison","2020-11-04T02:22:05Z",2020,11,4,2,22,5,1604485325,3703752,59,0.476,0.511
"edison","2020-11-04T02:22:22Z",2020,11,4,2,22,22,1604485342,3703812,59,0.476,0.511
"edison","2020-11-04T02:27:03Z",2020,11,4,2,27,3,1604485623,3761079,60,0.48,0.507
"edison","2020-11-04T02:28:26Z",2020,11,4,2,28,26,1604485706,3761226,60,0.48,0.507
"edison","2020-11-04T02:28:39Z",2020,11,4,2,28,39,1604485719,3761264,60,0.48,0.507
"edison","2020-11-04T02:28:49Z",2020,11,4,2,28,49,1604485729,3767875,60,0.48,0.507
"edison","2020-11-04T02:29:14Z",2020,11,4,2,29,14,1604485754,3767914,60,0.48,0.507
"edison","2020-11-04T02:29:29Z",2020,11,4,2,29,29,1604485769,3768427,60,0.48,0.507
"edison","2020-11-04T02:29:53Z",2020,11,4,2,29,53,1604485793,3771613,60,0.48,0.507
"edison","2020-11-04T02:33:18Z",2020,11,4,2,33,18,1604485998,3927091,62,0.484,0.503
"edison","2020-11-04T02:39:28Z",2020,11,4,2,39,28,1604486368,4057273,64,0.492,0.495
"edison","2020-11-04T03:00:12Z",2020,11,4,3,0,12,1604487612,4348142,69,0.505,0.481
"edison","2020-11-04T03:01:47Z",2020,11,4,3,1,47,1604487707,4348174,69,0.505,0.481
"edison","2020-11-04T03:02:11Z",2020,11,4,3,2,11,1604487731,4383542,69,0.505,0.482
"edison","2020-11-04T03:03:05Z",2020,11,4,3,3,5,1604487785,4447035,70,0.508,0.479
"edison","2020-11-04T03:10:54Z",2020,11,4,3,10,54,1604488254,4569699,72,0.512,0.474
"edison","2020-11-04T03:12:19Z",2020,11,4,3,12,19,1604488339,4569745,72,0.512,0.474
"edison","2020-11-04T03:12:48Z",2020,11,4,3,12,48,1604488368,4569750,72,0.512,0.474
"edison","2020-11-04T03:18:54Z",2020,11,4,3,18,54,1604488734,4687417,74,0.518,0.468
"edison","2020-11-04T03:19:45Z",2020,11,4,3,19,45,1604488785,4687747,74,0.518,0.468
"edison","2020-11-04T03:20:48Z",2020,11,4,3,20,48,1604488848,4687885,74,0.518,0.468
"edison","2020-11-04T03:45:20Z",2020,11,4,3,45,20,1604490320,5076300,80,0.525,0.461
"edison","2020-11-04T03:45:27Z",2020,11,4,3,45,27,1604490327,5076847,80,0.525,0.461
"edison","2020-11-04T03:45:59Z",2020,11,4,3,45,59,1604490359,5077063,80,0.525,0.461
"edison","2020-11-04T03:46:19Z",2020,11,4,3,46,19,1604490379,5142250,81,0.527,0.459
"edison","2020-11-04T03:46:40Z",2020,11,4,3,46,40,1604490400,5148714,82,0.527,0.459
"edison","2020-11-04T03:48:11Z",2020,11,4,3,48,11,1604490491,5148788,82,0.527,0.459
"edison","2020-11-04T03:49:06Z",2020,11,4,3,49,6,1604490546,5166933,82,0.526,0.46
"edison","2020-11-04T03:49:18Z",2020,11,4,3,49,18,1604490558,5185025,82,0.527,0.459
"edison","2020-11-04T03:49:49Z",2020,11,4,3,49,49,1604490589,5185092,82,0.527,0.459
"edison","2020-11-04T03:50:13Z",2020,11,4,3,50,13,1604490613,5185135,82,0.527,0.459
"edison","2020-11-04T03:51:31Z",2020,11,4,3,51,31,1604490691,5204731,82,0.528,0.458
"edison","2020-11-04T03:52:26Z",2020,11,4,3,52,26,1604490746,5204892,82,0.527,0.458
"edison","2020-11-04T03:53:17Z",2020,11,4,3,53,17,1604490797,5204984,82,0.527,0.458
"edison","2020-11-04T03:55:33Z",2020,11,4,3,55,33,1604490933,5235269,83,0.528,0.458
"edison","2020-11-04T03:56:46Z",2020,11,4,3,56,46,1604491006,5240860,83,0.528,0.457
"edison","2020-11-04T03:57:36Z",2020,11,4,3,57,36,1604491056,5306324,84,0.529,0.456
"edison","2020-11-04T04:00:24Z",2020,11,4,4,0,24,1604491224,5313230,84,0.529,0.456
"edison","2020-11-04T04:00:34Z",2020,11,4,4,0,34,1604491234,5319598,84,0.529,0.456
"edison","2020-11-04T04:03:55Z",2020,11,4,4,3,55,1604491435,5354945,85,0.53,0.456
"edison","2020-11-04T04:04:22Z",2020,11,4,4,4,22,1604491462,5369112,85,0.53,0.455
"edison","2020-11-04T04:04:43Z",2020,11,4,4,4,43,1604491483,5383793,85,0.531,0.455
"edison","2020-11-04T04:05:54Z",2020,11,4,4,5,54,1604491554,5383796,85,0.531,0.455
"edison","2020-11-04T04:08:50Z",2020,11,4,4,8,50,1604491730,5386809,85,0.531,0.455
"edison","2020-11-04T04:11:41Z",2020,11,4,4,11,41,1604491901,5386836,85,0.531,0.455
"edison","2020-11-04T04:11:47Z",2020,11,4,4,11,47,1604491907,5386890,85,0.531,0.455
"edison","2020-11-04T04:15:02Z",2020,11,4,4,15,2,1604492102,5388296,85,0.531,0.455
"edison","2020-11-04T04:15:57Z",2020,11,4,4,15,57,1604492157,5388586,85,0.53,0.455
"edison","2020-11-04T04:16:45Z",2020,11,4,4,16,45,1604492205,5441195,86,0.531,0.454
"edison","2020-11-04T04:30:20Z",2020,11,4,4,30,20,1604493020,5516475,87,0.532,0.453
"edison","2020-11-04T04:31:17Z",2020,11,4,4,31,17,1604493077,5529063,88,0.532,0.453
"edison","2020-11-04T04:31:49Z",2020,11,4,4,31,49,1604493109,5529098,88,0.532,0.453
"edison","2020-11-04T04:32:59Z",2020,11,4,4,32,59,1604493179,5540905,88,0.532,0.453
"edison","2020-11-04T04:45:54Z",2020,11,4,4,45,54,1604493954,5571185,88,0.532,0.453
"edison","2020-11-04T04:45:57Z",2020,11,4,4,45,57,1604493957,5573803,88,0.532,0.453
"edison","2020-11-04T04:47:46Z",2020,11,4,4,47,46,1604494066,5573937,88,0.532,0.453
"edison","2020-11-04T04:48:49Z",2020,11,4,4,48,49,1604494129,5573941,88,0.532,0.453
"edison","2020-11-04T04:49:56Z",2020,11,4,4,49,56,1604494196,5578927,88,0.532,0.453
"edison","2020-11-04T04:55:23Z",2020,11,4,4,55,23,1604494523,5579317,88,0.532,0.453
"edison","2020-11-04T04:58:45Z",2020,11,4,4,58,45,1604494725,5614295,89,0.533,0.452
"edison","2020-11-04T05:00:40Z",2020,11,4,5,0,40,1604494840,5615838,89,0.533,0.452
"edison","2020-11-04T05:01:27Z",2020,11,4,5,1,27,1604494887,5616196,89,0.533,0.452
"edison","2020-11-04T05:02:15Z",2020,11,4,5,2,15,1604494935,5616261,89,0.533,0.452
"edison","2020-11-04T05:02:37Z",2020,11,4,5,2,37,1604494957,5616303,89,0.533,0.452
"edison","2020-11-04T05:02:58Z",2020,11,4,5,2,58,1604494978,5616518,89,0.533,0.452
"edison","2020-11-04T05:06:16Z",2020,11,4,5,6,16,1604495176,5621656,89,0.533,0.452
