"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_inhofej","vote_shares_broylesa"
"edison","2020-11-04T06:58:00Z",2020,11,4,6,58,0,1604501880,0,0,0,0
"edison","2020-11-04T01:12:56Z",2020,11,4,1,12,56,1604481176,17514,1,0.493,0.472
"edison","2020-11-04T01:13:20Z",2020,11,4,1,13,20,1604481200,111355,7,0.605,0.364
"edison","2020-11-04T01:15:56Z",2020,11,4,1,15,56,1604481356,115746,7,0.601,0.368
"edison","2020-11-04T01:16:56Z",2020,11,4,1,16,56,1604481416,125233,8,0.598,0.371
"edison","2020-11-04T01:17:56Z",2020,11,4,1,17,56,1604481476,136468,8,0.599,0.37
"edison","2020-11-04T01:19:57Z",2020,11,4,1,19,57,1604481597,142884,9,0.601,0.368
"edison","2020-11-04T01:20:57Z",2020,11,4,1,20,57,1604481657,143961,9,0.601,0.367
"edison","2020-11-04T01:21:57Z",2020,11,4,1,21,57,1604481717,148713,9,0.603,0.365
"edison","2020-11-04T01:23:56Z",2020,11,4,1,23,56,1604481836,154793,9,0.599,0.369
"edison","2020-11-04T01:24:58Z",2020,11,4,1,24,58,1604481898,171528,11,0.604,0.364
"edison","2020-11-04T01:25:56Z",2020,11,4,1,25,56,1604481956,186058,11,0.606,0.362
"edison","2020-11-04T01:27:59Z",2020,11,4,1,27,59,1604482079,191963,12,0.61,0.358
"edison","2020-11-04T01:29:05Z",2020,11,4,1,29,5,1604482145,213330,13,0.611,0.357
"edison","2020-11-04T01:29:57Z",2020,11,4,1,29,57,1604482197,220904,14,0.61,0.358
"edison","2020-11-04T01:31:58Z",2020,11,4,1,31,58,1604482318,328239,20,0.529,0.44
"edison","2020-11-04T01:32:58Z",2020,11,4,1,32,58,1604482378,331781,20,0.532,0.437
"edison","2020-11-04T01:33:59Z",2020,11,4,1,33,59,1604482439,338384,21,0.534,0.434
"edison","2020-11-04T01:35:01Z",2020,11,4,1,35,1,1604482501,344873,21,0.538,0.431
"edison","2020-11-04T01:36:59Z",2020,11,4,1,36,59,1604482619,348811,21,0.539,0.43
"edison","2020-11-04T01:37:59Z",2020,11,4,1,37,59,1604482679,353295,22,0.541,0.427
"edison","2020-11-04T01:38:59Z",2020,11,4,1,38,59,1604482739,357485,22,0.543,0.425
"edison","2020-11-04T01:40:58Z",2020,11,4,1,40,58,1604482858,408570,25,0.521,0.448
"edison","2020-11-04T01:42:00Z",2020,11,4,1,42,0,1604482920,415777,26,0.524,0.444
"edison","2020-11-04T01:43:01Z",2020,11,4,1,43,1,1604482981,441801,27,0.523,0.445
"edison","2020-11-04T01:44:58Z",2020,11,4,1,44,58,1604483098,447767,27,0.525,0.443
"edison","2020-11-04T01:46:03Z",2020,11,4,1,46,3,1604483163,472907,29,0.528,0.44
"edison","2020-11-04T01:47:01Z",2020,11,4,1,47,1,1604483221,484333,30,0.531,0.436
"edison","2020-11-04T01:49:02Z",2020,11,4,1,49,2,1604483342,494802,30,0.536,0.43
"edison","2020-11-04T01:50:00Z",2020,11,4,1,50,0,1604483400,507705,31,0.538,0.429
"edison","2020-11-04T01:51:05Z",2020,11,4,1,51,5,1604483465,534776,33,0.541,0.426
"edison","2020-11-04T01:53:00Z",2020,11,4,1,53,0,1604483580,548786,34,0.544,0.422
"edison","2020-11-04T01:54:00Z",2020,11,4,1,54,0,1604483640,559367,34,0.548,0.418
"edison","2020-11-04T01:55:04Z",2020,11,4,1,55,4,1604483704,575540,35,0.551,0.414
"edison","2020-11-04T01:57:03Z",2020,11,4,1,57,3,1604483823,590744,36,0.555,0.41
"edison","2020-11-04T01:58:01Z",2020,11,4,1,58,1,1604483881,601647,37,0.558,0.406
"edison","2020-11-04T01:58:55Z",2020,11,4,1,58,55,1604483935,609290,37,0.559,0.405
"edison","2020-11-04T01:59:04Z",2020,11,4,1,59,4,1604483944,624120,38,0.564,0.4
"edison","2020-11-04T02:00:01Z",2020,11,4,2,0,1,1604484001,635671,39,0.567,0.396
"edison","2020-11-04T02:02:08Z",2020,11,4,2,2,8,1604484128,664125,41,0.57,0.393
