"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_merkleyj","vote_shares_perkinsj"
"edison","2020-11-04T10:01:44Z",2020,11,4,10,1,44,1604512904,0,0,0,0
"edison","2020-11-04T04:07:31Z",2020,11,4,4,7,31,1604491651,29197,1,0.584,0.383
"edison","2020-11-04T04:10:26Z",2020,11,4,4,10,26,1604491826,416645,18,0.787,0.177
"edison","2020-11-04T04:12:47Z",2020,11,4,4,12,47,1604491967,533979,23,0.719,0.246
"edison","2020-11-04T04:15:03Z",2020,11,4,4,15,3,1604492103,538471,24,0.715,0.25
"edison","2020-11-04T04:15:36Z",2020,11,4,4,15,36,1604492136,542194,24,0.712,0.254
"edison","2020-11-04T04:21:48Z",2020,11,4,4,21,48,1604492508,748722,33,0.686,0.279
"edison","2020-11-04T04:22:14Z",2020,11,4,4,22,14,1604492534,873539,38,0.661,0.304
"edison","2020-11-04T04:25:18Z",2020,11,4,4,25,18,1604492718,910460,40,0.654,0.311
"edison","2020-11-04T04:25:41Z",2020,11,4,4,25,41,1604492741,1088496,48,0.644,0.323
"edison","2020-11-04T04:32:07Z",2020,11,4,4,32,7,1604493127,1135523,50,0.632,0.334
"edison","2020-11-04T04:34:04Z",2020,11,4,4,34,4,1604493244,1411742,62,0.598,0.369
"edison","2020-11-04T04:34:57Z",2020,11,4,4,34,57,1604493297,1426212,62,0.594,0.373
"edison","2020-11-04T04:37:45Z",2020,11,4,4,37,45,1604493465,1426299,62,0.594,0.373
"edison","2020-11-04T04:38:24Z",2020,11,4,4,38,24,1604493504,1475535,65,0.597,0.37
"edison","2020-11-04T04:39:33Z",2020,11,4,4,39,33,1604493573,1475611,65,0.597,0.37
"edison","2020-11-04T04:40:07Z",2020,11,4,4,40,7,1604493607,1915468,84,0.587,0.38
"edison","2020-11-04T04:43:51Z",2020,11,4,4,43,51,1604493831,1918513,84,0.587,0.38
"edison","2020-11-04T05:01:08Z",2020,11,4,5,1,8,1604494868,1934569,85,0.587,0.38
"edison","2020-11-04T05:16:37Z",2020,11,4,5,16,37,1604495797,1938909,85,0.586,0.38
"edison","2020-11-04T05:33:19Z",2020,11,4,5,33,19,1604496799,1942554,85,0.586,0.381
"edison","2020-11-04T05:34:36Z",2020,11,4,5,34,36,1604496876,1942561,85,0.586,0.381
"edison","2020-11-04T05:44:23Z",2020,11,4,5,44,23,1604497463,1964451,86,0.587,0.38
"edison","2020-11-04T05:47:07Z",2020,11,4,5,47,7,1604497627,1965396,86,0.587,0.38
"edison","2020-11-04T06:02:17Z",2020,11,4,6,2,17,1604498537,1975968,86,0.586,0.38
"edison","2020-11-04T06:15:56Z",2020,11,4,6,15,56,1604499356,1980629,87,0.586,0.38
"edison","2020-11-04T06:16:50Z",2020,11,4,6,16,50,1604499410,1980677,87,0.586,0.38
"edison","2020-11-04T06:31:54Z",2020,11,4,6,31,54,1604500314,1992315,87,0.585,0.381
"edison","2020-11-04T06:32:53Z",2020,11,4,6,32,53,1604500373,1993035,87,0.585,0.381
"edison","2020-11-04T06:52:03Z",2020,11,4,6,52,3,1604501523,1993129,87,0.585,0.381
"edison","2020-11-04T06:55:00Z",2020,11,4,6,55,0,1604501700,1999879,88,0.584,0.382
"edison","2020-11-04T06:57:07Z",2020,11,4,6,57,7,1604501827,2009543,88,0.583,0.383
"edison","2020-11-04T07:00:48Z",2020,11,4,7,0,48,1604502048,2017556,88,0.583,0.383
"edison","2020-11-04T07:03:40Z",2020,11,4,7,3,40,1604502220,2021034,88,0.582,0.384
"edison","2020-11-04T07:10:55Z",2020,11,4,7,10,55,1604502655,2026744,89,0.582,0.384
"edison","2020-11-04T07:21:41Z",2020,11,4,7,21,41,1604503301,2039992,89,0.582,0.383
"edison","2020-11-04T07:36:54Z",2020,11,4,7,36,54,1604504214,2040587,89,0.582,0.383
"edison","2020-11-04T08:45:36Z",2020,11,4,8,45,36,1604508336,2044068,89,0.582,0.384
"edison","2020-11-04T08:46:00Z",2020,11,4,8,46,0,1604508360,2081419,91,0.578,0.387
"edison","2020-11-04T09:00:54Z",2020,11,4,9,0,54,1604509254,2086495,91,0.577,0.387
"edison","2020-11-04T09:01:53Z",2020,11,4,9,1,53,1604509313,2086553,91,0.577,0.387
"edison","2020-11-04T09:30:54Z",2020,11,4,9,30,54,1604511054,2105669,92,0.579,0.386
"edison","2020-11-04T09:31:50Z",2020,11,4,9,31,50,1604511110,2106157,92,0.579,0.386
"edison","2020-11-04T10:01:10Z",2020,11,4,10,1,10,1604512870,2109516,92,0.578,0.386
"edison","2020-11-04T10:01:50Z",2020,11,4,10,1,50,1604512910,2109567,92,0.578,0.386
"edison","2020-11-04T10:30:53Z",2020,11,4,10,30,53,1604514653,2114642,93,0.578,0.387
"edison","2020-11-04T10:31:50Z",2020,11,4,10,31,50,1604514710,2114681,93,0.578,0.387
"edison","2020-11-04T11:15:51Z",2020,11,4,11,15,51,1604517351,2124628,93,0.577,0.387
"edison","2020-11-04T14:46:49Z",2020,11,4,14,46,49,1604530009,2125144,93,0.577,0.387
"edison","2020-11-04T16:30:51Z",2020,11,4,16,30,51,1604536251,2125204,93,0.577,0.387
"edison","2020-11-04T19:46:51Z",2020,11,4,19,46,51,1604548011,2133889,93,0.576,0.388
"edison","2020-11-05T02:01:52Z",2020,11,5,2,1,52,1604570512,2180885,95,0.574,0.39
"edison","2020-11-05T20:01:40Z",2020,11,5,20,1,40,1604635300,2190174,95,0.573,0.39
"edison","2020-11-06T02:00:40Z",2020,11,6,2,0,40,1604656840,2248924,95,0.571,0.392
"edison","2020-11-06T20:00:40Z",2020,11,6,20,0,40,1604721640,2255572,95,0.571,0.392
"edison","2020-11-07T14:00:44Z",2020,11,7,14,0,44,1604786444,2281445,95,0.569,0.393
"edison","2020-11-07T14:00:51Z",2020,11,7,14,0,51,1604786451,2283185,95,0.57,0.393
"edison","2020-11-09T22:03:58Z",2020,11,9,22,3,58,1604988238,2283213,95,0.57,0.393
"edison","2020-11-10T20:01:08Z",2020,11,10,20,1,8,1605067268,2288187,95,0.57,0.393
"edison","2020-11-10T20:02:48Z",2020,11,10,20,2,48,1605067368,2289299,95,0.569,0.393
"edison","2020-11-11T02:00:55Z",2020,11,11,2,0,55,1605088855,2296492,96,0.57,0.393
"edison","2020-11-11T20:24:19Z",2020,11,11,20,24,19,1605155059,2296395,96,0.57,0.393
"edison","2020-11-12T20:00:49Z",2020,11,12,20,0,49,1605240049,2297627,96,0.57,0.393
"edison","2020-11-13T02:00:51Z",2020,11,13,2,0,51,1605261651,2300544,96,0.57,0.393
"edison","2020-11-14T02:01:05Z",2020,11,14,2,1,5,1605348065,2300845,96,0.57,0.393
"edison","2020-11-14T02:01:58Z",2020,11,14,2,1,58,1605348118,2306501,96,0.57,0.393
"edison","2020-11-15T02:01:01Z",2020,11,15,2,1,1,1605434461,2307453,96,0.57,0.393
"edison","2020-11-15T02:01:45Z",2020,11,15,2,1,45,1605434505,2307507,96,0.57,0.393
"edison","2020-11-17T02:01:00Z",2020,11,17,2,1,0,1605607260,2307724,96,0.57,0.393
"edison","2020-11-18T02:01:06Z",2020,11,18,2,1,6,1605693666,2308233,96,0.57,0.393
"edison","2020-11-18T20:01:05Z",2020,11,18,20,1,5,1605758465,2308616,96,0.57,0.393
