"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:25:23Z",2020,11,4,9,25,23,1604510723,0,0,0,0
"edison","2020-11-04T00:19:27Z",2020,11,4,0,19,27,1604477967,77,0,0.429,0.571
"edison","2020-11-04T00:30:20Z",2020,11,4,0,30,20,1604478620,0,0,0,0
"edison","2020-11-04T00:42:45Z",2020,11,4,0,42,45,1604479365,11,0,0.364,0.636
"edison","2020-11-04T00:59:15Z",2020,11,4,0,59,15,1604480355,0,0,0,0
"edison","2020-11-04T01:03:44Z",2020,11,4,1,3,44,1604480624,64535,1,0.188,0.799
"edison","2020-11-04T01:14:19Z",2020,11,4,1,14,19,1604481259,86353,1,0.216,0.772
"edison","2020-11-04T01:14:26Z",2020,11,4,1,14,26,1604481266,120261,2,0.225,0.764
"edison","2020-11-04T01:15:31Z",2020,11,4,1,15,31,1604481331,195481,3,0.16,0.831
"edison","2020-11-04T01:15:55Z",2020,11,4,1,15,55,1604481355,211317,3,0.163,0.828
"edison","2020-11-04T01:17:19Z",2020,11,4,1,17,19,1604481439,219166,3,0.169,0.822
"edison","2020-11-04T01:24:10Z",2020,11,4,1,24,10,1604481850,219258,3,0.169,0.821
"edison","2020-11-04T01:26:57Z",2020,11,4,1,26,57,1604482017,301969,4,0.151,0.841
"edison","2020-11-04T01:29:03Z",2020,11,4,1,29,3,1604482143,306881,4,0.155,0.836
"edison","2020-11-04T01:31:11Z",2020,11,4,1,31,11,1604482271,436908,6,0.407,0.587
"edison","2020-11-04T01:32:56Z",2020,11,4,1,32,56,1604482376,476287,7,0.39,0.604
"edison","2020-11-04T01:35:04Z",2020,11,4,1,35,4,1604482504,503027,7,0.385,0.608
"edison","2020-11-04T01:36:16Z",2020,11,4,1,36,16,1604482576,557915,8,0.361,0.632
"edison","2020-11-04T01:36:55Z",2020,11,4,1,36,55,1604482615,559431,8,0.361,0.632
"edison","2020-11-04T01:37:50Z",2020,11,4,1,37,50,1604482670,564800,8,0.363,0.631
"edison","2020-11-04T01:38:49Z",2020,11,4,1,38,49,1604482729,678741,9,0.337,0.656
"edison","2020-11-04T01:40:56Z",2020,11,4,1,40,56,1604482856,688010,10,0.337,0.655
