"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T07:01:20Z",2020,11,4,7,1,20,1604502080,0,0,0,0
"edison","2020-11-04T01:14:14Z",2020,11,4,1,14,14,1604481254,2958,1,0.41,0.57
"edison","2020-11-04T01:16:02Z",2020,11,4,1,16,2,1604481362,8231,2,0.42,0.56
"edison","2020-11-04T01:18:01Z",2020,11,4,1,18,1,1604481481,20446,4,0.49,0.491
"edison","2020-11-04T01:22:01Z",2020,11,4,1,22,1,1604481721,42193,8,0.508,0.472
"edison","2020-11-04T01:26:02Z",2020,11,4,1,26,2,1604481962,73105,14,0.509,0.471
"edison","2020-11-04T01:28:01Z",2020,11,4,1,28,1,1604482081,96102,18,0.512,0.468
"edison","2020-11-04T01:32:02Z",2020,11,4,1,32,2,1604482322,124809,24,0.534,0.447
"edison","2020-11-04T01:33:56Z",2020,11,4,1,33,56,1604482436,127594,25,0.535,0.446
"edison","2020-11-04T01:35:06Z",2020,11,4,1,35,6,1604482506,152904,29,0.537,0.443
"edison","2020-11-04T01:36:00Z",2020,11,4,1,36,0,1604482560,161933,31,0.539,0.441
"edison","2020-11-04T01:40:57Z",2020,11,4,1,40,57,1604482857,166726,32,0.54,0.44
"edison","2020-11-04T01:43:59Z",2020,11,4,1,43,59,1604483039,171060,33,0.541,0.439
"edison","2020-11-04T01:45:58Z",2020,11,4,1,45,58,1604483158,173429,33,0.541,0.439
"edison","2020-11-04T01:52:02Z",2020,11,4,1,52,2,1604483522,173628,33,0.541,0.438
"edison","2020-11-04T02:01:57Z",2020,11,4,2,1,57,1604484117,173840,33,0.541,0.439
"edison","2020-11-04T02:22:26Z",2020,11,4,2,22,26,1604485346,174291,34,0.542,0.438
"edison","2020-11-04T02:33:01Z",2020,11,4,2,33,1,1604485981,174631,34,0.542,0.438
"edison","2020-11-04T02:33:32Z",2020,11,4,2,33,32,1604486012,175315,34,0.541,0.438
"edison","2020-11-04T02:34:27Z",2020,11,4,2,34,27,1604486067,175443,34,0.541,0.438
"edison","2020-11-04T03:11:12Z",2020,11,4,3,11,12,1604488272,175493,34,0.541,0.438
"edison","2020-11-04T03:11:48Z",2020,11,4,3,11,48,1604488308,181818,35,0.532,0.448
"edison","2020-11-04T03:37:16Z",2020,11,4,3,37,16,1604489836,183459,35,0.533,0.448
"edison","2020-11-04T03:37:55Z",2020,11,4,3,37,55,1604489875,196730,38,0.526,0.455
"edison","2020-11-04T03:47:58Z",2020,11,4,3,47,58,1604490478,205725,40,0.523,0.458
"edison","2020-11-04T03:55:15Z",2020,11,4,3,55,15,1604490915,212407,41,0.51,0.472
"edison","2020-11-04T03:56:46Z",2020,11,4,3,56,46,1604491006,222983,43,0.501,0.481
"edison","2020-11-04T03:56:52Z",2020,11,4,3,56,52,1604491012,243820,47,0.495,0.487
"edison","2020-11-04T04:10:20Z",2020,11,4,4,10,20,1604491820,263672,51,0.489,0.494
"edison","2020-11-04T04:24:39Z",2020,11,4,4,24,39,1604492679,267432,51,0.488,0.495
"edison","2020-11-04T04:54:56Z",2020,11,4,4,54,56,1604494496,267419,51,0.488,0.495
"edison","2020-11-04T06:00:04Z",2020,11,4,6,0,4,1604498404,327644,63,0.486,0.498
"edison","2020-11-04T06:08:50Z",2020,11,4,6,8,50,1604498930,477068,92,0.393,0.592
"edison","2020-11-04T06:12:55Z",2020,11,4,6,12,55,1604499175,481695,93,0.393,0.592
"edison","2020-11-04T21:13:02Z",2020,11,4,21,13,2,1604553182,500390,96,0.392,0.594
"edison","2020-11-06T21:48:51Z",2020,11,6,21,48,51,1604728131,505201,97,0.391,0.594
"edison","2020-11-10T13:09:07Z",2020,11,10,13,9,7,1605042547,513323,99,0.389,0.596
"edison","2020-11-10T23:02:51Z",2020,11,10,23,2,51,1605078171,513411,99,0.389,0.596
"edison","2020-11-10T23:02:58Z",2020,11,10,23,2,58,1605078178,513503,99,0.389,0.596
"edison","2020-11-13T21:51:01Z",2020,11,13,21,51,1,1605333061,513602,99,0.389,0.596
"edison","2020-11-24T19:40:55Z",2020,11,24,19,40,55,1606275655,513627,99,0.389,0.596
"edison","2020-11-25T04:38:09Z",2020,11,25,4,38,9,1606307889,517757,99,0.386,0.594
