"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:39:42Z",2020,11,4,8,39,42,1604507982,0,0,0,0
"edison","2020-11-04T00:13:12Z",2020,11,4,0,13,12,1604477592,437,0,0.705,0.295
"edison","2020-11-04T00:14:44Z",2020,11,4,0,14,44,1604477684,694,0,0.604,0.396
"edison","2020-11-04T00:16:15Z",2020,11,4,0,16,15,1604477775,1919,0,0.713,0.287
"edison","2020-11-04T00:16:31Z",2020,11,4,0,16,31,1604477791,2171,0,0.656,0.344
"edison","2020-11-04T00:18:24Z",2020,11,4,0,18,24,1604477904,2596,0,0.633,0.367
"edison","2020-11-04T00:22:53Z",2020,11,4,0,22,53,1604478173,3266,0,0.664,0.336
"edison","2020-11-04T00:24:07Z",2020,11,4,0,24,7,1604478247,3568,0,0.672,0.328
"edison","2020-11-04T00:25:48Z",2020,11,4,0,25,48,1604478348,5139,0,0.704,0.296
"edison","2020-11-04T00:26:01Z",2020,11,4,0,26,1,1604478361,5955,0,0.676,0.324
"edison","2020-11-04T00:27:06Z",2020,11,4,0,27,6,1604478426,7190,0,0.704,0.296
"edison","2020-11-04T00:29:06Z",2020,11,4,0,29,6,1604478546,7940,0,0.704,0.296
"edison","2020-11-04T00:31:28Z",2020,11,4,0,31,28,1604478688,8529,0,0.713,0.287
"edison","2020-11-04T00:32:07Z",2020,11,4,0,32,7,1604478727,10041,0,0.704,0.296
"edison","2020-11-04T00:32:39Z",2020,11,4,0,32,39,1604478759,11385,0,0.672,0.327
"edison","2020-11-04T00:33:53Z",2020,11,4,0,33,53,1604478833,11647,0,0.669,0.33
"edison","2020-11-04T00:35:17Z",2020,11,4,0,35,17,1604478917,13346,1,0.648,0.351
"edison","2020-11-04T00:37:55Z",2020,11,4,0,37,55,1604479075,13971,1,0.648,0.352
"edison","2020-11-04T00:39:05Z",2020,11,4,0,39,5,1604479145,18067,1,0.647,0.351
"edison","2020-11-04T00:40:59Z",2020,11,4,0,40,59,1604479259,26352,1,0.562,0.434
"edison","2020-11-04T00:41:20Z",2020,11,4,0,41,20,1604479280,26483,1,0.562,0.434
"edison","2020-11-04T00:42:03Z",2020,11,4,0,42,3,1604479323,26751,1,0.563,0.433
"edison","2020-11-04T00:47:41Z",2020,11,4,0,47,41,1604479661,33832,1,0.559,0.435
"edison","2020-11-04T00:51:56Z",2020,11,4,0,51,56,1604479916,33986,1,0.559,0.436
"edison","2020-11-04T00:53:56Z",2020,11,4,0,53,56,1604480036,79291,3,0.462,0.528
