"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_grahaml","vote_shares_harrisonj"
"edison","2020-11-04T08:24:22Z",2020,11,4,8,24,22,1604507062,0,0,0,0
"edison","2020-11-04T00:13:37Z",2020,11,4,0,13,37,1604477617,433,0,0.688,0.312
"edison","2020-11-04T00:15:05Z",2020,11,4,0,15,5,1604477705,822,0,0.606,0.394
"edison","2020-11-04T00:16:50Z",2020,11,4,0,16,50,1604477810,2324,0,0.664,0.336
"edison","2020-11-04T00:18:44Z",2020,11,4,0,18,44,1604477924,2746,0,0.635,0.365
"edison","2020-11-04T00:23:18Z",2020,11,4,0,23,18,1604478198,3422,0,0.664,0.336
"edison","2020-11-04T00:24:33Z",2020,11,4,0,24,33,1604478273,3732,0,0.672,0.328
"edison","2020-11-04T00:26:01Z",2020,11,4,0,26,1,1604478361,5272,0,0.697,0.303
"edison","2020-11-04T00:26:17Z",2020,11,4,0,26,17,1604478377,6095,0,0.669,0.331
"edison","2020-11-04T00:27:21Z",2020,11,4,0,27,21,1604478441,7308,0,0.695,0.305
"edison","2020-11-04T00:29:22Z",2020,11,4,0,29,22,1604478562,8052,0,0.693,0.307
"edison","2020-11-04T00:31:44Z",2020,11,4,0,31,44,1604478704,8634,0,0.702,0.298
"edison","2020-11-04T00:32:27Z",2020,11,4,0,32,27,1604478747,10146,0,0.693,0.307
"edison","2020-11-04T00:33:10Z",2020,11,4,0,33,10,1604478790,11490,0,0.661,0.338
"edison","2020-11-04T00:34:12Z",2020,11,4,0,34,12,1604478852,11754,0,0.658,0.341
"edison","2020-11-04T00:34:57Z",2020,11,4,0,34,57,1604478897,13693,1,0.566,0.434
"edison","2020-11-04T00:35:17Z",2020,11,4,0,35,17,1604478917,14456,1,0.575,0.424
"edison","2020-11-04T00:35:49Z",2020,11,4,0,35,49,1604478949,15200,1,0.566,0.433
"edison","2020-11-04T00:39:35Z",2020,11,4,0,39,35,1604479175,18995,1,0.569,0.428
"edison","2020-11-04T00:39:57Z",2020,11,4,0,39,57,1604479197,19905,1,0.581,0.416
"edison","2020-11-04T00:40:56Z",2020,11,4,0,40,56,1604479256,28202,1,0.516,0.479
"edison","2020-11-04T00:42:33Z",2020,11,4,0,42,33,1604479353,28581,1,0.517,0.479
"edison","2020-11-04T00:48:27Z",2020,11,4,0,48,27,1604479707,35664,1,0.521,0.473
"edison","2020-11-04T00:52:23Z",2020,11,4,0,52,23,1604479943,35818,1,0.521,0.473
"edison","2020-11-04T00:53:56Z",2020,11,4,0,53,56,1604480036,81140,3,0.456,0.538
"edison","2020-11-04T00:58:31Z",2020,11,4,0,58,31,1604480311,81588,3,0.456,0.537
"edison","2020-11-04T00:59:15Z",2020,11,4,0,59,15,1604480355,86407,3,0.445,0.548
"edison","2020-11-04T00:59:56Z",2020,11,4,0,59,56,1604480396,91595,4,0.445,0.549
"edison","2020-11-04T01:01:42Z",2020,11,4,1,1,42,1604480502,98395,4,0.435,0.558
