"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:04Z",2020,11,4,10,2,4,1604512924,0,0,0,0
"edison","2020-11-04T02:03:34Z",2020,11,4,2,3,34,1604484214,3229,1,0.744,0.236
"edison","2020-11-04T02:04:03Z",2020,11,4,2,4,3,1604484243,11017,3,0.707,0.27
"edison","2020-11-04T02:06:03Z",2020,11,4,2,6,3,1604484363,13598,3,0.69,0.287
"edison","2020-11-04T02:10:27Z",2020,11,4,2,10,27,1604484627,14211,3,0.693,0.284
"edison","2020-11-04T02:11:27Z",2020,11,4,2,11,27,1604484687,15599,4,0.698,0.279
"edison","2020-11-04T02:11:57Z",2020,11,4,2,11,57,1604484717,17400,4,0.68,0.297
"edison","2020-11-04T02:17:51Z",2020,11,4,2,17,51,1604485071,20790,5,0.681,0.295
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,33614,8,0.617,0.359
"edison","2020-11-04T02:27:43Z",2020,11,4,2,27,43,1604485663,36853,9,0.625,0.35
"edison","2020-11-04T02:31:17Z",2020,11,4,2,31,17,1604485877,51399,12,0.626,0.348
"edison","2020-11-04T02:36:21Z",2020,11,4,2,36,21,1604486181,53475,13,0.627,0.347
"edison","2020-11-04T02:36:27Z",2020,11,4,2,36,27,1604486187,63508,15,0.626,0.348
"edison","2020-11-04T02:39:57Z",2020,11,4,2,39,57,1604486397,75090,18,0.612,0.363
"edison","2020-11-04T02:42:17Z",2020,11,4,2,42,17,1604486537,75513,18,0.613,0.362
"edison","2020-11-04T02:42:27Z",2020,11,4,2,42,27,1604486547,77891,19,0.615,0.359
"edison","2020-11-04T02:42:59Z",2020,11,4,2,42,59,1604486579,79255,19,0.618,0.356
"edison","2020-11-04T02:47:15Z",2020,11,4,2,47,15,1604486835,80388,19,0.619,0.355
"edison","2020-11-04T02:47:34Z",2020,11,4,2,47,34,1604486854,81459,20,0.618,0.356
"edison","2020-11-04T02:49:17Z",2020,11,4,2,49,17,1604486957,82123,20,0.617,0.357
"edison","2020-11-04T02:51:42Z",2020,11,4,2,51,42,1604487102,82299,20,0.617,0.357
"edison","2020-11-04T02:51:45Z",2020,11,4,2,51,45,1604487105,82869,20,0.618,0.356
"edison","2020-11-04T02:53:28Z",2020,11,4,2,53,28,1604487208,88095,21,0.622,0.352
"edison","2020-11-04T02:55:36Z",2020,11,4,2,55,36,1604487336,88846,21,0.623,0.351
"edison","2020-11-04T02:58:21Z",2020,11,4,2,58,21,1604487501,91752,22,0.624,0.35
"edison","2020-11-04T02:58:39Z",2020,11,4,2,58,39,1604487519,94211,23,0.626,0.348
"edison","2020-11-04T02:59:35Z",2020,11,4,2,59,35,1604487575,96069,23,0.627,0.346
"edison","2020-11-04T03:02:55Z",2020,11,4,3,2,55,1604487775,104501,25,0.634,0.34
"edison","2020-11-04T03:06:58Z",2020,11,4,3,6,58,1604488018,104990,25,0.635,0.339
"edison","2020-11-04T03:07:43Z",2020,11,4,3,7,43,1604488063,110718,27,0.641,0.333
"edison","2020-11-04T03:12:12Z",2020,11,4,3,12,12,1604488332,117908,28,0.645,0.33
"edison","2020-11-04T03:16:35Z",2020,11,4,3,16,35,1604488595,123860,30,0.65,0.324
"edison","2020-11-04T03:17:27Z",2020,11,4,3,17,27,1604488647,125292,30,0.649,0.325
"edison","2020-11-04T03:23:11Z",2020,11,4,3,23,11,1604488991,129133,31,0.651,0.323
"edison","2020-11-04T03:23:45Z",2020,11,4,3,23,45,1604489025,129682,31,0.651,0.323
"edison","2020-11-04T03:27:55Z",2020,11,4,3,27,55,1604489275,135681,33,0.653,0.321
"edison","2020-11-04T03:32:40Z",2020,11,4,3,32,40,1604489560,138881,33,0.657,0.318
"edison","2020-11-04T03:35:23Z",2020,11,4,3,35,23,1604489723,140222,34,0.656,0.318
"edison","2020-11-04T03:35:51Z",2020,11,4,3,35,51,1604489751,142408,34,0.657,0.318
"edison","2020-11-04T03:37:18Z",2020,11,4,3,37,18,1604489838,150295,36,0.66,0.314
"edison","2020-11-04T03:42:59Z",2020,11,4,3,42,59,1604490179,154029,37,0.662,0.312
"edison","2020-11-04T03:46:23Z",2020,11,4,3,46,23,1604490383,154261,37,0.662,0.312
"edison","2020-11-04T03:50:32Z",2020,11,4,3,50,32,1604490632,160823,39,0.664,0.311
"edison","2020-11-04T03:53:02Z",2020,11,4,3,53,2,1604490782,164620,40,0.663,0.311
"edison","2020-11-04T03:53:17Z",2020,11,4,3,53,17,1604490797,165911,40,0.663,0.311
"edison","2020-11-04T03:54:28Z",2020,11,4,3,54,28,1604490868,167436,40,0.66,0.314
"edison","2020-11-04T03:58:11Z",2020,11,4,3,58,11,1604491091,206273,50,0.641,0.333
"edison","2020-11-04T03:58:51Z",2020,11,4,3,58,51,1604491131,209103,50,0.642,0.332
"edison","2020-11-04T04:01:36Z",2020,11,4,4,1,36,1604491296,215042,52,0.644,0.33
"edison","2020-11-04T04:08:28Z",2020,11,4,4,8,28,1604491708,219427,53,0.645,0.329
"edison","2020-11-04T04:11:17Z",2020,11,4,4,11,17,1604491877,220707,53,0.645,0.329
"edison","2020-11-04T04:12:23Z",2020,11,4,4,12,23,1604491943,241313,58,0.646,0.328
"edison","2020-11-04T04:18:15Z",2020,11,4,4,18,15,1604492295,245094,59,0.646,0.328
"edison","2020-11-04T04:22:24Z",2020,11,4,4,22,24,1604492544,245326,59,0.646,0.327
"edison","2020-11-04T04:22:53Z",2020,11,4,4,22,53,1604492573,248856,60,0.646,0.327
"edison","2020-11-04T04:26:41Z",2020,11,4,4,26,41,1604492801,255490,62,0.646,0.328
"edison","2020-11-04T04:32:36Z",2020,11,4,4,32,36,1604493156,258546,62,0.646,0.328
"edison","2020-11-04T04:38:46Z",2020,11,4,4,38,46,1604493526,266100,64,0.646,0.328
"edison","2020-11-04T04:41:38Z",2020,11,4,4,41,38,1604493698,266100,64,0.643,0.33
"edison","2020-11-04T04:41:46Z",2020,11,4,4,41,46,1604493706,266374,64,0.644,0.33
"edison","2020-11-04T04:41:58Z",2020,11,4,4,41,58,1604493718,267088,64,0.643,0.331
"edison","2020-11-04T04:42:34Z",2020,11,4,4,42,34,1604493754,268352,65,0.643,0.33
"edison","2020-11-04T04:43:11Z",2020,11,4,4,43,11,1604493791,274773,66,0.644,0.33
"edison","2020-11-04T04:43:45Z",2020,11,4,4,43,45,1604493825,275372,66,0.645,0.329
"edison","2020-11-04T04:46:34Z",2020,11,4,4,46,34,1604493994,279381,67,0.646,0.328
"edison","2020-11-04T04:51:46Z",2020,11,4,4,51,46,1604494306,280076,67,0.646,0.328
"edison","2020-11-04T04:52:28Z",2020,11,4,4,52,28,1604494348,280574,68,0.645,0.329
"edison","2020-11-04T04:53:54Z",2020,11,4,4,53,54,1604494434,280685,68,0.645,0.329
"edison","2020-11-04T04:57:24Z",2020,11,4,4,57,24,1604494644,280987,68,0.645,0.329
"edison","2020-11-04T05:01:20Z",2020,11,4,5,1,20,1604494880,282445,68,0.646,0.328
"edison","2020-11-04T05:02:10Z",2020,11,4,5,2,10,1604494930,286999,69,0.649,0.325
"edison","2020-11-04T05:03:52Z",2020,11,4,5,3,52,1604495032,286999,69,0.648,0.327
"edison","2020-11-04T05:06:12Z",2020,11,4,5,6,12,1604495172,287123,69,0.648,0.327
"edison","2020-11-04T05:07:24Z",2020,11,4,5,7,24,1604495244,288244,69,0.648,0.326
"edison","2020-11-04T05:11:11Z",2020,11,4,5,11,11,1604495471,288639,70,0.648,0.326
"edison","2020-11-04T05:14:30Z",2020,11,4,5,14,30,1604495670,291797,70,0.648,0.326
"edison","2020-11-04T05:16:35Z",2020,11,4,5,16,35,1604495795,308729,74,0.646,0.328
"edison","2020-11-04T05:23:00Z",2020,11,4,5,23,0,1604496180,314168,76,0.647,0.327
"edison","2020-11-04T05:27:26Z",2020,11,4,5,27,26,1604496446,319563,77,0.646,0.328
"edison","2020-11-04T05:31:56Z",2020,11,4,5,31,56,1604496716,325411,78,0.648,0.326
"edison","2020-11-04T05:32:14Z",2020,11,4,5,32,14,1604496734,325502,78,0.648,0.326
"edison","2020-11-04T05:33:20Z",2020,11,4,5,33,20,1604496800,325507,78,0.648,0.326
"edison","2020-11-04T05:37:13Z",2020,11,4,5,37,13,1604497033,326400,79,0.648,0.326
"edison","2020-11-04T05:42:02Z",2020,11,4,5,42,2,1604497322,326994,79,0.647,0.326
"edison","2020-11-04T05:44:35Z",2020,11,4,5,44,35,1604497475,328931,79,0.647,0.326
"edison","2020-11-04T05:46:50Z",2020,11,4,5,46,50,1604497610,332808,80,0.646,0.328
"edison","2020-11-04T05:48:04Z",2020,11,4,5,48,4,1604497684,334892,81,0.645,0.328
"edison","2020-11-04T05:51:48Z",2020,11,4,5,51,48,1604497908,335389,81,0.645,0.328
"edison","2020-11-04T05:56:57Z",2020,11,4,5,56,57,1604498217,335707,81,0.645,0.329
"edison","2020-11-04T06:01:47Z",2020,11,4,6,1,47,1604498507,339592,82,0.645,0.329
"edison","2020-11-04T06:06:25Z",2020,11,4,6,6,25,1604498785,341785,82,0.644,0.329
"edison","2020-11-04T06:15:54Z",2020,11,4,6,15,54,1604499354,343443,83,0.644,0.33
"edison","2020-11-04T06:20:53Z",2020,11,4,6,20,53,1604499653,358631,86,0.642,0.331
"edison","2020-11-04T06:30:53Z",2020,11,4,6,30,53,1604500253,360437,87,0.642,0.332
"edison","2020-11-04T06:35:52Z",2020,11,4,6,35,52,1604500552,369109,89,0.641,0.333
"edison","2020-11-04T06:50:50Z",2020,11,4,6,50,50,1604501450,373345,90,0.641,0.332
