"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_roundsm","vote_shares_ahlersd"
"edison","2020-11-04T09:57:04Z",2020,11,4,9,57,4,1604512624,0,0,0,0
"edison","2020-11-04T02:03:27Z",2020,11,4,2,3,27,1604484207,297,0,0.795,0.205
"edison","2020-11-04T02:04:03Z",2020,11,4,2,4,3,1604484243,10882,3,0.749,0.251
"edison","2020-11-04T02:06:03Z",2020,11,4,2,6,3,1604484363,13459,3,0.731,0.269
"edison","2020-11-04T02:10:27Z",2020,11,4,2,10,27,1604484627,14073,3,0.733,0.267
"edison","2020-11-04T02:11:07Z",2020,11,4,2,11,7,1604484667,17242,4,0.72,0.28
"edison","2020-11-04T02:17:17Z",2020,11,4,2,17,17,1604485037,18381,4,0.722,0.278
"edison","2020-11-04T02:17:51Z",2020,11,4,2,17,51,1604485071,20641,5,0.717,0.283
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,33456,8,0.659,0.341
"edison","2020-11-04T02:28:17Z",2020,11,4,2,28,17,1604485697,36676,9,0.666,0.334
"edison","2020-11-04T02:31:17Z",2020,11,4,2,31,17,1604485877,51178,12,0.666,0.334
"edison","2020-11-04T02:36:27Z",2020,11,4,2,36,27,1604486187,61231,15,0.669,0.331
"edison","2020-11-04T02:37:03Z",2020,11,4,2,37,3,1604486223,63298,15,0.669,0.331
"edison","2020-11-04T02:40:34Z",2020,11,4,2,40,34,1604486434,74796,18,0.655,0.345
"edison","2020-11-04T02:41:08Z",2020,11,4,2,41,8,1604486468,77581,19,0.658,0.342
"edison","2020-11-04T02:43:32Z",2020,11,4,2,43,32,1604486612,78951,19,0.66,0.34
"edison","2020-11-04T02:46:55Z",2020,11,4,2,46,55,1604486815,79253,19,0.66,0.34
"edison","2020-11-04T02:47:15Z",2020,11,4,2,47,15,1604486835,80383,19,0.662,0.338
"edison","2020-11-04T02:48:10Z",2020,11,4,2,48,10,1604486890,81447,20,0.661,0.339
"edison","2020-11-04T02:49:17Z",2020,11,4,2,49,17,1604486957,81904,20,0.659,0.341
"edison","2020-11-04T02:51:42Z",2020,11,4,2,51,42,1604487102,82081,20,0.659,0.341
"edison","2020-11-04T02:51:46Z",2020,11,4,2,51,46,1604487106,82635,20,0.66,0.34
"edison","2020-11-04T02:55:34Z",2020,11,4,2,55,34,1604487334,83651,20,0.659,0.341
"edison","2020-11-04T02:56:00Z",2020,11,4,2,56,0,1604487360,84400,20,0.66,0.34
"edison","2020-11-04T02:56:40Z",2020,11,4,2,56,40,1604487400,88591,21,0.664,0.336
"edison","2020-11-04T02:58:21Z",2020,11,4,2,58,21,1604487501,91479,22,0.665,0.335
"edison","2020-11-04T02:58:39Z",2020,11,4,2,58,39,1604487519,93913,23,0.666,0.334
"edison","2020-11-04T02:59:35Z",2020,11,4,2,59,35,1604487575,95782,23,0.668,0.332
"edison","2020-11-04T03:01:49Z",2020,11,4,3,1,49,1604487709,104154,25,0.672,0.328
"edison","2020-11-04T03:06:58Z",2020,11,4,3,6,58,1604488018,110349,27,0.679,0.321
"edison","2020-11-04T03:12:12Z",2020,11,4,3,12,12,1604488332,117533,28,0.681,0.319
"edison","2020-11-04T03:16:35Z",2020,11,4,3,16,35,1604488595,123473,30,0.685,0.315
"edison","2020-11-04T03:17:46Z",2020,11,4,3,17,46,1604488666,124900,30,0.685,0.315
"edison","2020-11-04T03:23:11Z",2020,11,4,3,23,11,1604488991,128874,31,0.686,0.314
"edison","2020-11-04T03:23:45Z",2020,11,4,3,23,45,1604489025,129236,31,0.686,0.314
"edison","2020-11-04T03:27:55Z",2020,11,4,3,27,55,1604489275,135206,33,0.688,0.312
"edison","2020-11-04T03:32:41Z",2020,11,4,3,32,41,1604489561,138401,33,0.691,0.309
"edison","2020-11-04T03:35:47Z",2020,11,4,3,35,47,1604489747,139741,34,0.691,0.309
"edison","2020-11-04T03:36:09Z",2020,11,4,3,36,9,1604489769,141899,34,0.691,0.309
"edison","2020-11-04T03:37:18Z",2020,11,4,3,37,18,1604489838,149764,36,0.694,0.306
"edison","2020-11-04T03:42:59Z",2020,11,4,3,42,59,1604490179,152863,37,0.696,0.304
"edison","2020-11-04T03:43:19Z",2020,11,4,3,43,19,1604490199,153523,37,0.696,0.304
"edison","2020-11-04T03:46:24Z",2020,11,4,3,46,24,1604490384,153751,37,0.696,0.304
"edison","2020-11-04T03:50:29Z",2020,11,4,3,50,29,1604490629,159850,39,0.697,0.303
"edison","2020-11-04T03:51:54Z",2020,11,4,3,51,54,1604490714,160278,39,0.698,0.302
"edison","2020-11-04T03:53:02Z",2020,11,4,3,53,2,1604490782,163005,39,0.698,0.302
"edison","2020-11-04T03:53:17Z",2020,11,4,3,53,17,1604490797,165340,40,0.697,0.303
"edison","2020-11-04T03:54:52Z",2020,11,4,3,54,52,1604490892,166864,40,0.695,0.305
"edison","2020-11-04T03:58:11Z",2020,11,4,3,58,11,1604491091,205269,49,0.679,0.321
