"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_hagertyb","vote_shares_bradshawm"
"edison","2020-11-04T10:02:24Z",2020,11,4,10,2,24,1604512944,0,0,0,0
"edison","2020-11-04T01:06:58Z",2020,11,4,1,6,58,1604480818,69705,2,0.73,0.249
"edison","2020-11-04T01:07:57Z",2020,11,4,1,7,57,1604480877,89220,3,0.727,0.252
"edison","2020-11-04T01:08:58Z",2020,11,4,1,8,58,1604480938,99365,3,0.732,0.246
"edison","2020-11-04T01:10:57Z",2020,11,4,1,10,57,1604481057,104880,4,0.735,0.244
"edison","2020-11-04T01:12:05Z",2020,11,4,1,12,5,1604481125,128459,4,0.739,0.239
"edison","2020-11-04T01:12:36Z",2020,11,4,1,12,36,1604481156,150442,5,0.742,0.236
"edison","2020-11-04T01:12:57Z",2020,11,4,1,12,57,1604481177,158847,5,0.743,0.235
"edison","2020-11-04T01:13:58Z",2020,11,4,1,13,58,1604481238,194256,7,0.751,0.227
"edison","2020-11-04T01:14:57Z",2020,11,4,1,14,57,1604481297,202642,7,0.752,0.226
"edison","2020-11-04T01:15:59Z",2020,11,4,1,15,59,1604481359,242425,8,0.729,0.25
"edison","2020-11-04T01:16:56Z",2020,11,4,1,16,56,1604481416,242835,8,0.728,0.25
"edison","2020-11-04T01:18:59Z",2020,11,4,1,18,59,1604481539,280726,10,0.727,0.251
"edison","2020-11-04T01:19:57Z",2020,11,4,1,19,57,1604481597,312005,11,0.727,0.25
"edison","2020-11-04T01:20:59Z",2020,11,4,1,20,59,1604481659,337826,12,0.731,0.247
"edison","2020-11-04T01:22:55Z",2020,11,4,1,22,55,1604481775,343943,12,0.733,0.244
"edison","2020-11-04T01:23:58Z",2020,11,4,1,23,58,1604481838,384093,13,0.731,0.246
"edison","2020-11-04T01:24:56Z",2020,11,4,1,24,56,1604481896,389436,13,0.732,0.245
"edison","2020-11-04T01:25:58Z",2020,11,4,1,25,58,1604481958,403086,14,0.733,0.243
"edison","2020-11-04T01:26:57Z",2020,11,4,1,26,57,1604482017,410665,14,0.734,0.243
"edison","2020-11-04T01:27:10Z",2020,11,4,1,27,10,1604482030,433805,15,0.726,0.252
"edison","2020-11-04T01:27:57Z",2020,11,4,1,27,57,1604482077,480713,17,0.727,0.25
"edison","2020-11-04T01:28:56Z",2020,11,4,1,28,56,1604482136,481293,17,0.727,0.25
"edison","2020-11-04T01:29:58Z",2020,11,4,1,29,58,1604482198,481565,17,0.727,0.25
"edison","2020-11-04T01:30:28Z",2020,11,4,1,30,28,1604482228,482269,17,0.727,0.25
"edison","2020-11-04T01:30:56Z",2020,11,4,1,30,56,1604482256,492473,17,0.727,0.251
"edison","2020-11-04T01:32:01Z",2020,11,4,1,32,1,1604482321,549004,19,0.73,0.248
"edison","2020-11-04T01:33:19Z",2020,11,4,1,33,19,1604482399,652387,22,0.692,0.287
"edison","2020-11-04T01:33:56Z",2020,11,4,1,33,56,1604482436,658618,23,0.691,0.288
